"title","URL","unitprice","area","year","direction","decoration","category","bedroom","hall","lavatory","storey","totalstorey","elevator","property","community","far","parkinglot","greening","fee","admdist","secdist","address","subway","school","convenience","sellingpoint","opinion"
"次新小区 房东诚意出售 南北通透","https://shanghai.anjuke.com/prop/view/A1615526608?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=13&position=1&kwtype=filter&now_time=1552997696",40097,98.5,16,"南","精装修","普通住宅",2,2,1,"高层",6,"无","商品房","都市花苑",NA,NA,0.35,1.2,"宝山","淞南","通南路28弄1-32号",FALSE,FALSE,TRUE,"1：建筑面积：98.52平方米2：户型介绍：2房2厅1卫3：房屋楼层：总6楼的5楼4：装修程度：精装修","特色
                                                            
                                            【生活配套】小区出门往北三百米有个保利越庭荟生活商场，商场有中端餐饮、电影院、KTV等。
                    
                    
                    
                    
                    
                "
"祁连家园 近地铁 近商圈配套成熟 品质小区 位置安静 拎包住","https://shanghai.anjuke.com/prop/view/A1606901808?from=filter-salesxq&spread=filtersearch&invalid=1&region_ids=13&position=2&kwtype=filter&now_time=1552997696",43462,80.1,18,"南","精装修","普通住宅",2,2,1,"高层",6,"无","商品房","祁连家园",1.9,300,0.42,0.85,"宝山","上大","祁连山路2555弄",TRUE,TRUE,TRUE,"户型：3室2厅2卫、朝向：南北通透格局方正使用率高达90%1、客厅宽敞舒适、落地阳台让充足的阳光不留余地的闯进来。2、主卧,次卧朝向，面积特别方正。3、小区内配备超市、图书馆、养身会所、健身中心。周边环境非常好，空气清新怡人。临近公园（*生态公园重要旅游景点），周边各项配套均比较完善。商业发展迅速，购物旅游等等均不是问题。您对生活所有的向往，都面面俱到。","特色
                                            【小区户型】小区户型以两房三房为主，面积80-120平，六楼都带阁楼调高层高！楼距为40米左右！
                                                            
                                            【生活配套】向东走100米就是聚丰园路菜市场，2公里内有大场医院，生活所需附近都能满足
                    
                                            【轨道交通】向西50米就是110公交车终点站，门口85路185路公交车站点，小区1000米有地铁7号线15号线
                    
                                            【附近学校】离小区800米就是上大附小，祁连幼儿园，都是上大板块的要点学区
                    
                    
                    
                "
"宝华北岸纯别墅社区 联排别墅 附赠花园100平露台 双车位急","https://shanghai.anjuke.com/prop/view/A1615774350?from=filter&spread=filtersearch&invalid=1&region_ids=13&position=3&kwtype=filter&now_time=1552997696",28090,178,4,"南","毛坯","普通住宅",5,3,2,NA,3,"有","商品房","宝华北岸郡庭(别墅)",1.3,NA,0.5,2.9,"宝山","月浦","塔源路302弄",FALSE,FALSE,TRUE,"小区坐落在塔源路302弄，2015年竣工，小区绿化高达43%让您有多的休闲空间，得房率高达88%以上。产权：产权人数一人房屋内无户口到价格即可签字。房型：四室两厅三位，产证面积250平米，朝向南，南北通透。一楼：朝南挑空7米客厅（可隔断做出一个房间），厨卫朝北，南北通透。二楼：南北卧室，卫生间朝北三楼：主套房，主卧朝南带阳台，另有14平米的一个衣帽间，卫生间朝北，15平米露台朝北。","特色
                                            【小区户型】小区均为独栋2套和联排组成，面积为：170平和198平和226平等
                                                                【小区设施】小区中心有个广场，儿童娱乐，活动健身，老少跑步，凉亭等
                                        
                                            【生活配套】小区500米好享购广场，农工商超市，联华超市，八百米中国四大银行
                    
                    
                    
                    
                    
                "
"中星海上御景苑，电梯花园洋房， 200万急售带装修","https://shanghai.anjuke.com/prop/view/A1610604916?from=filter&spread=filtersearch&invalid=1&region_ids=13&position=4&kwtype=filter&now_time=1552997696",23335,85.7,7,"南","精装修","普通住宅",2,2,1,"高层",7,"有","商品房","海上御景苑(一期公寓)",1.3,500,0.35,0.5,"宝山","罗泾","长虹路779弄",TRUE,FALSE,TRUE,"1：产证面积85.71平，急售200W，2：精装修，客厅朝南，双卧朝南，房型正气，厨卫全明。北面的餐厅和储藏室是*3：房子满2年，仅需缴纳契税。4：支付方式无要求，当然支付方式好的话，价格也会有适当让步，5：产证一人，房东在附近，看房方便.","特色
                                            【小区户型】小区主要户型：大平层面积170平-300平左右跟联排别墅 叠加别墅 电梯大平层 联排别墅.
                                                                【小区设施】小区联排别墅都有自带两个车位.小区绿化高达45% 后面一排属于临水别墅 小区中心位置设有喷水池.
                                        
                                            【生活配套】小区门口配有：庆富超市11 宝山7路公交车直达地铁站，世纪华联超市(北郊一号店)61米.
                    
                                            【轨道交通】小区门口就有公交：宝山86路公交车长虹路潘沪路.宝山7路公交车直达地铁一号线富锦路.
                    
                    
                    
                    
                "
"买的是未来18号线，住的是次新商品好房，南北中装满五正气全明","https://shanghai.anjuke.com/prop/view/A1616808640?from=filter&spread=filtersearch&invalid=1&region_ids=13&position=5&kwtype=filter&now_time=1552997696",38878,98,17,"南北","精装修","普通住宅",2,2,1,"中层",6,"无","商品房","宝景苑",1.3,NA,0.42,0.8,"宝山","淞南","通南路251弄,通南路55弄",TRUE,FALSE,TRUE,"1：南北满五中装全明正气两房两厅，2：未来18号线从小区门口经过，3：2002年次新商品好房，一梯两户，4：产证面积98.71平，现在房东挂牌价底价380万，看中好谈。5：*，真实价格。","特色
                                            【小区户型】户型88平方和102平方两房两厅一卫为主，都是电梯房总高11楼，都是一梯两户。
                                                            
                    
                    
                    
                    
                                            【其他描述】物业是湘能物业，物业费是1.2元/月/平方。
                    
                "
"03年次新房，配套成熟，商品房，386万，真实价格","https://shanghai.anjuke.com/prop/view/A1615539070?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=13&position=6&kwtype=filter&now_time=1552997696",40004,97.7,16,"南","精装修","普通住宅",2,2,1,"高层",6,"无","商品房","都市花苑",NA,NA,0.35,1.2,"宝山","淞南","通南路28弄1-32号",TRUE,FALSE,TRUE,"房子**吗，诚心出售，价格真实，看房子方便，真实价格，房子为一梯俩户，98年一梯俩户，户型超好，房东想在杨浦区置换*房，很诚心卖房子这个房子也是小区中心位置，采光好，楼层也好，边套全明距离地铁口只有1公里，希望房子适合您！","特色
                                            【小区户型】社区由13幢总高六层的多层组成，一梯两户，面积均在62-120平之间，楼间距开阔，采光充足，南北通透
                                                            
                                            【生活配套】出门向东150米左右有大型世纪联华超市，200米左右有上坤红街，向南400米是大昌商业广场，配套齐全
                    
                                            【轨道交通】小区门口有公交52、95、132、552等，向南1200米左右就是3号线长江南路地铁站
                    
                    
                    
                    
                "
"真！盘！实！价！次新小区  急!急!急! 低于市价50万","https://shanghai.anjuke.com/prop/view/A1615529117?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=13&position=7&kwtype=filter&now_time=1552997696",39868,97.3,13,"南北","简单装修","普通住宅",2,2,1,"高层",6,"有","商品房","都市花苑",NA,NA,0.35,1.2,"宝山","淞南","通南路28弄1-32号",TRUE,FALSE,TRUE,"房源信息：位置安静不临街产证面积：98平米房型结构：南北通透，厅通透，产权信息：产权清晰满五年唯一房型特色：房型正气，采光无敌","特色
                                                            
                                            【生活配套】小区大门口出去左转两百米世纪联华大型超市，祥腾生活广场三百米。吃穿用门口应有尽有
                    
                                            【轨道交通】门口公交151,1611,502等，可直达长江南路地铁站,小区到三号线长江南路站1000米左右。
                    
                    
                    
                    
                "
"丨喜欢可看丨看中可谈丨诚挚奉上丨更多好房丨更好专业！","https://shanghai.anjuke.com/prop/view/A1612956275?from=filter&spread=filtersearch&invalid=1&region_ids=13&position=8&kwtype=filter&now_time=1552997696",34783,92,7,"南北","精装修","普通住宅",3,2,1,"低层",7,"有","商品房","美兰湖岭域(别墅)",1.2,NA,0.35,2,"宝山","罗店","罗芬路98弄",TRUE,TRUE,TRUE,"1.小区是知名开发商景瑞2012年开发，物业严格，小区环境好，多层电梯花园洋房和30栋叠加别墅组成。2.小区与罗南新村地铁站仅一路之隔，小区旁边就是宝龙城市广场房子介绍：1.产证面积92平，南北通透，精装修，带空调，房子保养的很好2.楼层好视野广阔3.无抵押产权清晰无纠纷","特色
                                            【小区户型】一梯两户，面积：88-225平，部分别墅。1-32号为别墅区南北朝向，客厅朝南
                                                            
                    
                    
                                            【附近学校】周边有美兰湖幼儿园，美兰湖中小学，师资力量雄厚，入学门槛提前一年落户，
达到法定年龄即可就读
                    
                    
                    
                "
"280万~美兰湖一手房丨精装3房丨万科物业丨近7号线","https://shanghai.anjuke.com/prop/view/A1607189639?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=13&position=9&kwtype=filter&now_time=1552997696",30150,92.9,6,"南北","精装修","普通住宅",3,2,1,"低层",18,"有","商品房","远洋7号",2.5,549,0.3,4.5,"宝山","罗店","罗芬路1288弄",TRUE,TRUE,TRUE,"1、户型：85-95-118平总价：280万左右精装：中央空调+地暖+新风系统层楼：18层。产权年限：70年","特色
                                            【小区户型】小区主要户型是一梯两户，90平-103平，户型主要是南北通透，楼栋多为高层，楼间距宽采光效果好
                                                                【小区设施】小区中心位置有景观喷泉和儿童设施，7号楼附近有篮球场开放时间在早上九点到晚上十点。
                                        
                                            【生活配套】小区两公里之内有大润发，世纪联华，罗店医院，美兰湖中学，幼儿园
                    
                                            【轨道交通】离小区800米有七号线美兰湖地铁站，乘坐六站到上海大学，早晚高峰客流量多，有限流措施。
                    
                    
                    
                    
                "
"招商主城，7号线地铁口，对口重点学 区，送中央空调带地暖","https://shanghai.anjuke.com/prop/view/A1608250161?from=filter&spread=filtersearch&invalid=1&region_ids=13&position=10&kwtype=filter&now_time=1552997696",31579,95,1,"南北","精装修","普通住宅",3,2,2,"低层",16,"有","商品房","招商主城",NA,NA,0.35,0,"宝山","罗泾","萧云路88弄",TRUE,TRUE,TRUE,"开发商：招商地产小区地段：罗北路沪太路交汇处竣工时间：2018年楼层及电梯：总高16层的10楼，一梯两户，有电梯户型特点：3房2厅2卫，房型正气，全明户型装修情况：精装修，装修如图产权信息：产调已拉，无抵押，无贷款，无纠纷公共交通：地铁7号线美兰湖站商业：万达广场公园：闻道园物业公司：招商局物业管理有限公司物业费：3.38元/平米/月","特色
                                            【小区户型】该小区在售面积有75，89和120平米楼距间60米采光充足
                                                            
                                            【生活配套】小区大门出去100米就是农贸市场，一公里内就是大润发超市
                    
                    
                    
                    
                    
                "
