"title","URL","unitprice","area","year","direction","decoration","category","bedroom","hall","lavatory","storey","totalstorey","elevator","property","community","far","parkinglot","greening","fee","admdist","secdist","address","subway","school","convenience","sellingpoint","opinion"
"北新泾站附近99年商品房，电梯房 对口适存 房型正气采光好","https://shanghai.anjuke.com/prop/view/A1605972526?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=6&position=1&kwtype=filter&now_time=1552900004",48193,83,21,"南","精装修","普通住宅",2,2,1,"低层",15,"有","商品房","天申大楼",2.8,68,0.3,1.3,"长宁","北新泾","北虹路1185号",TRUE,TRUE,TRUE,"建筑面积：83方户型：2房2厅1卫1阳台价格：400万，精致住家装修朝向：南向产权：商品房，过五年唯一，个人所得税*","特色
                                            【小区户型】小区独一栋、共210户、共15层、户型主推2室、面积区间72-108平米、
                                                            
                                            【生活配套】1000米之内建设银行、工商银行、农业银行、中国银行、500米之内到达大润达、乐购购物广场
                    
                                            【轨道交通】紧挨中环出入方便，300米内地铁2号线北新泾站、客运站2000米
                    
                                            【附近学校】小区内自住客超过85%、人员素质高、对口有着百年名校之称的适存小学
                    
                    
                    
                "
"总统公寓新出俩房，对口江五，买进即赚","https://shanghai.anjuke.com/prop/view/A1607169840?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=6&position=2&kwtype=filter&now_time=1552900004",88000,100,26,"南北","精装修","普通住宅",2,2,2,"低层",8,"有","商品房","总统公寓",2.1,50,0.3,0.8,"长宁","新华路","华山路868弄",TRUE,TRUE,TRUE,"房源介绍：本人实堪过，总高8楼小高层，2梯4户，使用面积高达85%！朝南看小区中/心花园，位置安静，阳光很好！：对/口江五和延中！业主系之前在我司买入，独-家委托于我，看房方便！户型描述：全明板式户型，客厅朝南带观景大阳台，2个卧室南北对通，主卫目前改做小书房在用，厨卫全明，整个房子通透明亮！看房：业主目前自己住，看房提前半天预约。诚意售房，欢迎实地看房。","特色
                                            【小区户型】两梯四户，100平米南北通2房，149平米南北通3房
                                                            
                                            【生活配套】到武康路菜市场200米，到华联超市100米
                    
                                            【轨道交通】地铁江苏路站1100米，开车200米上延安高架
                    
                                            【附近学校】对口江苏路第五小学（市重点），延安中学，市三女中
                    
                    
                    
                "
"真盘实价 华山花园新出高区3房,带产权车位！对口江五！","https://shanghai.anjuke.com/prop/view/A1614391832?from=filter&spread=filtersearch&invalid=1&region_ids=6&position=3&kwtype=filter&now_time=1552900004",72887,142,24,"西南","精装修","普通住宅",3,2,2,"高层",27,"有","商品房","华山花园",NA,97,0.3,8,"长宁","新华路","江苏路813号",FALSE,TRUE,TRUE,"房源详情：华山花园高区景观3房新放盘，低于同户型150余万急售！朝西南，视野开阔，看兴国宾馆和华山绿地全景，足以媲美嘉里华庭！一层共4户人家，其中A、D朝东看景观，B、C朝西临街，本套属于景观户型，带一个地下产权车位。对/口江五和延安中/学！户型描述：3+1户型，客厅弧形全落地景观窗，餐厅也为双开景观窗，书房朝西12平，主卧套房20平带4平观景外阳台，厨卫全明，带一个明窗保姆间，整个房子通透明亮！","特色
                                            【小区户型】小区2梯4户，总高27楼，小区主力户型是：130平米和142平米朝南3房！
                                                                【小区设施】小区总户数是88户，地下车位94个，车位配比1：1.06，车位租金300元/月！
                                                                【房屋品质】小区开发商是：上海基立房地产开发有限公司，1995年竣工的高层住宅，建筑面积20000平米！
                    
                    
                    
                                            【附近学校】对口上海市重点名师名校：江苏路五小和延安初级中学！
                    
                    
                                            【其他描述】小区物业公司是：港联物业，物业费是6.8元/平米/月！
                    
                "
"04年高品质小区，高区景观，板式南北通大三房，自带泳池会所！","https://shanghai.anjuke.com/prop/view/A1609095060?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=6&position=4&kwtype=filter&now_time=1552900004",75397,126,15,"南北","精装修","普通住宅",3,2,2,"高层",28,"有","商品房","今日丽园",3.3,100,0.4,2.55,"长宁","新华路","延安西路1328弄",TRUE,FALSE,TRUE,"【户型】：3-2-2结构，主卧朝南带飘窗带套卫，两次卧朝北，厨卫全明户型{详见户型图}【装修】：精装修，原先房东自己住的，保养得不错，可以拎包入住。可参考实勘照片。【产权】：产权2个，户口没有，满五唯一税少【亮点】：1.小区品质好，04年的次新小区，带会所泳池2.带产权车位！带产权车位！带产权车位！","特色
                                            【小区户型】102.34㎡两房，124.25-248.97㎡三房、四房和五房，南北朝向，户型方正，视野采光俱佳。
                                                                                    【房屋品质】由上海市金渊房产有限公司开发建造，建筑质量优秀，外墙和楼内墙面的隔音隔热效果优异，防水防潮标准合格。
                    
                                            【生活配套】距中山公园商圈1300米，天山公园830米，徐家汇商圈1800米，古北国际社区2600米。
                    
                                            【轨道交通】距地铁3号线、4号线延安西路站800米，公交延安西路定西路站(57、311路)50米。
                    
                    
                    
                                            【其他描述】40000㎡高品质静谧社区，绿荫掩映的新华路街区，1100㎡多功能会所臻显居家品位。
                    
                "
"长宁地铁口 正虹桥 国展旁 精装LOET无需社保可购可贷","https://shanghai.anjuke.com/prop/view/A1612974802?from=filter&spread=filtersearch&invalid=1&region_ids=6&position=5&kwtype=filter&now_time=1552900004",35556,45,2,"南","精装修","普通住宅",1,1,1,"低层",13,"有","商品房","悦茂可乐公馆",NA,NA,NA,0,"长宁","西郊","福泉路418号",TRUE,FALSE,FALSE,"1、复式！！！赠送率高达90，买到绝/对赚到！2、户型:面积26平米，复式，非常正气，采光非常好3、名企云集，数万人就业于此，不愁租不愁脱手！物业类型：此房是产权，不限贷类型4，不收您任何费用，免`费带您看房，一次性*有折扣","特色
                                            【小区户型】小区在售面积为25-60平的两房和房，总高5层的公寓房，采光充足，房型大气。
                                                            
                    
                                            【轨道交通】出小区大门向东步行500米就是地铁2号线淞虹路站，800米有30个公交站点，出行便利。
                    
                    
                    
                    
                "
"便宜！低门槛入住品质社区嘉里华庭带车位两房，业主降价急售。","https://shanghai.anjuke.com/prop/view/A1605011661?from=filter&spread=filtersearch&invalid=1&region_ids=6&position=6&kwtype=filter&now_time=1552900004",86100,137.1,18,"西","精装修","普通住宅",2,2,2,"低层",38,"有","商品房","嘉里华庭",NA,167,0.53,6.5,"长宁","新华路","华山路1038弄163-171号",FALSE,TRUE,TRUE,"房型介绍：二房两厅二卫，主卧室朝西南带阳台，一房朝北厅朝北，厨房间有操作阳台。小区介绍：分为1.2.3.5号楼，其中1.3.5号楼建于2001年，2号楼08年以前作为*出租，08年重新装修，更换上下水，精装交付出售。自带会所，包含瑜伽健身，室内泳池和网球场，嘉里置业的物业，香格里拉酒店式物业管理，24*大堂安保。","特色
                                            【小区户型】嘉里华庭一期137的两房145 153 175的三房 237 245 333的四房南北通透户型方正。
                                                                【小区设施】车位配比1.1.5，车位充足可租可售。
                                                                【房屋品质】香港嘉里建设开发，大品牌开发商品质有保障，物业管理肥非常好。
                    
                    
                    
                                            【附近学校】江苏路第五小学 延安中学 都是市重点学校。
                    
                    
                    
                "
"古北新苑新出三房,楼层位置好，精装拎包入住，带车位方便看房！","https://shanghai.anjuke.com/prop/view/A1616172130?from=filter&spread=filtersearch&invalid=1&region_ids=6&position=7&kwtype=filter&now_time=1552900004",67443,157.2,15,"南北","精装修","普通住宅",3,2,2,"中层",11,"有","商品房","古北新苑",2.9,370,0.4,2.8,"长宁","古北","古北路1398弄",TRUE,FALSE,TRUE,"1，概况：房子地理位置好，居住环境好，精装修，拎包即可入住。房东诚心出售，看房子方便。2，户型：3室2厅，面积：155.74平方米；房子户型大气，采光通风效果俱佳，客厅非常宽敞；3,靓点：居住环境好，天然的自然环境，生活空气清新。繁华地段，交通方便","特色
                                                            
                                            【生活配套】小区出门向北300米，到家乐福生活超市，向北100米，到长宁古北国际生活圈！
                    
                                            【轨道交通】小区出门向北200米，到地铁10号线伊犁路站！
                    
                    
                    
                    
                "
"业主置换需要名额，可谈空间大，朝南700平集中花园，提前约看","https://shanghai.anjuke.com/prop/view/A1614089017?from=filter&spread=filtersearch&invalid=1&region_ids=6&position=8&kwtype=filter&now_time=1552900004",102095,420,18,"南","精装修","普通住宅",6,3,5,NA,3,"有","商品房","虹桥城市花园(别墅)",NA,NA,NA,NA,"长宁","古北","黄金城道99弄",FALSE,FALSE,TRUE,"户型好：420平米，占地1100平米，地上二层，坐北朝南，全框架结构，带地下室，独享700平米私家花园，小区中间位置，闹中取静。一层：客厅挑空7米，很气派，双厅带一间卧房，餐厅、客厅全落地式玻璃，開放式厨房带保姆间，采光良好；二层：四间卧房，2房朝南2房朝北，都是套房设计，主卧朝南，方正大气，至少50平米，带衣帽间卫生间；负一层：地下室，有私家泳池、雪茄吧、台球室。","特色
                                            【小区户型】由24栋总高3层的花园别墅组成，主力270平4房，320-450平的五房客厅南北通透，楼间距80米。
                                                                【小区设施】人车分流，车位配比1:1.5，有人造山水和湖泊，中央喷泉，自带会所包含室内恒温游泳池，健身房，瑜伽。
                                                                【房屋品质】佳坤建社发展有限公司开发建设，于2000年交房。主体采用钢筋混凝土的框架结构，外立面有优良的防水防潮
                    
                                            【生活配套】1000米内黄/金城道商业步行街、申康宾馆、樱花度假村、巴黎贝甜、300米虹桥中心绿地、 星巴克。
                    
                    
                    
                    
                                            【其他描述】小区物业管理非常好，安保24H巡逻。自由出入、单元门锁、摄/像头，小区内部杂物清/理整洁，定时打扫。
                    
                "
"VR看房 精装修全送  近71路 南北两房 送固定车位 急售","https://shanghai.anjuke.com/prop/view/A1616892366?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=6&position=9&kwtype=filter&now_time=1552900004",45072,49.9,23,"南北","精装修","普通住宅",2,0,1,NA,5,"无","商品房","虹桥机场新村",NA,200,0.3,1,"长宁","虹桥机场","虹桥机场新村9-299号",TRUE,TRUE,FALSE,"1、此房的位置是在小区的中间，此小区像这样的房子就只有几栋，很安静。2楼的楼层，主卧室朝南，次卧朝北，全新装修，厨房、卫生间朝北，是适合居家的理想选择，我深信爱家的你看了一定会喜欢。2、小区概括：虹桥机场新村位于沪青平公路迎宾三路，大门位于迎宾三路和沪青平公路上，周边设施齐全，靠近虹桥机场，绿化率达百分之三十，交通便利，步行至地铁10号线1号航站楼站15分，步行至71路无轨电车200米，出行、购物很方便.3、对口学校：虹桥机场幼儿园、虹桥机场小学、程桥中学","特色
                                                            
                    
                                            【轨道交通】本小区门口出门就是沪清平公路，门口50米有71路无轨电车，直达外滩。
                    
                                            【附近学校】本小区里面自带幼儿园，小区北门出去250米就是机场小学是为长宁区重点学校。
                    
                    
                    
                "
"淞虹路未来规划22号线地铁口的房子，单价洼地 买进自住实惠.","https://shanghai.anjuke.com/prop/view/A1607222126?from=filter&spread=filtersearch&invalid=1&region_ids=6&position=10&kwtype=filter&now_time=1552900004",46597,60.1,21,"南北","精装修","普通住宅",2,1,1,"中层",6,"有","商品房","绿园五村",NA,60,0.2,0.5,"长宁","西郊","淞虹路1005弄",TRUE,FALSE,TRUE,"房屋摘要：【老客户委托】【通透户型】【明厨明卫】1、园区中的位置，通透明亮，明厨明卫设计很难得2、户型方正无缺角，正规的2居室，实用性强3、老客户的房子，诚意出售，价格可以商量更多好房源请点击我头像查询，谢谢！","特色
                                            【小区户型】小区均为一梯两户，面积在48-83平，一房到三房，50平一房户型好，适合居住
                                                            
                                            【生活配套】小区东侧20米有沿街商铺，里面有星巴克咖啡和中高端餐饮，在逐步完善，300米南山医院。
                    
                    
                    
                                            【居民素质】整体民风淳朴，年龄段偏高，邻里关系良好，人员流动性不高，租户少
                    
                    
                "
