"title","URL","unitprice","area","year","direction","decoration","category","bedroom","hall","lavatory","storey","totalstorey","elevator","property","community","far","parkinglot","greening","fee","admdist","secdist","address","subway","school","convenience","sellingpoint","opinion"
"近轨道交通配套齐全 南北通前后无遮挡.房东诚心出售看房随时","https://shanghai.anjuke.com/prop/view/A1603942971?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=14&position=1&kwtype=filter&now_time=1552964759",30033,116.5,9,"南北","毛坯","普通住宅",3,2,2,"中层",18,"有","商品房","宏立瑞园",1.8,1600,0.3,1.9,"嘉定","南翔新城","宝翔路560弄",TRUE,TRUE,TRUE,"产证面积116.54平，1房朝南2房朝北户型，厅南北通1.一手动迁房，可正常交易过户，2.采光足，一房朝南，两房朝北，厅南北通3.产权清晰，无户口，好过户4.税费少，免征*税，个税享受国家优惠5.小区优势在于位置好，出门就是菜市场，商场，超市，小吃，饭店。税费：房子是从动迁户手中直接*进，只需缴纳1个点的个税，首套1.5，二套3个点契税，税费低","特色
                                            【小区户型】全小区30栋楼，两梯四户，全南一房59㎡，两房84㎡全南和南北通户型、三房117㎡南北通户型
                                                            
                    
                                            【轨道交通】小区门口就是多路公交站直达地铁站，小区西南方1.2公里处就有沪嘉高速出入口早晚高峰较为拥堵
                    
                                            【附近学校】全日制公办学校：留云幼儿园、留云小学、留云初中、古猗小学、宝翔幼儿园，师资优良，教育规范。
                    
                    
                    
                "
"面朝公园 业主诚心出售 看房方便 全天日照 采光无任何遮挡！","https://shanghai.anjuke.com/prop/view/A1607262451?from=filter&spread=filtersearch&invalid=1&region_ids=14&position=2&kwtype=filter&now_time=1552964759",39347,50.8,11,"南","精装修","普通住宅",1,2,1,"低层",13,"有","商品房","水岸金桥苑",2.3,NA,0.4,1.1,"嘉定","江桥","鹤霞路555弄",TRUE,TRUE,TRUE,"1：核心卖点：一手动迁，免除营业税，房东急售，低于市场价。配套成熟，社区居民以本地为主，物业管理严谨，治安效果好！小区环境优美，绿化率高。2：户型介绍：此房1房1厅1卫1阳台，主卧朝南，南北通透客厅带朝南阳台，朝北,全明户型。3：周边配套：家乐福超市，菜市场，医院,就在小区周边，4：售房原因：业主因为置换很诚心出售，看中了价格还可以谈，预购从速。","特色
                                                            
                                            【生活配套】小区北门距双佳菜场100米，基本满足生活需要，小区800米处有万达广场，华泰商业中心，娱乐休闲一体。
                    
                                            【轨道交通】东门距地铁13号金运路站750米，该站经过6站到达金沙江路站，可换乘3.4号线，经14站到达南京西路
                    
                                            【附近学校】距小区东门300处金鹤中学，北门500米处封浜中学，距小区1300米处金鹤小学，师资力量较为匮乏。
                    
                    
                    
                "
"新出全明精装一房 距13号线丰庄站仅200米 家具家电全送","https://shanghai.anjuke.com/prop/view/A1617292390?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=14&position=3&kwtype=filter&now_time=1552964759",39353,45.7,21,"南","精装修","普通住宅",1,1,1,"中层",6,"无","商品房","金沙社区",NA,NA,NA,0,"嘉定","丰庄","丰庄西路433弄",TRUE,FALSE,TRUE,"1.户型：一房朝南带阳台，厨房朝北，卫生间朝北，厅在中间，全明户型！2.装修：精装修，干净清爽！3.配套：靠近13号地铁丰庄路地铁站，交通便利，出门有菜场、超市，生活便利！","特色
                                            【小区户型】小区多数为一梯两户，部分一梯四户，主力户型45-50平的一房和61-71平的两房，有少量90平的三房
                                                            
                    
                                            【轨道交通】13号线丰庄站距小区300米左右，距小区100米有717.765等公交站牌
                    
                    
                    
                    
                "
"vr商圈强推两房，送车位，房东诚意出售看中价格可谈，欢迎来电","https://shanghai.anjuke.com/prop/view/A1613481337?from=filter&spread=filtersearch&invalid=1&region_ids=14&position=4&kwtype=filter&now_time=1552964759",40343,88.7,7,"南北","精装修","普通住宅",2,2,1,"高层",14,"有","商品房","森林公馆(西区)",1.5,NA,0.35,2.5,"嘉定","南翔新城","栖林路425弄",FALSE,TRUE,TRUE,"（1）户型好：产证87.02平，得房率高，性价比高，板式户型，厅南带阳台，主卧朝南，厨卫全明，楼层好，采光充足！（2）装修好：开发商统一精装修，装修标准：4500元/每平，全品牌配置房东自住保养的也很好，小区外层有隔热层，双层玻璃，能源损耗小，保温又节能，符合现在低碳理念！（3）设计好：一楼是入户大堂，大气上档次，小区楼间距大，隐私空间保护的特别好！","特色
                                            【小区户型】小区大多是69平的一房以及86平的两房，还有大平层
                                                            
                                            【生活配套】小区出门200m就是五彩城商场，格林美食街，宝翔菜场都在附近，宝箱幼儿园1000m
                    
                    
                    
                    
                    
                "
"看房随时 新上房源 真实在售 多层中层 满五唯一 无税","https://shanghai.anjuke.com/prop/view/A1616934040?from=filter&spread=filtersearch&invalid=1&region_ids=14&position=5&kwtype=filter&now_time=1552964759",43423,47.2,21,"南","简单装修","普通住宅",1,1,1,"中层",6,"无","商品房","丰庄十二街坊",NA,NA,0.23,0.3,"嘉定","丰庄","丰庄北路166弄,丰庄西路558弄,丰庄北路82弄...",TRUE,FALSE,FALSE,"【房源优势】1、主卧带阳台，厅在当中朝北有窗厨卫朝北，一梯两户，厨卫全明，超高得房率。2、装修是老装修，直接可以重新装修，户型非常棒！3、交易优势：房子是满五唯一的，税费少，交易成本低！","特色
                                            【小区户型】小区分为3个弄  为166弄82弄558弄，主要户型46平一房，66平两房，多层 总高6楼
                                                                                    【房屋品质】小区为1997年动迁房，大多板式楼层，结构稳固，隔音效果非常好的。
                    
                    
                                            【轨道交通】小区近地铁13号线丰庄站500米，小区门口55米左右有765路公车站终点站。
                    
                    
                    
                    
                "
"租金5000   地铁口800米  精装修送家电","https://shanghai.anjuke.com/prop/view/A1607181457?from=filter&spread=filtersearch&invalid=1&region_ids=14&position=6&kwtype=filter&now_time=1552964759",12500,48,4,"南北","精装修","普通住宅",2,2,2,"低层",16,"有","商品房","V6时代",3.8,NA,0.15,4,"嘉定","安亭","新源路155弄16号",TRUE,FALSE,TRUE,"小区名称：V6时代1【产证信息】：此房48平米、亲自拉过产权调查，产权清晰无纠纷！2【房子位置】：此房位于小区中心位置，小区中心花园！位置好、周围环境优雅。3【建筑格局】：2房2厅2卫。南北直通，厨卫全明。全明户型采光充足！4【装修情况】：此套房源属于精装修~直接可拎包入住","特色
                                                            
                                            【生活配套】小区南侧200米是嘉庭荟商业体，北侧300米是大菜场，西侧400米是活动场，东侧800米是酒吧一条街
                    
                                            【轨道交通】小区门口出来有安亭1路，2路，陆安线，北安线等多路公交车，东侧500米是11号地铁安亭站。
                    
                    
                    
                    
                "
"业主再次挂牌出售！急售降价30万诚心出售！品质进口装修！样板","https://shanghai.anjuke.com/prop/view/A1615716463?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=14&position=7&kwtype=filter&now_time=1552964759",34422,73.2,9,"南北","豪华装修","普通住宅",2,2,1,"中层",6,"无","商品房","金鹤新城水岸秀苑",2.8,400,0.4,1.4,"嘉定","江桥","鹤旋路500弄",TRUE,FALSE,TRUE,"1.楼层朝向；中心位置，南北通透，卧室朝南，厨卫朝北，阳台大，小区花园地段。2.交通方便；步行到13号线金运路地铁10MIN内，周边多辆公交路线；3.性价比高；看房随时，4.配套齐全；生活很方便、万达广场，华泰中心；5.购物便利；万达广场，家乐福等！","特色
                                                            
                                            【生活配套】小区东门口朝东步行750米是万达广场，家乐福，吃喝玩乐都方便，朝南步行800米是华泰商业中心！
                    
                                            【轨道交通】小区东门口到13号金运路地铁站700米，可换乘3号线.4号线，7号线，7号线可到达静安公园
                    
                    
                    
                    
                "
"实拍房源南北通透三房,周边配套齐全,一手动迁税少,房东急售","https://shanghai.anjuke.com/prop/view/A1613865682?from=filter&spread=filtersearch&invalid=1&region_ids=14&position=8&kwtype=filter&now_time=1552964759",36304,85.4,4,"南北","毛坯","普通住宅",3,2,1,"高层",18,"有","商品房","翔和雅苑(三区)",NA,NA,0.35,1.9,"嘉定","南翔","德园路1500弄",TRUE,TRUE,TRUE,"本房卖点：现房东委托*一家出售，看房找我！！！1、房屋价格：现在房东置换急售《房东因为工作调动在杨浦，想置换到杨浦，那边已经定好房子，急需卖掉此房支付首付》所以诚心售，报价310万！省税房。2、房屋状况：产证面积85.39，18楼（景观楼层）。2梯4户，南北房型，房型正气，南北通透。该房屋无抵押，无贷款，，产权清晰。3、交通介绍：（近11号线南翔站、陈翔站步行五min！）4、内部设施：小区是2013年新建的，内部设施齐全。有地上和地下停车场，车位充足。还有非机动车专用停车位，井然有序。有娱乐健身设施及休息亭，供居民锻炼身体休闲散步。绿化率高，空气清新","特色
                                            【小区户型】小区均为2梯4户，主力户型为54㎡一房，70㎡两房和86㎡三房，适合刚需客户。
                                                            
                                            【生活配套】小区门口50米有联华超市，150米处天恩幼儿园，300米处集贸市场，1500米大润发超市，生活方便。
                    
                    
                    
                    
                    
                "
"卢尔公寓，满五无税，接受置换，近地铁，价格好谈，看房随时","https://shanghai.anjuke.com/prop/view/A1611755512?from=filter&spread=filtersearch&invalid=1&region_ids=14&position=9&kwtype=filter&now_time=1552964759",42107,125.9,12,"东西","精装修","普通住宅",3,2,2,"中层",18,"有","商品房","卢尔公寓",2.3,NA,0.6,2.5,"嘉定","南翔新城","芳林路333弄",TRUE,FALSE,TRUE,"一、房源核心卖点：1、房型介绍：3房2厅2卫，面积124.39平米，2房朝南、主卧朝南15平米，次卧朝南13平米，1房朝北12平米，客厅南北通35平米，厨卫全明，厨房8平米，主卧卫生间加衣帽间有12平米，次卫生间有6平米，得房率80%左右，人车分流。2、装修情况：业主自己精装修，目前业主空关，具体看室内照片。3、小区品质：金地卢尔公寓是金地2007年在南翔*批建造住宅项目，旁边就是百亩公园，近南翔地铁站，生活配套齐全；","特色
                                            【小区户型】小区主力户型为125㎡-135㎡南北通三房、175㎡南北通四房，和少量98㎡全南户型大两房。
                                                            
                    
                                            【轨道交通】距11号线南翔站400米，轨交出行到市区和嘉定都非常方便。
                    
                    
                    
                    
                "
"正宗南北通透两房，中间楼层，采光好，得房率高，动迁税少，钥匙","https://shanghai.anjuke.com/prop/view/A1617978577?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=14&position=10&kwtype=filter&now_time=1552964759",35271,76.6,13,"南北","毛坯","普通住宅",2,2,1,"高层",6,"无","商品房","金鹤新城双佳翠庭",1.8,400,0.35,0.45,"嘉定","江桥","金园一路1118弄",FALSE,FALSE,TRUE,"正气南北户型，主卧朝南次卧朝北客厅南北通透，已做好开放式厨房，厨卫全明，都带有窗，布局合理，无任何浪费面积。位置靠近小区活动绿化带，前后绿化带开阔，视野好。看房随时方便（我是资深顾问：周士琦）","特色
                                            【小区户型】小区以小高层和多层为主，都是一体两户的户型，南北通透，楼栋间距适中，适合刚需客户
                                                                【小区设施】小区自带便民超市，满足生活购物需求，带中心花园，有健身器材方便老人锻炼，儿童娱乐玩耍，停车位充足
                                        
                    
                    
                    
                    
                    
                "
