"title","URL","unitprice","area","year","direction","decoration","category","bedroom","hall","lavatory","storey","totalstorey","elevator","property","community","far","parkinglot","greening","fee","admdist","secdist","address","subway","school","convenience","sellingpoint","opinion"
"苏州河畔，独此一家，附送80万豪华装修和家具家电，还带车位","https://shanghai.anjuke.com/prop/view/A1609624553?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=2&position=1&kwtype=filter&now_time=1552815085",50588,85,17,"南","豪华装修","普通住宅",3,2,2,"高层",18,"有","商品房","恒丰古北家苑",2.4,500,0.35,0.65,"静安","新客站","光复路871,873,875,877号",TRUE,TRUE,TRUE,"温馨提示【此信息已通过安居客官方检验，真实在售】☆《小区详情》：02年品质小区，小区正临苏州河，风景宜人，闹中取静☆《户型介绍》：全南户型☆《交通通勤》：1,12,13三轨道交通，汉中路站☆《房源优势》：临近苏州河畔，豪华装修送家具家电☆《周边配套》：不夜城广场，苏州河景观☆《更多好房请点击右上角我的头像进入我的网络店铺》☆","特色
                                                            
                                            【生活配套】出小区往北走步行大约1.12米即可到达环龙百货、南广场商业配套，各大超市菜场、银行学校等齐全
                    
                                            【轨道交通】出小区步行大约386.5米即可乘坐1号线汉中路站，13号线3号线4号线也在边上，公交线路众多出行方便
                    
                    
                    
                    
                "
"闸北实验总校 诚意出售 看房随时方便有钥匙","https://shanghai.anjuke.com/prop/view/A1614477841?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=2&position=2&kwtype=filter&now_time=1552815085",99502,28.1,23,"南北","毛坯","普通住宅",1,0,1,"低层",6,"无","商品房","大宁路660弄小区",NA,264,0.38,0.65,"静安","大宁","大宁路660弄",TRUE,TRUE,TRUE,"一：房子是一房一厅，一房朝南带阳台，厅南北通透，厨卫朝北。二：周边配套设施齐全，出门50米大润发，300米地铁一号线延长站，第十人民医院，久光百货。三：出门就是937，959，40路公交，交通便利。","特色
                                            【小区户型】房龄都是90年代左右的大部分都是一梯4户居多也有一梯两户的一房朝南朝西户型都有，二房以两南居多为主
                                                            
                                            【生活配套】小区离大润发和大宁国际50米目前还有在造的久光百货。大约100米
                    
                                            【轨道交通】上海马戏城站距小区200米。门口有多个公交车站台。
                    
                                            【附近学校】小区对口静安重点实验小学总校。户口必须放两年才能就读。
                    
                                            【居民素质】地段繁华大多本地居民，老年人居多，本地人占小区比例7成左右
                    
                    
                "
"(宝华现代城 配套成熟 大宁国际 轨道1号线 高品质小区)","https://shanghai.anjuke.com/prop/view/A1614482325?from=filter&spread=filtersearch&invalid=1&region_ids=2&position=3&kwtype=filter&now_time=1552815085",81250,96,10,"南","精装修","普通住宅",2,2,1,"中层",27,"有","商品房","宝华现代城(二期)",2.3,768,0.39,2.5,"静安","大宁","广延路555弄",TRUE,FALSE,TRUE,"1.房型简介：2/2/1/1厅朝南带阳台两房朝南厨卫全明两梯四户房子是7楼总高26楼房子目前业主在住看房基本都方便2.面积价格：房子面积是95.82房东挂830万房子是满两年产权人两个没有户口买进价格是280万左右带产权车位3.小区简介：小区位于广中路与共和新路小区是2008年竣工","特色
                                            【小区户型】小区64平方一房，95-97南北通的两房，121-139的南北通三房，190平方南北通四房。
                                                            
                                            【生活配套】出门200米距离郁金香公园，大宁国际商场。
                    
                                            【轨道交通】小区出门100米距离上海马戏城一号线
                    
                    
                    
                    
                "
"动迁福音！买壹层送壹层，稀有复式，送50万精装，可定金交房","https://shanghai.anjuke.com/prop/view/A1615827234?from=filter&spread=filtersearch&invalid=1&region_ids=2&position=4&kwtype=filter&now_time=1552815085",51944,85.7,15,"东","豪华装修","普通住宅",5,2,2,"高层",8,"有","商品房","陆丰苑小区",1.6,NA,0.25,0.65,"静安","西藏北路","宝通路416弄,陆丰路2-4号,宝通路406弄",FALSE,FALSE,FALSE,"1、户型：3室2厅1厨2卫。上面2房全送2、朝向：南北通透，清新空气。3、位于小区排位置，不靠马路；楼栋距大，采光好。4、户型方正，布局合理，无浪费面积，超值。5、小区安静舒适，环境优美，非常适宜居住。"," "
"慧芝湖您没见过的稀罕户型，新出诚意急售，有学qu无个税无贷款","https://shanghai.anjuke.com/prop/view/A1615874891?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=2&position=5&kwtype=filter&now_time=1552815085",86283,90.4,10,"南北","精装修","普通住宅",2,2,1,"中层",35,"有","商品房","嘉悦天地(慧芝湖花园三期)",2.5,500,0.4,4.3,"静安","大宁","平型关路1088弄",FALSE,TRUE,FALSE,"户型介绍：2/2/1，客厅朝南带阳台，餐厅朝北带飘窗，厅南北直通，主卧朝南带飘窗，一房朝北，厨卫全明厨房带阳台。2.面积价格：房子面积是90.4平米。备注：房子是表姐朋友的房子，一直在深圳做生意，买进一直空关着，基本没住过。房子没有贷款，没有户kou，学xiao名额没有用过，是满5年唯yi一套没有个税。设计装修是请的廖宜康设计师设计的，（厨房、餐厅、进门玄关处有惊喜）。钥匙在我这里，看房子联系我随时都能看。房子没有在我这里以外任何公司挂牌。您如果关于置、换或者其它什么都可以电话咨询问。","特色
                                            【小区户型】慧芝湖花园三期主推90平米两房，两房朝南，厅朝南，厨房带工作阳台，户型好。
                                                            
                    
                    
                                            【附近学校】小区对口大宁国际小学，主打外国语，教学质量高，师资力量大，学校非常不错。
                    
                    
                    
                "
"达安河畔，07品质小区，看房方便，价格可谈，房东诚意，税费少","https://shanghai.anjuke.com/prop/view/A1614710655?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=2&position=6&kwtype=filter&now_time=1552815085",71982,90.3,12,"西南","精装修","普通住宅",2,2,2,"高层",24,"有","商品房","达安河畔雅苑",3.1,429,0.36,2.2,"静安","江宁路","安远路5弄1-3号",FALSE,FALSE,TRUE,"1、【户型】2房2厅2卫主卧朝南客厅南北通带阳台户型方正无丝毫浪费空间厨卫全明舒适2、【楼层】楼层，高达85%，采光好，前后无遮挡！3、【交通配套】交通方便，步行可到站，自驾出行国道高速四通八达，公交站牌就在小区门口4、【环境与安全】小区人文环境优美，物业和保安到位，您可以放心入住","特色
                                            【小区户型】小区总共两栋楼，2-6楼是商业的，6楼以上的是复式小户型，朝南的
                                                                                    【房屋品质】小区物业费是2.2元每平方米，2008年竣工的房龄，是达安物业，绿化率是38%，停车位是1:1
                    
                    
                    
                    
                    
                    
                "
"苏州河沿岸顶复，送70平超大露台60万精装，可直接入住！","https://shanghai.anjuke.com/prop/view/A1615917540?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=2&position=7&kwtype=filter&now_time=1552815085",50652,94.4,13,"南北","精装修","普通住宅",4,2,2,"高层",6,"有","商品房","恒丰古北家苑",2.4,500,0.35,0.65,"静安","新客站","光复路871,873,875,877号",FALSE,FALSE,FALSE,"【户型介绍】4室2厅1厨2卫，南北户型，一梯两户，开放式厨房，全明卫生间，布局端正，南北通透，采光充足，送楼上70平起超大露台。【装修情况】业主3年前精装修，当时花了很多心血和60万的装修成本。【小区情况】2006年小区，知名物业公司管理，保安24小时巡逻。入住业主均是高端知识分子，邻里友善，环境优美整洁【流程】为您选房→配房→带您看房→满意→付意向→转定→签合同→首付→陪同贷款→交易过户→新产证→放贷→交房(水电煤过户)","特色
                                            【小区户型】小区分两期开发，一期1997年竣工，二期在一期的正前方，871和873号是15层的电梯房！主要大户型
                                                            
                    
                    
                    
                                            【居民素质】小区基本都是上海本地人自住，外地租客非常少，很有生活气质！
                    
                    
                "
"看房随时丨总价樶低丨挂户口神器！对口万小产权房！","https://shanghai.anjuke.com/prop/view/A1608628692?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=2&position=8&kwtype=filter&now_time=1552815085",107500,24,22,"北","简单装修","普通住宅",1,1,1,NA,4,"有","商品房","中行小区",NA,100,0.3,0.8,"静安","曹家渡","万航渡路623弄",TRUE,TRUE,TRUE,"1.税费：满五唯一2.产权信息：产权三人3.贷款信息：无抵押无贷款4.看房：有钥匙随时看房，房东很诚心出售5.户口情况：有户口可迁走","特色
                                            【小区户型】面积24平94年的，使用权房都是70年以前的，主力大户型，坐北朝南，采光通风俱佳。
                                                                【小区设施】小区内附有1：1的有停车位，给业主停车提供了便利。
                                        
                                            【生活配套】出口50米有工商银行，建设银行。小区紧邻悦达889广场100米，离慧芳广场家乐福300米
                    
                                            【轨道交通】离江苏路地铁口11号线300米，出行交通便捷。
                    
                                            【附近学校】对口南西幼儿园，静安区重点万航渡路小学，直升市西中学，七一中学。
                    
                    
                    
                "
"稀.缺复式3房 送阁楼 附带产权车位  仅此一套","https://shanghai.anjuke.com/prop/view/A1615931197?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=2&position=9&kwtype=filter&now_time=1552815085",52500,80,17,"南北","精装修","普通住宅",3,2,2,"高层",6,"无","商品房","和颐苑",2.2,252,0.38,0.85,"静安","西藏北路","宝昌路659弄",TRUE,TRUE,FALSE,"【1】房型介绍：两房朝南，一房朝北，厅南北通，厨卫全明全亮，采光无敌的好【2】装修简介：当时花了35万的精装修，保养的很好，可以拎包入住。【3】税费产权：满五年唯一（只需要购房契税首套1%二套3%）无户口，无抵押，产权人签字都很方便。","特色
                                                            
                    
                                            【轨道交通】距离西藏北路站442米，此站可换乘1号线，距离东宝兴路站924米，此站可换乘3号线。
                    
                                            【附近学校】对口中山北路小学，一般公立小学，近987米内有：三中心小学 中山北路小学 永兴路二小。
                    
                    
                    
                "
"火爆急售，对口一师，实用三房，免.税房，高区景观，随时看房！","https://shanghai.anjuke.com/prop/view/A1616018967?from=filter&spread=filtersearch&invalid=1&region_ids=2&position=10&kwtype=filter&now_time=1552815085",79256,94.6,24,"南","简单装修","普通住宅",3,1,1,"高层",24,"有","商品房","新闸路四和花园",3.2,360,NA,0.8,"静安","曹家渡","新闸路1910弄",TRUE,FALSE,TRUE,"此房产证94平米，目前三房一厅一卫格局，主卧朝南带阳台，两个次卧和厅朝北，南北通透，厨卫全明，高区采光，视野佳！核心卖点1：对口一师附小，名额未用2：买进700万，满二年，可免.税3：高区景观，南北通透，随时看房","特色
                                                            
                                            【生活配套】小区内有联华超市，购物方便；武定路菜市场距离小区500米
                    
                                            【轨道交通】小区出门向西500米处地铁2号线、7号线静安寺站
                    
                    
                    
                    
                "
