"title","URL","unitprice","area","year","direction","decoration","category","bedroom","hall","lavatory","storey","totalstorey","elevator","property","community","far","parkinglot","greening","fee","admdist","secdist","address","subway","school","convenience","sellingpoint","opinion"
"星河世纪城，高区景观房，小区花园位置，近入口，看房有钥匙！","https://shanghai.anjuke.com/prop/view/A1613398887?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=10&position=1&kwtype=filter&now_time=1552822075",60827,93.4,13,"南北","精装修","普通住宅",2,2,1,"高层",18,"有","商品房","星河世纪城星月蓝湾C区",NA,200,0.35,1.6,"普陀","真如","桃浦路300弄双号",TRUE,FALSE,TRUE,"星河世纪城位于：桃浦路300弄，邻轨道交通11号地铁上海西站和14号地铁大渡河路站，配套设施给您创造便捷的生活。小区绿化率高达49％，优雅的环境带给您美好心情！房屋概况：本房位于景观楼层，前排无遮挡，产证面积93.38平方，大两房，采光非常好，高性价比，房东自住，装修保持的很好，可以拎包即住！产证信息：产权2人，无户口，无抵押，无贷款，满五唯一！","特色
                                                            
                                            【生活配套】本小区出去50米就是家乐福大型超市，有农业银行，新启元大食堂，风行茶饮，网咖，宾馆等！配套成熟！
                    
                                            【轨道交通】出门50米桃浦路上面就是106.129.551等多路公交停靠站台！步行8分左右就是11号线上海西站！
                    
                    
                    
                    
                "
"双南两房，双阳台， 一梯两户，出门铜川路轨交站，看房有钥匙","https://shanghai.anjuke.com/prop/view/A1605927316?from=filter-salesxq&spread=filtersearch&invalid=1&region_ids=10&position=2&kwtype=filter&now_time=1552822075",44578,83,19,"南","精装修","普通住宅",2,1,1,"中层",6,"无","商品房","佳祥公寓",NA,20,0.4,1.5,"普陀","真光","铜川路1615弄1-16号",TRUE,FALSE,FALSE,"1、正南朝向、采光充沛、污染少空气质量高2、一梯两户、满五唯一税费少、南北通透、全明户型、邻里关系和谐、3、产权清晰户口好迁、自住精装修、可送家具电器、可直接拎包入住避免装修烦恼4、交通便利多条公交线路交错穿插，在建地铁14号线即将覆盖。","特色
                                            【小区户型】小区为6楼多层和高层电梯房，主力大户型，两房面积在80-110平米，三房面积在112平米以上。
                                                            
                    
                                            【轨道交通】小区北门往西向南500左右14号地铁真光站口，正在修建，预计年底竣工，出行十分方便
                    
                    
                    
                    
                "
"内环内长寿路版块，小区少有户型，南北通透，采光良好，看房方便","https://shanghai.anjuke.com/prop/view/A1602298251?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=10&position=3&kwtype=filter&now_time=1552822075",62125,70,24,"南北","精装修","普通住宅",2,1,1,"高层",26,"有","商品房","长寿新村",NA,500,0.3,1,"普陀","长寿","常德路1298弄1-10号",TRUE,FALSE,TRUE,"1、户型：主卧朝南带阳台，次卧朝北，厨卫全明，房型正气，采光无遮挡，通风效果好，布局合理2、装修：四年前的精致装修，房东自主，保养的还不错，干净清爽3、产权：产权一个人，产权清晰，没有抵押贷款，可以正常的交易","特色
                                            【小区户型】小区一共四栋楼，小区以70平左右的两房为主，有少量的100左右的三房户型，有少量的46、47平的一房
                                                            
                                            【生活配套】小区出门步行400米就是长寿公园，巴黎春天，步行240米就是亚新生活广场
                    
                                            【轨道交通】小区出门步行200米到七号线、十三号线长寿路地铁站，小区出门80米就是24路公交车终点站
                    
                    
                    
                                            【其他描述】小区是1995竣工的，开发商是泰升集团，物业公司是上海中环物业有限公司，物业费为1元/m2/月
                    
                "
"14年品质社区 稀有小户型 南北通透 精装修全送 带地下车位","https://shanghai.anjuke.com/prop/view/A1603211635?from=filter&spread=filtersearch&invalid=1&region_ids=10&position=4&kwtype=filter&now_time=1552822075",64998,82.3,6,"南北","豪华装修","普通住宅",2,2,1,"中层",18,"有","商品房","晶钻水岸",2.8,700,0.35,2,"普陀","武宁","东新路99弄",TRUE,TRUE,TRUE,"【该网络房源已通过安居客官方核验,真实有效】【小区地址】东新路99弄【户型装修】此房型一房朝南,一房朝北,厅南北直通,带景观阳台，稀有小两房，位置安静靠花园，精装修拎包入住.【产权信息】产调房东已拉好给到我,属于70年产权的纯住宅，产权清晰，有70万房贷,业主自行解决，没有户口,学位未用。-------更多好房请点击右上角我的头像进入我的网络店铺------------","特色
                                            【小区户型】小区分有高层和小高层，主要户型为110-128平的2房2厅，133平～195平的大3房和4房
                                                                【小区设施】小区最中心地带有花园及人工湖，人工湖旁边伴有健身器材，小区的业主经常在此散步健身。
                                        
                                            【生活配套】小区出门800米有家乐福大卖场，此小区离繁华的长寿片区只一桥之隔，伴着市中心静安区
                    
                                            【轨道交通】靠近地铁站600米左右，地铁3.4.13..号线镇平路站，早高峰会有拥堵情况
                    
                                            【附近学校】小区对口普陀第一梯队重点小学：武宁路小学。
                    
                    
                    
                "
"急，一个月内连降三次价，低市价200万，11年次新房，手慢无","https://shanghai.anjuke.com/prop/view/A1614547772?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=10&position=5&kwtype=filter&now_time=1552822075",69268,205,8,"南北","精装修","普通住宅",4,2,3,"中层",32,"有","商品房","品尊国际公寓",2.9,500,0.4,1,"普陀","真如","铜川路58弄",FALSE,FALSE,TRUE,"【1】小区名称：品尊国际公寓【2】产证面积：总高32楼的18楼，2梯2户，产证面积204.96，挂牌1420万。【3】产权信息：产权人1个人，在上海，无贷款，无抵押，【4】户型格局：4房2厅3卫，3房朝南，1房朝北，客厅南北通透带大阳台，厨卫有窗，边套全明户型。【5】楼层位置：小区里侧位置，远离马路干扰，日照充足，前后无遮挡。","特色
                                            【小区户型】小区一房面积在75平左右 、两房在90多平、 三房120平-160平左右，主力户型140平以上三房
                                                            
                                            【生活配套】出小区门有购物商场，底下一层有美食街，小区内自带游泳池供居民娱乐，500米可以到达鸿基时尚生活中心。
                    
                    
                    
                                            【居民素质】小区属于高档社区、入住多属于社会高端成功商务人士
                    
                    
                "
"火爆三月~近小区门口~不靠马路~一梯两户~随时看~钥匙房。急","https://shanghai.anjuke.com/prop/view/A1612762868?from=filter-salesxq&spread=filtersearch&invalid=1&region_ids=10&position=6&kwtype=filter&now_time=1552822075",41379,65.3,18,"南","毛坯","普通住宅",2,1,1,"中层",6,"无","商品房","真光新村第二小区",1.6,200,0.2,1.6,"普陀","真光","铜川路1780弄",TRUE,FALSE,TRUE,"核心卖点No1：采光好，朝向：南，小区采用人车分流设计充分保证您跟家人的人身安全,家具家电全送，配套设施相当齐全！No2：格局好，动静分开.布局合理,公摊面积小,空气流通，永远让客厅和卧室保持着新鲜的空气，有益身体No3：交通便利，，交通很是便利，能解除无车，堵车的痛苦No4：生活的便利自然不言而喻了，真是生活的天堂，省时省力。。","特色
                                                            
                                            【生活配套】距离中环百联，华润万家，全家只有200米，距离菜市场只有300米，周边配套齐全。
                    
                                            【轨道交通】距离11号线上海西站地铁站1000米，距离11号线祁连山路站500米，周边有多路公交站台，交通便利。
                    
                    
                    
                    
                "
"假一赔万 跳楼价 只卖本.月 欲购从速 三房朝南 高区 税少","https://shanghai.anjuke.com/prop/view/A1615713715?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=10&position=7&kwtype=filter&now_time=1552822075",69165,151.8,11,"南","精装修","普通住宅",3,2,2,"高层",28,"有","商品房","上海苏堤春晓名苑",NA,400,0.4,2.5,"普陀","长寿","长寿路800弄",TRUE,FALSE,TRUE,"1、房源描述：3房2厅2卫，小区中心位置，三房朝南正看小区花园，厅朝北到大阳台看苏州河，厨卫全明户型！采光充足，全天日照！2、高区景观、远看东方明珠、近看苏州河、出门就是小区花园、闹中取静。3、正对小区花园，户型合理，格局好，室内利用空间大，不临街，丝毫没有浪费面积，明星楼盘。4、附送：豪华装修全送！家具家电全送！另带车位！","特色
                                                            
                                            【生活配套】出门100米到家乐福超市，步行700米到达亚新广场，小区门门口70米设有健身房。生活配套非常完善！
                    
                                            【轨道交通】小区出门步行200米13号线武宁路站。出门各路公交319/40/54/63路公交，交通非常便捷！
                    
                    
                    
                    
                "
"凯旋花园，晋元*房，南北通户型，6楼的3楼带电梯，精装修","https://shanghai.anjuke.com/prop/view/A1610510496?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=10&position=8&kwtype=filter&now_time=1552822075",54681,91.4,18,"南北","精装修","普通住宅",2,2,1,"中层",6,"有","商品房","凯旋花园",1.8,225,0.4,1.05,"普陀","万里","新村路1759弄",TRUE,TRUE,TRUE,"本小区位于新村路真华路口，对口晋元*房，总高6楼的3楼带电梯，采光好。房型为一南一北厅南北通，小区位置好，采光好，精装修，全明。周边有家乐福，巴黎春天商场，大华商业虎城街，交通便利，购物方便。","特色
                                            【小区户型】小区大部分是一梯两户和两梯三户，南北通户型和全南户型
                                                            
                                            【生活配套】向东500米左右有家乐福超市，附近有乐购，巴黎春天，大华虎成第三空间，配套成套
                    
                                            【轨道交通】向南1000米左右有地铁11号线上海西站，交通便利
                    
                                            【附近学校】对口晋元学校九年制重点学区，旁边童的梦幼儿园
                    
                    
                    
                "
"VR全景，2房朝南，满5唯一，本人亲自上门实拍，急速看房","https://shanghai.anjuke.com/prop/view/A1614907404?from=filter&spread=filtersearch&invalid=1&region_ids=10&position=9&kwtype=filter&now_time=1552822075",41892,74,8,"南北","精装修","普通住宅",2,1,1,"中层",28,"有","公房","安居金祁新城(东区)",NA,200,0.43,2,"普陀","李子园","祁安路368弄",TRUE,TRUE,TRUE,"1房源卖点：高品质小区南北通透两房，中等装修，采光很好，得房率高2经典户型：1房朝南1房朝北，厨卫朝北，高区采光无遮挡！3小区介绍：住宅70年产权，成熟配套小区，绿化率高，4交通：地铁11号线桃浦新村站步行5分。公交:83882885975074212151230等自驾车*至外环高架真南路匝道，上外环。小区门口公交117直达火车站，838直达静安寺5学校：红樱桃幼儿园，白天鹅幼儿园桃浦中心小学，新杨中学，恒德小学6生活配套：沃尔玛，农工商超市，世纪联华超市，恒大广场等大型商场购物中心及娱乐中心","特色
                                            【小区户型】主要为2梯4户较多，辅为2梯5户，1梯4户，本小区2房居多，1房和3房相对少些。
                                                            
                    
                    
                                            【附近学校】对口小学文达九年制义务教育，幼儿园是普陀中心幼儿园，自带博士蛙幼儿园。
                    
                    
                    
                "
"新出笋盘一梯两户，房东全权委托出售。 无税, 近地铁，金洲","https://shanghai.anjuke.com/prop/view/A1615522366?from=filter&spread=filtersearch&invalid=1&region_ids=10&position=10&kwtype=filter&now_time=1552822075",43321,49.6,24,"南","精装修","普通住宅",1,1,1,"中层",6,"无","商品房","真光新村第八小区",2.3,500,0.35,0.5,"普陀","真光","金汤路353弄",TRUE,FALSE,TRUE,"1、正南朝向、采光充沛、污染少空气质量高2、一梯两户、满五唯一税费少、南北通透、全明户型、邻里关系和谐、3、产权清晰户口好迁、自住精装修、可送家具电器、可直接拎包入住避免装修烦恼4、交通便利多条公交线路交错穿插，在建地铁14号线即将覆盖。","特色
                                            【小区户型】小区主 推 小户型  一房一厅面积为49平   两房面积为65平 小区房年1998年 多层楼房
                                                            
                                            【生活配套】小区北门步行300米大型菜场 高陵菜场 步行北面400米真光公园
                    
                    
                    
                    
                    
                "
