"title","URL","unitprice","area","year","direction","decoration","category","bedroom","hall","lavatory","storey","totalstorey","elevator","property","community","far","parkinglot","greening","fee","admdist","secdist","address","subway","school","convenience","sellingpoint","opinion"
"松江9号线！上海产权联排别墅！总价低！ 地段好 ！看房随时！","https://shanghai.anjuke.com/prop/view/A1608302124?from=filter&spread=filtersearch&invalid=1&region_ids=15&position=1&kwtype=filter&now_time=1552925173",15000,200,9,"南北","精装修","普通住宅",4,2,3,NA,3,"有","商品房","港湾别墅",NA,NA,NA,NA,"松江","泖港","中天路299号",TRUE,TRUE,TRUE,"房型正气:格局周正合理、无浪费面积!精致装修:风格清雅别致、保护的非常好！采光充足:楼间距很大、无遮挡、采光非常棒！地段优势:位于区域繁华地段。配套成熟:小区周边配套特别完善成熟、附近有银行、医院校区、卖场等！","特色
                                            【小区户型】小区由16幢联排别墅组成，纯别墅小区，地上三层，地下一层。主力面积180平，220平。
                                                                                    【房屋品质】小区2004年竣工，全部钢混框架结构，防震、防水，防潮，隔音效果好，联排别墅，私密性强。
                    
                    
                    
                    
                                            【居民素质】小区基本上都是自住，以35-65岁的高素质人群为主，人员流动性低，邻里关系和谐。
                    
                    
                "
"中央空调全屋地暖 精装修大两房 5层电梯花园洋房 可落户上学","https://shanghai.anjuke.com/prop/view/A1612160812?from=filter&spread=filtersearch&invalid=1&region_ids=15&position=2&kwtype=filter&now_time=1552925173",32500,120,2,"南北","精装修","普通住宅",3,2,2,NA,5,"有","商品房","佘山水岸名邸",1.8,238,0.35,9.5,"松江","佘山","细林路298弄",FALSE,TRUE,TRUE,"一、房源优势：1、正房型楼层价出售2、挑高客厅宽敞大气3、精装修装修提包入住二、户型介绍：户型：3室2厅1厨2卫1阳台，，格局方正，使用率超赞1、客厅挑高、宽敞舒适、阳光非常充足三、社区介绍：环境优美适宜居住人文素质高物业管理完善1、本楼建成于房屋年代：2018年社区环境好2、小区是集中供暖的3、小区的容积率非常小，属于低密度社区，非常适宜居住4、小区的绿化率高，让您感受花园一样的家四、配套介绍：配套齐全生活所需一应齐全便利的生活触手可及地理位置得天独厚","特色
                                                                【小区设施】人车分流，车位配比1：1.5，有人造假山和湖泊，中央喷泉，聘请著、名设计师设计绿化，亭台阁楼。
                                        
                                            【生活配套】100米内商业步行街，申康冰棺，樱花度假村，300米虹桥中心绿地，星巴克。
                    
                    
                    
                    
                    
                "
"清盘在即）送软装送车位）精装带中央空调地暖一手洋房）拎包入住","https://shanghai.anjuke.com/prop/view/A1605902448?from=filter&spread=filtersearch&invalid=1&region_ids=15&position=3&kwtype=filter&now_time=1552925173",33133,83,2,"南北","精装修","普通住宅",2,2,1,"中层",8,"有","商品房","象屿上海年华",1.4,1085,0.35,2.8,"松江","莘闵别墅区","明华路1077弄",FALSE,FALSE,TRUE,"开发商：象屿地产；物业公司：象屿物业；物业费：2.8元/平米·月；每栋8层，3米层高；绿化：35%；一梯两户80%得房；容积：1.6；车位1:0.7；交房：预计2017年12月毛坯交房；2018年5月精装交付；交房标准：精装如样板房（附送中/央空调，地暖，新风系统）；交付标准：5000/每平、项目总价：350万～400万；","特色
                                            【小区户型】户型面积：80—82—92—93—107平，一梯两户，楼间距宽，采光特别好，全部都是8层电梯花园洋房
                                                            
                                            【生活配套】小区东门100米就是大型菜市场，南面500米就是大润发超市，东南面1.5公里左右是闵行中心医院，
                    
                    
                    
                    
                    
                "
"莘庄旁一手电梯花园洋房（金地双都汇）精装带空调地暖，无税","https://shanghai.anjuke.com/prop/view/A1610164671?from=filter&spread=filtersearch&invalid=1&region_ids=15&position=4&kwtype=filter&now_time=1552925173",37640,89,1,"南","精装修","普通住宅",3,2,1,"高层",8,"有","商品房","金地都会艺境(公寓)",1.6,1200,0.4,2.9,"松江","莘闵别墅区","陈春公路677弄",FALSE,TRUE,TRUE,"地址：上海市松江区莘闵别墅区开发商：上海安泷鑫开发有限公司物业公司：金地物业在售户型：高层（面积90，112），总价360万起！精装修带地暖和空调、新风系统，智能家居！洋房：89平，均价46000左右，总价400万起！项目配套：中小学：项目西侧九年一贯制（规划）、新桥小学、陈春小学、新桥中学综合：弘基生活广场、绿地金御广场、巴比伦生活广场、家乐福、仲盛世界广场、凯德龙之梦；幼稚园：白马幼儿园","特色
                                            【小区户型】小区由12栋洋房和高层组成 ，在售户型89平米精装3房，一梯2户。
                                                                                    【房屋品质】由金地自己的物业管理，房子2019年11月精装交房。
                    
                    
                    
                    
                    
                    
                "
"送中央空调地暖电梯洋房南北通透 莘庄南地铁600米一手房精装","https://shanghai.anjuke.com/prop/view/A1614711849?from=filter&spread=filtersearch&invalid=1&region_ids=15&position=5&kwtype=filter&now_time=1552925173",35976,82,0,"南北","精装修","普通住宅",3,2,1,"中层",8,"有","商品房","金地双都汇",1.4,1108,0.35,3.2,"松江","莘闵别墅区","明兴路18弄",TRUE,FALSE,FALSE,"1.户型：80平3房2厅1卫2.品质:高端*住宅花园洋房景观房3.环境：小区绿化好,环境优雅,低密度社区，让您感受像花园一样的家。4.位置：房子位于小区位置,地理位置得天独厚,使出行更方便。5.安全：小区24小時无死角监.控，安保轮班值班，为您的安全保驾护航","特色
                                            【小区户型】小区主力户型89平电梯花园洋房一梯两户，116平三房，叠加别墅上叠119平下跌116平 。
                                                            
                    
                                            【轨道交通】小区出门右转800米22号线地铁直达上海南站，门口500米公交51路52路知道莘庄地铁站北广场。
                    
                    
                    
                    
                "
"清盘在即）精装带中央空调地暖拎包入住一手花园洋房）金地大品牌","https://shanghai.anjuke.com/prop/view/A1611394701?from=filter&spread=filtersearch&invalid=1&region_ids=15&position=6&kwtype=filter&now_time=1552925173",34831,89,0,"南北","精装修","普通住宅",3,2,2,"高层",8,"有","商品房","金地双都汇",1.4,1108,0.35,3.2,"松江","莘闵别墅区","明兴路18弄",FALSE,TRUE,TRUE,"1）区位：上海市松江区莘闵别墅区核心地段；开发商：上海安泷鑫房地产开发有限公司；物业公司：金地物业；2）在售户型：洋房：89平，均价42000左右，总价350-400万；3）装修情况：精装修带地暖和中央空调、新风系统，智能家居。","特色
                                                            
                                            【生活配套】小区南门左拐100米就是弘基生活广场、绿地金御广场、巴比伦生活广场、家乐福、日常生活方便。
                    
                    
                                            【附近学校】小区南门左拐200米就是幼稚园：白马幼儿园、比华利双语幼儿园；新桥小学、陈春小学，新桥中学，重点学校
                    
                    
                    
                "
"泗泾地铁口500米，精装修送车位，品质高端住宅，小区自带会所","https://shanghai.anjuke.com/prop/view/A1608122480?from=filter&spread=filtersearch&invalid=1&region_ids=15&position=7&kwtype=filter&now_time=1552925173",31429,70,4,"南北","精装修","普通住宅",2,2,2,"中层",11,"有","商品房","绿波景园",1.6,100,0.41,1.4,"松江","泗泾","江川南路25弄15-83号",TRUE,TRUE,TRUE,"生活配套：青浦奥特莱斯、合生新天地、正大会员超市、三湘商业广场、保利悦活荟，金地风情商业街、绿地云天坊目前正在招商，同时项目南侧约500米还有12万方的规划商业综合体配套。教育配套：高端私立学校包括：宋庆龄学校、包玉刚学校、赫德国际学校、安乔国际双语幼儿园，德法学校、西华国际学校等；公立学校包括：松江二中（市重点）、泗泾实验学校（华师大附属学校）、泗泾幼儿园（一级幼儿园）、泗泾小学及松江四中；同时项目周边政府还规划配套了：二所幼儿园、一所24班的初中和高中。医疗配套：远大健康城（三甲医院）、上海市*人民医院（三甲医院）、泗泾医院（距离项目500米）","特色
                                            【小区户型】小区是2017年新小区 主力面积92平两房和135平三房 楼间距40米 视野开阔 采光无遮挡。
                                                            
                    
                                            【轨道交通】小区北门1.5公里是地铁9号线（佘山站）10站可到徐汇区。
                    
                    
                    
                    
                "
"三湘四季 9号线100米精装一室户，满5唯1临河无遮，带院子","https://shanghai.anjuke.com/prop/view/A1608619773?from=filter&spread=filtersearch&invalid=1&region_ids=15&position=8&kwtype=filter&now_time=1552925173",41231,65,11,"南","精装修","普通住宅",1,1,1,"低层",14,"有","商品房","三湘四季花城",2.7,NA,0.4,1.45,"松江","松江大学城","广富林路1599弄",TRUE,TRUE,FALSE,"产证面积65平方。②价格：现在售价268万，价格低，③装修：房子之前自住保养全新。④楼层：总区的中心位置，每天光照充足，隐私性还好。⑤位置：小区沿河位置，不靠马路，不靠变电站","特色
                                            【小区户型】小区分四期，主力面积一房57-69，两房：71-107，三房：102-139，四房：143-159
                                                                【小区设施】小区内设 篮球场，老年活动中心，儿童游乐设施。半月湖景观（小区景观湖）
                                        
                    
                                            【轨道交通】距地铁9号线松江大学城站（300米左右）。300米左右为松江公交客运中心。
                    
                                            【附近学校】小区自带三湘幼儿园，100米左右龙马幼儿园，200米左右上外松外九年制学校。师资力量十分雄厚。
                    
                    
                    
                "
"松江泗泾|钰丰商都|复式挑高4.5米|通燃气带阳台|精装修","https://shanghai.anjuke.com/prop/view/A1613892000?from=filter&spread=filtersearch&invalid=1&region_ids=15&position=9&kwtype=filter&now_time=1552925173",19048,63,2,"南北","精装修","普通住宅",2,1,2,"中层",20,"有","商品房","钰丰商都",2.1,NA,0.3,NA,"松江","泗泾","沪松公路2288弄",TRUE,FALSE,TRUE,"挑高4.5米精装修LOFT通天然气1.小区地址：交通非常方便，近地铁站，这里有多路公交,自驾出行国道高速四通八达，公交站牌就在小区门口，高铁四线为一体。2.房型介绍：标准典型的板房，整体朝南，挑高4.5米，上下两层，房屋里面全精装完成，正气户型！","特色
                                            【小区户型】小区有四栋公寓楼，户型面积为63平米复式两房和75平米复式三房，精装修，得房率高达160%
                                                            
                                            【生活配套】小区自带沿街的商业配套，星巴克、麦当劳、罗森/欧尚、各类餐饮美食，800米范围内中国银行、农业银行。
                    
                    
                    
                    
                    
                "
"贝尚湾溪谷墅边套 15年开发商豪装带地暖 送6米挑高地下室","https://shanghai.anjuke.com/prop/view/A1617143362?from=filter&spread=filtersearch&invalid=1&region_ids=15&position=10&kwtype=filter&now_time=1552925173",40076,262,4,"南北","豪华装修","普通住宅",5,3,4,NA,4,"有","商品房","贝尚湾(别墅)",1.5,1000,0.5,1.83,"松江","九亭","沪亭北路338弄",TRUE,FALSE,TRUE,"小区名字：贝尚湾溪谷墅房源情况：面积262平米，报价是1050万，南北通透5房3厅4卫，送120平，6米挑高的全明地下室！一楼厅南北通透，厨房朝北，洗手间朝北，送南北80平米南北花园。北面临河。二楼两房朝南，带洗手间，一个书房朝北。三楼50平米大平层总统套间。装修情况：房子是开发商2年前豪华装修带地暖，带中央空调的，保养得非常不错的啊！税费情况：满五年唯一，个税省了两个点。","特色
                                            【小区户型】小区户型是180-287平的联排，边套花园较大在150平左右，挑高5米的全明地下室，1；1.5车位
                                                            
                                            【生活配套】小区西门就是自带的商业街（贝尚坊），有工商银行，招商银行，100米内还有家联华超市2000平左右
                    
                                            【轨道交通】小区西门口到9号线地铁的距离是800米，1公里即可到达嘉闵高架，G60的入口
                    
                    
                    
                    
                "
"品质独栋别墅 地铁9号线，采光充足 带车库 临河高品质小区","https://shanghai.anjuke.com/prop/view/A1615697190?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=15&position=11&kwtype=filter&now_time=1552925173",43214,256.9,19,"南北","豪华装修","普通住宅",5,2,3,NA,1,"有","商品房","九洲大唐花园",0.3,NA,0.68,2.8,"松江","九亭","沪松公路1789弄",TRUE,TRUE,FALSE,"【产证情况】：产证面积256平米.附送前后花园300平，南进门，客厅朝南。【房屋产权】：产权人两个，房子无贷，无户，产权人目前都在上海，签约方便的。【房屋装修】：房子精装修，采用过的材料都是国外进口的材料，全屋带地暖的，带有新风系统。【房屋户型】：房子是5房2厅3卫，附赠车库，","特色
                                            【小区户型】主力户型：256.7㎡-320㎡南北通透朝向，通风效果佳，绝好采光，完/美视野，动静分区，空气对流。
                                                                                    【房屋品质】上海森泽房产打造：追求高端品质，专注细节打磨，对于产品细节更精益求精，隔音防潮效果好品质有保障！
                    
                    
                    
                                            【附近学校】小区出门800米处九亭小学，世泽中学，黎安中学，九亭幼儿园，教育设施现代，教育资源丰富，校风学风优良
                    
                    
                                            【其他描述】森辉物业：物业费2.8：安保及管理：周界红外报警系统，闭路电视监/控系统，电子巡更管理系统！
                    
                "
"丽茵别墅联排精装，四房随时入住，采光足，送车库，随时看房","https://shanghai.anjuke.com/prop/view/A1617808369?from=filter-salesxq&spread=filtersearch&invalid=1&region_ids=15&position=12&kwtype=filter&now_time=1552925173",33333,123,5,"南北","精装修","普通住宅",4,3,4,NA,3,"有","商品房","丽茵别墅",0.3,NA,0.75,2,"松江","泗泾","泗陈公路2弄",FALSE,TRUE,TRUE,"本人实地观后感：【户型介绍】南北通透，中心位置，采光充足，保证您的日照时间。【装修情况】此房原来是业主自住保持非常好目前空关，可以拎包入住哦。【税费情况】此房产权清晰，款清交房。【房屋照片】：照片乃该房屋真实照片，因网络上只能上传10张，还有很多其它细节的照片信息无法展示，如需了解该房屋更多确切信息，可以跟本人联系，我可以用邮件和微信传给您让您尽情了解。","特色
                                                                                    【房屋品质】小区是2002年交房，外立面采用防水涂料，防水防潮隔音效果好，品质优质，小区环境好。
                    
                                            【生活配套】小区周边1000米范围内有大润发、世纪华联、农工商、上海如海等大型购物中心，配套齐全，生活便利。
                    
                    
                                            【附近学校】小区1000米范围内有春晖双语艺术幼儿园 、泗泾小学、松江四中（泗泾中学）等，师资力量雄厚。
                    
                    
                                            【其他描述】小区绿化率高，每户有独立空间，是名副其实的花园别墅。整个社区就像一座大公园，环境优美，生态宜居。
                    
                "
