"title","URL","unitprice","area","year","direction","decoration","category","bedroom","hall","lavatory","storey","totalstorey","elevator","property","community","far","parkinglot","greening","fee","admdist","secdist","address","subway","school","convenience","sellingpoint","opinion"
"天平小区电梯房 两房朝南  照片实拍  看房方便 近地铁","https://shanghai.anjuke.com/prop/view/A1603480794?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=5&position=1&kwtype=filter&now_time=1552786259",109353,77.7,24,"南","精装修","普通住宅",2,1,1,"低层",20,"有","其他","天平路179弄小区",NA,47,0.3,0.8,"徐汇","徐家汇","天平路179弄",TRUE,TRUE,FALSE,"1：产证面积78平方米，2房1厅1厨1卫，全明2房，两房朝南。2：满五，免个税","特色
                                            【小区户型】小区有7栋楼10个楼栋号。电梯为两梯十户，多层一梯五户。73、78平双南户型，其余户型东南、西南朝向
                                                                                    【房屋品质】上海徐房地产开发有限公司，1995年建成，多层防水，起初均是售后公房，毛坯交房
                    
                    
                    
                                            【附近学校】对口高安路一小重点学校，周边有爱菊，五十四中学，南洋模范中学
                    
                    
                    
                "
"紫荆园板式两房，南北通透户型，精装修可拎包入住，产权清晰急售","https://shanghai.anjuke.com/prop/view/A1601903406?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=5&position=2&kwtype=filter&now_time=1552786259",67021,94,19,"南","精装修","普通住宅",2,2,1,"低层",6,"无","商品房","紫荆园",NA,220,0.48,1,"徐汇","康健","钦州南路768弄",FALSE,TRUE,TRUE,"1.户型：正规2室2厅，南朝向，户型方正，布局合理，采光通风效果很好，非常敞亮是小区中罕见的户型2.装修：此房精装修，业主很爱惜房子，保持得非常干净，如果购买，可按自己喜爱的风格进行装修【售房详情】1.售房原因：单纯出售房产，变现，2.房屋现状：价到可以收钱，随时可以签约3.*要求：正常*即可，可以接受置换周期，【配套】1.小：师大一附属小，是徐汇区的公立，梯队中的佼佼者2.中：康健外国语中，也是徐汇区的公立，雄厚3.私立：世界外国语小、世界外国语中","特色
                                            【小区户型】小区多为总高六楼的多层，一梯两户，面积多为90平两房，110～150平三房。
                                                                                    【房屋品质】小区为1999年建的商品房，房龄较新，品质小区质量好。
                    
                    
                    
                                            【附近学校】对口上师大附小，康外中小学，师资力量雄厚，教育好。
                    
                    
                    
                "
"东泉小区，近地铁 ，精装修 近南站，近植物园","https://shanghai.anjuke.com/prop/view/A1605371641?from=filter&spread=filtersearch&invalid=1&region_ids=5&position=3&kwtype=filter&now_time=1552786259",40833,60,19,"南","精装修","普通住宅",2,1,1,"低层",6,"无","商品房","东泉小区(东块)",2.2,NA,0.25,0.95,"徐汇","植物园","东泉路104弄,东泉路50弄,东泉路64弄",TRUE,TRUE,TRUE,"【产权税费】满五唯一【交通介绍】近地铁3号线【学校介绍】向阳育才小学【户型介绍】卧室阳台朝南，采光好全明户型【生活配套】小区附近有超市，繁华地段","特色
                                            【小区户型】小区一共有50弄.64弄和104弄，是多层不带电梯，都已小户型为主，有30平的一房，47平的小两房
                                                                                    【房屋品质】小区是1994年的动迁安置房，主要是一梯两户和一梯四户，楼栋之间的间距很大，采光也很好，一楼也有垫高
                    
                                            【生活配套】小区西门出来300米有东泉菜场和五官科医院，到上海植物园只有500米，小区门口有全家等便利店
                    
                                            【轨道交通】小区到3号线石龙路站只有200米距离，小区北门出来，在石龙路上就有公交站，有733路和958路公交车
                    
                                            【附近学校】小区小学对口向杨育才小学，中学对口汾阳中学，师资力量都比较雄厚
                    
                    
                    
                "
"对口百年求知，满五年税少西边套全明，交通方便，租客住看房约","https://shanghai.anjuke.com/prop/view/A1599057435?from=filter&spread=filtersearch&invalid=1&region_ids=5&position=4&kwtype=filter&now_time=1552786259",54742,62.1,35,"南北","简单装修","普通住宅",2,1,1,NA,4,"无","商品房","龙华西路309弄小区",NA,NA,NA,1,"徐汇","龙华","龙华西路309弄",FALSE,FALSE,FALSE,"房屋特点：正规的两房一厅的格局，南北通户型；价格优势：满五载税费低，此价净得，房东诚售；装修情况：业主三年前的精装修，保养的非常好，方便入住；环境优势：位于小区安静位置，采光好，周边生活便利。"," "
"双南两房，老干部分房，采光好，家具家电全送，接受置换价可谈","https://shanghai.anjuke.com/prop/view/A1608352337?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=5&position=5&kwtype=filter&now_time=1552786259",56298,49.4,26,"南","精装修","普通住宅",2,1,1,"高层",6,"无","商品房","田林八村",1.8,100,0.25,1.15,"徐汇","田林","田林路",TRUE,FALSE,TRUE,"【小区名称】田林八村【详细地址】柳州路近田林路【建造结构】建成于1986年，板楼，砖混结构，一梯四户【户型结构】两房朝南，厅厨卫朝北，一梯四户【装修情况】房东之前的精装，保养的还可以【产权情况】产权人阿姨一个人，没有户口【税费明细】满五年唯一售后公房，没有*税，没有个人所得税【买房优势】房东置换婚房急售，田林在售两房总价低","特色
                                            【小区户型】主小户型，41㎡朝南的一房，两房51㎡至62㎡：主双南户型，三房76㎡至87㎡：两南一北，厨卫朝北。
                                                            
                                            【生活配套】毗邻联华超市、喜士多和好德超市，沿田林路向东步行约400米可至沃尔玛，吃喝玩乐购于一体，购物便利。
                    
                                            【轨道交通】地铁出行便利，步行约800米可至9号线桂林路地铁口，一站路至宜山路站转乘4号环城地铁，多轨交接。
                    
                    
                    
                    
                "
"龙南三村，双南两房，单价底，精装修，","https://shanghai.anjuke.com/prop/view/A1597199375?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=5&position=6&kwtype=filter&now_time=1552786259",48290,49.7,21,"南北","简单装修","普通住宅",2,1,1,"高层",7,"无","商品房","龙南三四村小区",1.8,200,0.22,0.8,"徐汇","龙华","龙南三村4-98号",TRUE,TRUE,TRUE,"【产权税费】满五三分之一唯一三分之二不唯一，买进20万左右产权人3个户口2个没有抵押贷款【交通介绍】近地铁11号线.3号线，走路1*【学校介绍】龙南小学，和龙苑中学，在小区附近走路就*【户型介绍】精装修.采光不错，2室1厅1卫，附近有龙南菜市场，","特色
                                            【小区户型】小区共有40栋楼，户型为30-40平的朝南一房和50-70平方的双南和南北两房，楼栋20米采光好。
                                                            
                                            【生活配套】小区正门右转步行200米到龙南菜市场和龙南超市，北门左转400米到第五人民医院为3甲医院。
                    
                                            【轨道交通】小区西门出来500米就是11号线龙耀路站，小区南门出来就是公交站，有733路公交车。
                    
                                            【附近学校】小区南门直行300米到龙南重点学校龙南二小和龙南一中，师资力量雄厚。
                    
                    
                    
                "
"法租界中心区域 梧桐花园  对口名校  满五唯一  送储藏室","https://shanghai.anjuke.com/prop/view/A1599957035?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=5&position=7&kwtype=filter&now_time=1552786259",104267,114.1,22,"南","精装修","普通住宅",2,2,1,"中层",18,"有","商品房","梧桐花园A座",NA,100,0.25,2.2,"徐汇","建国西路","建国西路273号",FALSE,TRUE,TRUE,"人杰地灵的老法租界，生活设施齐全。本商圈位于肇嘉浜路以北人杰地灵的老法租界板块，周边楼盘主要有新家坡美树馆、梧桐花园、步高苑、瑞金花园、德玛公寓、明园世纪城、太原邸、襄阳公寓等，周边新里、洋房、老公寓林立。本商圈的主要特点有：1、都是百年老路，马路两边梧桐树相环抱，历史气息相当浓厚。2、老法租界号称百国建筑区，本商圈内老洋房、新里、老公寓风格各异，争奇斗艳，文化氛围相当浓厚。3、建国后的建筑不多，不似徐家汇等板块高楼林立，整个商圈的容积率相当低，环境恬静、祥和也不乏便利，很适合自住。","特色
                                            【小区户型】2、3号平层102-145平2/3房，2梯6户朝南户型，4号104-165平朝南，5、6、7号复式房
                                                            
                                            【生活配套】乐购和卢湾体育馆在东边500米左右，日月光中心购物广场在东南边800米左右，餐饮，服装，数码样样齐全
                    
                    
                                            【附近学校】对口市重点小学 向阳小学 和市重点中学育中学和市二中学
                    
                    
                                            【其他描述】分为两个小区 以嘉善路为界 以东为B区 以西为A区 96年外销房
                    
                "
"新出精致两房，高层采光好，满五无税，天钥桥路地段","https://shanghai.anjuke.com/prop/view/A1607182169?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=5&position=8&kwtype=filter&now_time=1552786259",82961,78.4,22,"东","精装修","普通住宅",2,1,1,"中层",18,"有","商品房","海天公寓",NA,150,0.3,0.8,"徐汇","徐家汇","天钥桥路180弄2号",TRUE,FALSE,FALSE,"此房的性价非常高。室内的户型结构、换气通风功能、门窗的采光面积、户外的视野皆可称得上是标准、合理。楼栋所处小区的位置和所在楼层数，与此房本身的性价比也是高度匹配。絶不失为一处非常值得购入自住或有投咨优选的理想物业。亦或两者兼得。","特色
                                            【小区户型】小区有两栋楼组成，一号楼为动迁房，二号楼为老干部福利分房，两梯七户，主要是44平-78平的一房和两房
                                                            
                    
                                            【轨道交通】徐家汇站19号线200米，上海体育场站400米，门口还有公交站。出行非常方便。
                    
                    
                    
                    
                "
"漕溪四村，比邻龙漕路地铁站，交通方便，房东诚心出售","https://shanghai.anjuke.com/prop/view/A1609438680?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=5&position=9&kwtype=filter&now_time=1552786259",56373,61.2,25,"南","精装修","普通住宅",2,1,1,"中层",6,"无","商品房","漕溪四村",1.9,200,0.35,0.8,"徐汇","龙华","漕溪四村1-93号",TRUE,TRUE,TRUE,"1.房屋介绍：两室一厅一卫，两房朝南2.教育介绍：对口求知小学3.地理位置：靠近地铁站龙漕路站，交通方便4.税费情况：满五年唯一","特色
                                            【小区户型】一梯两户，一梯三户，一梯四户组成，主推55平米到63平米两房，推荐63平米一梯两户朝南全明两房
                                                            
                                            【生活配套】小区门口300米即是菜市场，工商银行，农业银行，建设银行，
                    
                                            【轨道交通】小区左面300米地铁三号线12号线龙漕路站，
                    
                                            【附近学校】对口百年求知小学名校《公立》
                    
                    
                    
                "
"2010年小区，一梯一户，板式南北大3房，2南1北，带车位！","https://shanghai.anjuke.com/prop/view/A1612998526?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=5&position=10&kwtype=filter&now_time=1552786259",87413,143,14,"南北","豪华装修","普通住宅",3,2,2,"中层",18,"有","商品房","明园小安桥",2.5,281,0.5,2,"徐汇","田林","中山西路1698弄",TRUE,FALSE,FALSE,"本房子是四房，因系统不能形成四房，所以显示是三房，4房2厅2卫+171平+厨卫全明+高区+送车位1、南北通透.2南1北，赠产权车位2、位置安静，朝向好，采光好3、房型正气4、次新房园林式小区，精致庭园，位置安静，采光充足","特色
                                            【小区户型】小区由两梯两户、两梯四户组成，86－92平方米全南两房114－120平方米南北三房和复式。
                                                                【小区设施】车位非常充足，车位比例1:0.85，人车分流。小区自带会所和游泳馆，小区中央自带大型游泳池。
                                        
                    
                                            【轨道交通】周边1KM内有轨道交通3号线、4号线、9号线宜山路站。交通便利
                    
                    
                    
                                            【其他描述】明园小安桥自带中央空调和地暖，并且地暖系统可进行分室控制，充分节约能源和运行费用，避免了不必要浪费。
                    
                "
