"title","URL","unitprice","area","year","direction","decoration","category","bedroom","hall","lavatory","storey","totalstorey","elevator","property","community","far","parkinglot","greening","fee","admdist","secdist","address","subway","school","convenience","sellingpoint","opinion"
"双南送双天井，出门欧尚，地铁8号线，医.院公园都在300米","https://shanghai.anjuke.com/prop/view/A1606116206?from=filter&spread=filtersearch&invalid=1&region_ids=9&position=1&kwtype=filter&now_time=1552830653",67164,40.2,24,"南","精装修","普通住宅",2,1,1,"低层",6,"无","商品房","民星路600弄小区",1,NA,0.3,0.8,"杨浦","中原","民星路600弄1-20号",TRUE,FALSE,TRUE,"房源标签地铁VR房源房本年售房详情房东置换，诚心卖，房子无抵押、无贷款、无纠纷，看房方便，看上，价格好谈！户型介绍一梯两户，两房朝南，厅朝北，明厨明卫格局。朝南有两个天井，业主已搭其中一个天井！周边配套不靠路，双天井，业主诚心，价格可谈！天井已搭！","特色
                                            【小区户型】小区都是一梯四户户型，主力户型1房1厅42平方左右,2房1厅60平方左右,户型正气方正.
                                                            
                                            【生活配套】中.原路小门出来右转30米欧尚超市,到民星公园200米.民星路门出来向南200米长海医院，
                    
                                            【轨道交通】中.原路出门右转100到地铁8号线嫩江路站2号口,50米到公交车站台.
                    
                    
                    
                                            【其他描述】本小区物业是:上海殷行物业管理有限公司,物业费是0.8元/平/月.
                    
                "
"内环内 齐一学校 仅靠地铁12号线 精装修 二手买进税费少","https://shanghai.anjuke.com/prop/view/A1613869279?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=9&position=2&kwtype=filter&now_time=1552830653",56338,85.2,22,"南北","精装修","普通住宅",2,1,1,"中层",6,"无","商品房","宝立公寓",1.8,27,0.25,NA,"杨浦","东外滩","惠民路1033弄",TRUE,TRUE,TRUE,"1、本房优势房子是豪华装修，户型方正、高，没有浪费的空间，看房很方便。业主诚意出售！2、区位优势本小区位于繁华地段，景色秀美、空气清新，非常适合居住，空间无限！3、小区优势物业管理*，为生活提供便利的服务，人车分流，高达30%，时刻让您的房间保持清新的环境！4、交通优势本小区出门就是车站，，交通特别方便，为您的出行提供了保障。","特色
                                                            
                    
                                            【轨道交通】小区距/离18号线（在建）五号口一百米，12号线江浦公园2号口三百米
                    
                                            【附近学校】小区专业对口杨浦数一数二 齐齐哈尔路第/一小学，师资力量雄厚，教职工均由上海名/牌大学毕业
                    
                    
                    
                "
"再次降价~4号12号大连路站~南北通两房，黄琻楼层采光无遮挡","https://shanghai.anjuke.com/prop/view/A1604081552?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=9&position=3&kwtype=filter&now_time=1552830653",50909,55,24,"南","精装修","普通住宅",2,1,1,"中层",6,"无","商品房","辽阳小区",1.7,NA,0.25,0.6,"杨浦","江浦路","唐山路1280弄",TRUE,FALSE,TRUE,"1:楼层户数：总高7楼，中间楼层，一梯3户公摊少2:户型结构：精装修，全明户型，采光充足，小区位置中间3:无税费，产权人一个，户口随时迁走","特色
                                            【小区户型】小区全部以多层为主，楼栋间距比较大！采光无太大影响！一楼稍微有点影响
                                                            
                                            【生活配套】小区近北美广场，吃喝玩乐设施俱全！小区到北美广场大约800米，到海上海步行街大约1公里！
                    
                                            【轨道交通】地铁 4/12双轨大连路 800米
小区门口就是17路19路公交车总站
                    
                    
                    
                    
                "
"精装修，近公交，朝南一门关，满二唯一，交通便利，就学方便","https://shanghai.anjuke.com/prop/view/A1614357028?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=9&position=4&kwtype=filter&now_time=1552830653",49645,42.3,36,"南","精装修","普通住宅",1,1,1,NA,1,"有","商品房","延吉东路130弄小区",1.8,50,0.3,0.6,"杨浦","控江路","延吉东路130弄",FALSE,TRUE,FALSE,"《户型介绍》：主卧朝南，板式楼；《房源面积》：42.3平方米；《采光通风》：视野无遮挡，位置近小区门口，高楼层，通风清新；《装修情况》：精装修，目前空关，保养良好；《税费明细》：满二唯一；"," "
"南北全明，精装修两房，一梯两户，高得房率 诚心急售","https://shanghai.anjuke.com/prop/view/A1604653530?from=filter&spread=filtersearch&invalid=1&region_ids=9&position=5&kwtype=filter&now_time=1552830653",51829,82,21,"南","精装修","普通住宅",2,1,1,"中层",19,"有","商品房","黄兴路118号小区",NA,100,NA,1,"杨浦","杨浦大桥","黄兴路118号",TRUE,FALSE,TRUE,"房源简介：此房为两房朝南的户型，厅朝北全明，采光是无影响的，无遮挡，且为售后公房无*税。满五年唯一。生活配套：周边生活配套完善，地铁12号宁国路站.","特色
                                            【小区户型】该小区独栋高层住宅，1997年竣工，二梯8户，户型面积多在80平左右。采光不错，总价适中。
                                                            
                    
                                            【轨道交通】地铁12号线宁国路站20米。公交8  22路50米。周边还有杨浦少年宫，长阳创谷高新创业园区。
                    
                    
                    
                    
                "
"12号地铁口 对口齐一总校 双南户型 全明两房 精装修有车位","https://shanghai.anjuke.com/prop/view/A1600533332?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=9&position=6&kwtype=filter&now_time=1552830653",51534,81.5,21,"南","精装修","普通住宅",2,2,1,"中层",6,"无","商品房","万登花苑",2.2,NA,0.38,1.25,"杨浦","东外滩","江浦路740弄",TRUE,TRUE,TRUE,"小区里面少有的户型，户型非常正气，正儿八经的两房朝南，正规厅朝东全明，没有多余的浪费面积。两房朝南，厨卫朝北对外全明全亮的。前面是多层的房子，所以采光阳光都不挡。装修5年前的装修，保养非常不错的","特色
                                            【小区户型】为总高6层的多层房子，主打80-100平两房朝南户型，另有150平顶楼复式房。楼间距35米，采光不挡
                                                            
                    
                                            【轨道交通】小区距离12号地铁江浦公园站300米，可通向市区和浦东。公交线路有934路、22路，可通向大连路方向
                    
                    
                    
                    
                "
"业主降价30万急售大连路地铁450米精装修双南户型拎包入住","https://shanghai.anjuke.com/prop/view/A1608283208?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=9&position=7&kwtype=filter&now_time=1552830653",48502,49.1,26,"南","精装修","普通住宅",2,1,1,"中层",6,"无","商品房","辽阳小区",1.7,NA,0.25,0.6,"杨浦","江浦路","唐山路1280弄",TRUE,FALSE,TRUE,"户型介绍：两房一厅，双南全明设计3：房屋楼层：总高6楼的3楼。4：装修程度：居家装修20万。5：业主报价：238万可以谈：居家装修，合理设计，资源合理分配，无浪费。7：小区栋距宽，视野好，采光无处不在。8：户型设计合理，板式房户口没有","特色
                                            【小区户型】小区共有6栋楼，都是小户型的小区有总高6层的低层组成，主推户型33平的一房，两房面积在60平米左右.
                                                                                    【房屋品质】小区时候1993年交房的，开发商是上海海富有限公司，小区房屋不漏水，
                    
                    
                                            【轨道交通】小区出来行驶740米就是大连路4号12号双轨交通，小区向北走出门就是17路和19联络公交车。
                    
                    
                    
                    
                "
"大连路站300米~房东降价40万急售！周边豪宅云集！对口市东","https://shanghai.anjuke.com/prop/view/A1605345654?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=9&position=8&kwtype=filter&now_time=1552830653",56667,75,21,"南","精装修","普通住宅",2,2,1,"中层",6,"无","商品房","辽海小区",NA,100,0.35,0.5,"杨浦","东外滩","辽阳路189弄",TRUE,FALSE,TRUE,"1，房子满五年，内环，税费少，价格实惠，诚意出售，看中了还有商量的余地，2房2厅1卫，南北通透~带阳台，厨卫全明，采光充足，布局合理，","特色
                                            【小区户型】一梯两户的房子，双南户型和南北通的户型面积在63平和75平米的小户型
                                                            
                    
                                            【轨道交通】小区到4/12号大连路地铁站走过去只有300米，直达陆家嘴，外滩！
                    
                    
                    
                    
                "
"定了学位好房源！公安大楼可进名校二师附小 近8,10号线同济","https://shanghai.anjuke.com/prop/view/A1606557957?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=9&position=9&kwtype=filter&now_time=1552830653",70000,45,24,"南北","精装修","普通住宅",1,1,1,"低层",18,"有","商品房","冶金公寓",NA,150,0.35,0.4,"杨浦","鞍山","赤峰路95-97号(单)",TRUE,TRUE,TRUE,"该房源位于虹口区传统核心板块曲阳地区，属于大型居民聚集地块，历来是传统上居民安家置业的*之地。该房源房型正气，南北通透，采光通风十分良好，虽然房龄是上世纪八九十年代建造，但是房屋质量上乘，经久耐用，实在是首套购房置业的上上之选。","特色
                                                            
                                            【生活配套】小区向北步行50米即是同济大学，小区向西南方向步行800米既是家乐福超市 附近有曲阳医院 肯德基
                    
                                            【轨道交通】小区向北东步行700米即是地铁10号线同济大学站，可换成8号线
                    
                    
                    
                    
                "
"对口杨浦小学 满五唯壹无个税随时看房 8号线 带车位","https://shanghai.anjuke.com/prop/view/A1613531668?from=filter&spread=filtersearch&invalid=1&region_ids=9&position=10&kwtype=filter&now_time=1552830653",60870,115,11,"南北","精装修","普通住宅",2,2,1,"高层",25,"有","商品房","海上硕和城",2.1,820,0.35,1.6,"杨浦","黄兴公园","安波路567弄",TRUE,TRUE,TRUE,"本户型为2房2厅1卫南北通户型，主卧朝南有15平米还带飘窗，次卧朝北有11平米也带飘窗，客厅南北通，朝南带6平米大阳台。厨卫都是对外开窗户的，通透性很好，套内使用面积大，非常适合居住的。","特色
                                                                                    【房屋品质】小区竣工于2008年，由开发商上海硕和房地产开发有限公司
                    
                                            【生活配套】小区步行50米就是硕和生活广场
                    
                                            【轨道交通】小区步行到八号线翔殷路地铁站500米
                    
                                            【附近学校】小区对口杨浦小学，复旦实验，师资雄厚
                    
                    
                    
                "
"南北通透三房，婚房装修，可拎包入住，家具家电全送，随时看房","https://shanghai.anjuke.com/prop/view/A1614061349?from=filter&spread=filtersearch&invalid=1&region_ids=9&position=11&kwtype=filter&now_time=1552830653",62020,129,15,"南北","精装修","普通住宅",3,2,2,"高层",12,"有","商品房","黄兴绿园(东区)",1.6,NA,0.35,1.2,"杨浦","黄兴公园","包头南路688弄",TRUE,TRUE,TRUE,"是三房两厅两卫的，飞机式大三房户型，两房朝南带飘窗，厅南北通透带落地窗，次卧南北通透带飘窗，厨卫朝北，小区三房主力户型，这种户型分布在小区中芯位置，也是销量醉好的户型，深受客户的青睐。","特色
                                            【小区户型】小区有电梯房和多层房，都是板式户型，两房南北户型，三房两房朝南一房朝北。
                                                            
                                            【生活配套】小区出门步行200米佳木斯路菜场，300米沙岗路菜场，小区门口国顺东路商圈一条街。
                    
                                            【轨道交通】交通方便，小区楼下133公交车终点站，小区出门步行600米8号线地铁黄兴公园站。
                    
                                            【附近学校】次小区对口，延吉幼儿园、回民小学、鞍山复旦实验中学、师资力量雄厚
                    
                    
                    
                "
"送60万精装修，还送60平面积，房东直降40万急售！！！","https://shanghai.anjuke.com/prop/view/A1605935270?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=9&position=12&kwtype=filter&now_time=1552830653",48529,68,21,"南北","精装修","普通住宅",3,2,2,"高层",6,"无","商品房","凤城六村",NA,105,0.4,0.7,"杨浦","鞍山","凤城六村3-55号",FALSE,FALSE,FALSE,"此房为两房朝南，一房朝北，厅朝南的户型，房东当时装修的时候花费了60万，所有的材料和家具家都是房东精心挑选的，房东全部赠送，一样不带走如果有看中的老板请联系我，房东说*方式好的话价格还可以谈的！！！","特色
                                            【小区户型】小区有一幢电梯房，其余全是多层的。电梯房总高20楼，多层总高6楼，主力户型是多层60平的小两房！
                                                            
                    
                    
                    
                    
                    
                "
"力荐！房东直降八十万，明丰阳光苑对口复旦兰生，看房有钥匙随时","https://shanghai.anjuke.com/prop/view/A1601239856?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=9&position=13&kwtype=filter&now_time=1552830653",59084,135.4,16,"南","毛坯","普通住宅",3,2,2,"中层",14,"有","商品房","明丰阳光苑",1.8,250,0.42,1.49,"杨浦","中原","世界路15弄",TRUE,FALSE,TRUE,"3房2厅1厨1卫，客厅南北通透，主卧朝南，全明户型，位于小区中心位置，采光视野非常好，保养的非常好。","特色
                                            【小区户型】小区包含多层和高层，主要是80-90平米的2房，105-110平米的3房，楼间距大，阳光、采光无影响
                                                            
                    
                                            【轨道交通】距8号线嫩江路站600米！路过新华医院！可以到虹口足球场！终点站是浦东的浦江郊野公园
                    
                    
                    
                    
                "
"内环内地铁口朝南电梯一室户采光好房型正南北通透带产权车位","https://shanghai.anjuke.com/prop/view/A1598848965?from=filter&spread=filtersearch&invalid=1&region_ids=9&position=14&kwtype=filter&now_time=1552830653",40000,45,20,"南","精装修","普通住宅",1,0,1,"中层",20,"有","商品房","纺平大楼小区",0.9,NA,0.42,2.5,"杨浦","杨浦大桥","平凉路2767弄,平凉路2771弄",TRUE,FALSE,TRUE,"【1】房屋房型1房1厅1卫1阳台、朝南方向、房型很正气！【2】装修情况业主自住精装修、装修保养得非常不错！【3】楼层位置位于小区后排位置、安静不吵！","特色
                                                            
                                            【生活配套】周边配套成熟，小区距离欧尚大卖场700米，步行400米到医院，周边餐饮商店一应俱全
                    
                                            【轨道交通】出门就是公交车站，12号线爱国路站仅有400米
                    
                    
                    
                    
                "
"东外滩次新房税费少近地铁12号线高区景观房采光好看房有钥匙","https://shanghai.anjuke.com/prop/view/A1613411502?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=9&position=15&kwtype=filter&now_time=1552830653",53891,63.1,4,"南","精装修","普通住宅",1,1,1,"高层",21,"有","商品房","水月坊",NA,60,0.35,1.2,"杨浦","杨浦大桥","河间路688弄",TRUE,TRUE,TRUE,"房型：此房为2房1厅1卫，主卧朝南，带阳台，次卧朝北，客厅朝北，厨房、卫生间全明，正气户型，高区景观楼层，阳光充足！业主诚意出售，降价30万，目前小区性价比高的一套，价格实惠","特色
                                            【小区户型】两梯八户，采光好，间距宽敞，小区新，环境比较好。
缺点就是户型太乱，不是很正气。
                                                            
                                            【生活配套】大型商场：欧尚超市（约700米）位置在临青路龙口路。
附近医院：杨浦中心人民医院（约1公里）。
                    
                                            【轨道交通】公交车：25路、317路、 868路 、25路。
地铁：12号线宁国路站（约900米）。
                    
                                            【附近学校】幼儿园：双语幼儿园（约470米）
中小学：建设小学（约800米）
                    
                    
                    
                "
"经典欧式外观，花园大社区，客厅出阳台，带车位，房东急售急！！","https://shanghai.anjuke.com/prop/view/A1605870378?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=9&position=16&kwtype=filter&now_time=1552830653",60870,115,9,"南北","精装修","普通住宅",3,2,2,"中层",24,"有","商品房","韵都城",2.5,500,0.4,1.5,"杨浦","控江路","控江路128弄",TRUE,FALSE,TRUE,"【户型】经典三房两厅两卫户型，户型方正实用，使用率高，南向看小区花园，安静宜居，买来无需太多改动，可拎包入住。【产权】个人产权，红本在手，满五年【税费】红本无税，只有1.5个点契税（二套三个点）非常低","特色
                                                            
                                            【生活配套】小区出门步行100米内江公园，老人小孩的好去处。周边200米内有安图医院和安图菜场，生活便当。
                    
                                            【轨道交通】小区步行到8号线延吉中路站1180米，控江路安图路途经6路公交。
                    
                    
                    
                    
                "
"12号线地铁口 欧尚超市对面 房东急售 一房一厅 急急急","https://shanghai.anjuke.com/prop/view/A1609218950?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=9&position=17&kwtype=filter&now_time=1552830653",47190,46.6,24,"南","精装修","普通住宅",1,1,1,"中层",24,"有","商品房","克拉玛依大厦",NA,50,0.35,0.7,"杨浦","杨浦大桥","长阳路1889号",TRUE,FALSE,TRUE,"【税费】：产权满五年唯一，过户成本低，业主限购急售.【房龄】：1995年竣工【房型】：得房..率高，房型设计布局合理，户型方正，卧室朝南，厅朝东，厨卫全明。【装修】：精装修基本可以拎包入住【位置】：此房在中间位置，不靠马路，安逸宁静，非常适合居家生活,希望有缘的您能够入住！","特色
                                                            
                                            【生活配套】周边配套成熟，小区距离欧尚大卖场700米，步行400米到红房子医院，周边餐饮商店一应俱全
                    
                                            【轨道交通】出门就是公交车站，12号线宁国路站仅有400米
                    
                    
                    
                    
                "
"近8号地铁口对口打一小学学校名额没有用过无户口对口打一","https://shanghai.anjuke.com/prop/view/A1614898865?from=filter&spread=filtersearch&invalid=1&region_ids=9&position=18&kwtype=filter&now_time=1552830653",58824,34,21,"南","精装修","普通住宅",1,1,1,"中层",6,"无","商品房","鞍山四村第一小区",1.9,NA,0.38,0.86,"杨浦","鞍山","抚顺路393弄1-20号,抚顺路373弄,鞍山四村1-...",TRUE,TRUE,FALSE,"【房型结构超赞】：此房一房一厅，总高六楼的三楼，主卧朝南带阳台，厅朝东有窗，厨卫朝北全明户型，得房高，精装修，改动性大。此房产权一个人，人在上海，看中签约没有问题，满五年唯一的，没有任何税费！竣工日期是1998年，是小区里面比较新的房子，小区环境干净清爽，适合居住！","特色
                                            【小区户型】小区由多层组成，主推户型37平一房一厅，楼间距超宽，采光GOOD好
                                                            
                    
                                            【轨道交通】地铁8号线鞍山新村站到小区300米，公交站牌在小区门口有713路871路，主干道控江路到小区222米
                    
                    
                    
                    
                "
"次新小区，滨江地段，二手买进税收很少，精装拎包，送车位。","https://shanghai.anjuke.com/prop/view/A1607158442?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=9&position=19&kwtype=filter&now_time=1552830653",65036,115.3,9,"南","精装修","普通住宅",3,2,1,"中层",13,"有","商品房","申润江涛苑",2.3,NA,0.38,0.85,"杨浦","东外滩","广州路55弄",TRUE,TRUE,TRUE,"此房为三房两厅两卫，南北通透，一梯两户，此房两房朝南面积16平方和14平方都带飘窗，主卧室16平方带飘窗4平方卫生间，一个房间朝北10平方，厅50平方南北通全景落地窗，南北阳台，厨房卫生间朝北全明。小区中间位置，不靠马路，房子三年的装修可拎包入住（见照片和视频实拍）全明户型。房东二手买进，税收很少。","特色
                                                            
                                            【生活配套】小区步行欧尚大卖场680米，步行400米到红房子医院！
                    
                                            【轨道交通】小区门口就是在建18号线，步行10米。步行地铁12号线宁国路站500米！
                    
                                            【附近学校】小区（对）口齐齐哈尔（第）一小学，属于杨浦区重点小学！
                    
                    
                    
                "
"笋盘，全明1房，260万，10号沿线大润发旁边","https://shanghai.anjuke.com/prop/view/A1610460680?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=9&position=20&kwtype=filter&now_time=1552830653",57143,45.5,21,"南","精装修","普通住宅",1,1,1,"中层",6,"无","商品房","北茶园",1.4,300,0.3,0.8,"杨浦","五角场","国顺路80弄",TRUE,FALSE,TRUE,"【户型介绍】1房1厅1卫，主卧朝南自带一个大阳台，厅朝西，厨卫朝北，采光和通风都非常好！【税费解析】满五唯一，税费少，减少交易成本，为您省钱！【装修描述】精装修，即可拎包入住，免去您重新装修的烦恼，为您省钱省力！【产权情况】产权清晰，无抵押无贷款，到价能签字！","特色
                                            【小区户型】小区都是多层房子，北面第一排都是总高7层楼梯房，户型主要以45平一房，60多平2房，90平以上3房。
                                                            
                                            【生活配套】东边100米就是国美电器，300米五角场大润发，百安居，很牛很牛，苏宁易购，北面五角场商圈中心
                    
                                            【轨道交通】北面800米就是国权路地铁站和55.817公交车站，二刻钟可到外滩，火车站，陆家嘴中心，汉中路。
                    
                    
                    
                    
                "
"适合老人实用两房可拎包入住，杨浦繁华商圈，和平公园，新华医院","https://shanghai.anjuke.com/prop/view/A1615342388?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=9&position=21&kwtype=filter&now_time=1552830653",51852,54,25,"南北","精装修","普通住宅",2,0,1,"低层",6,"无","商品房","辽源四村",1.9,250,0.38,1.2,"杨浦","江浦路","辽源四村1-71号",TRUE,FALSE,FALSE,"1.物业类型：此房是属于70年产权的住宅房，可落户2.房型介绍：南北通透，主卧室朝南约21平+3平大阳台，次卧朝北约14平，厨房、卫生间在过道。","特色
                                            【小区户型】小区都是多层的房子，以小户型为主：37平1房1厅，54平小2房，1梯4户，户型有双南和南北通2种。
                                                            
                    
                                            【轨道交通】小区出门就是8号线鞍山新村站，7站路可到人民广场，出行方便。
                    
                    
                    
                    
                "
"对口控二小学 唯壹无税 门口是8号线 另送20万豪装","https://shanghai.anjuke.com/prop/view/A1616727301?from=filter&spread=filtersearch&invalid=1&region_ids=9&position=22&kwtype=filter&now_time=1552830653",59574,47,31,"南","精装修","普通住宅",2,1,1,"低层",6,"无","商品房","控江路1200弄小区",NA,20,0.3,0.4,"杨浦","黄兴公园","控江路1200弄",TRUE,TRUE,TRUE,"本户型为两房二厅一卫双南户型，两房朝南，主卧有15平米带阳台，次卧朝南有12平米，有正规的厅，厨卫都有窗户，全明户型，通风很好，不到温度很高的季节根本不用开空调。阳光从早上晒到晚上。套内实际使用面积大，非常适合住家的。","特色
                                            【小区户型】小区2001年改建，多为1梯4户和1梯6户，小区一共43栋楼，面积22平到120平。
                                                            
                                            【生活配套】小区斜对面就是吉买盛，步行500米可到达杨浦公园，控江医院。南面1500米有大润发，百安居等
                    
                                            【轨道交通】小区向东200米是8号线黄兴路地铁站，旁边就是黄兴高架，出行方便。
                    
                    
                    
                    
                "
