"title","URL","unitprice","area","year","direction","decoration","category","bedroom","hall","lavatory","storey","totalstorey","elevator","property","community","far","parkinglot","greening","fee","admdist","secdist","address","subway","school","convenience","sellingpoint","opinion"
"首付12万 即将开通地铁19号线 周边设施齐全 交通便利","https://shanghai.anjuke.com/prop/view/A1613348545?from=filter&spread=filtersearch&invalid=1&region_ids=20&position=1&kwtype=filter&now_time=1553069091",9070,43,19,"南","毛坯","普通住宅",2,0,1,NA,5,"有","商品房","体北新村",NA,NA,NA,0.6,"崇明","崇明主城","体北新村1-44号",TRUE,FALSE,TRUE,"此房位于崇明新海农场，周边配套设施齐全，交通便利，有直达上海市区的固定班车，是您养老、养生的理想选择。此房产权清晰、房内无户口买者放心！","特色
                                            【小区户型】小区共8栋，主力户型为48平一房62平两房。栋距宽，视野开阔
                                                                【小区设施】小区自带1个篮球场，跟青老年活动中心还有50平象棋室 ，人车分流
                                        
                    
                    
                    
                    
                    
                "
"崇明森林公园旁 可挂户口 自住均可 2021年花博会尽在咫尺","https://shanghai.anjuke.com/prop/view/A1617913663?from=filter&spread=filtersearch&invalid=1&region_ids=20&position=2&kwtype=filter&now_time=1553069091",9000,40,7,"南","精装修","普通住宅",2,1,1,"中层",9,"有","商品房","仪表北村",NA,20,0.35,0.5,"崇明","崇明主城","仪表北村1-8号",FALSE,TRUE,TRUE,"1、【户型】户型正气，得房率高，卧室朝南带飘窗，客厅送阳台，而且房间都比较大，非常正气采光非常好，通风也ok！南北通透。独立衣帽间，北向大露台，唯美空中花园.2、【楼层】楼层，采光好，前后无遮挡！3、【商业配套】配套齐全，小区出门就是餐饮，购物广场，菜市场都在两公里范围内。大型广场，四大银行，超大公园，娱乐场。美食街所应有尽有，只有你想不到的，没有你买不到的。4、【学校配套】小区旁就有重点幼儿园，小学，中学,高中。","特色
                                                                【小区设施】小区内设休闲跑道 中央内置篮球场 小区西侧配有健身器材可供住户娱乐。
                                        
                                            【生活配套】小区东面200米大型联华超市 300米农业银行。
                    
                    
                    
                    
                    
                "
"首付13万 近100米处就是车站 可落户 送花园送天井","https://shanghai.anjuke.com/prop/view/A1612118230?from=filter&spread=filtersearch&invalid=1&region_ids=20&position=3&kwtype=filter&now_time=1553069091",9460,43.3,29,"南北","简单装修","普通住宅",2,0,1,NA,4,"有","商品房","新海二村",1.8,100,0.35,0.6,"崇明","崇明主城","新海二村1-48号",FALSE,FALSE,TRUE,"此房位于崇明新海农场，周边配套设施齐全，交通便利，有直达上海市区的固定班车，是您养老、养生的理想选择。此房产权清晰、房内无户口买者放心！","特色
                                            【小区户型】小区由多层组成，1梯2户，面积段在38-80平不等，楼栋距在35米，采光很充足
                                                            
                                            【生活配套】小区门口30米有超市，很方便购物。小区南边350米有医院，居民可以在那边就医。
                    
                    
                    
                    
                    
                "
"急售 崇明地铁19号线 上海产权精装洋房  可落户 配套齐全","https://shanghai.anjuke.com/prop/view/A1617032984?from=filter&spread=filtersearch&invalid=1&region_ids=20&position=4&kwtype=filter&now_time=1553069091",23596,89,0,"南北","精装修","普通住宅",2,2,1,"低层",6,"无","商品房","中南江山美宸(公寓)",1.2,NA,0.3,5,"崇明","长兴岛","潘园公路1376弄",TRUE,FALSE,TRUE,"【户型】：户型正气，南北通透，采光好，卧室朝南带飘窗，客厅送阳台，而且房间都比较大【楼层】：得房率高达百分之85，前后无遮挡1.网上的图片是之前这个小区样板房图片、没有去实拍、房子是开发商装修好的、图片里面去掉可以移动的家具家电、硬装都是目前这个房子有的2.一房朝南一房朝北，赠送一个飘窗3.客厅南北通透且南北均有一个阳台赠送一半面积，客厅朝南阳台为落地窗设计。4.厨房全明设计干净整洁，卫生间做到了干湿分离不潮湿。5.小区楼间距足够，不会影响到采光和通风，平日里开个客厅的窗风就穿堂而过，夏天不会热梅雨天室内不会很潮14"," "
"9号线地铁旁，房东降价急售，外地人可买，可用公积金，有钥匙","https://shanghai.anjuke.com/prop/view/A1618183096?from=filter&spread=filtersearch&invalid=1&region_ids=20&position=5&kwtype=filter&now_time=1553069091",7707,67.2,11,"南北","精装修","普通住宅",2,2,1,"低层",6,"无","商品房","仪表北村",NA,20,0.35,0.5,"崇明","崇明主城","仪表北村1-8号",TRUE,FALSE,TRUE,"1、【户型】户型正气，得房率高，卧室朝南带飘窗，客厅送阳台，而且房间都比较大，非常正气采光非常好，通风也ok！南北通透。独立衣帽间，北向大露台，唯美空中花园.2、【楼层】楼层，采光好，前后无遮挡！3、【商业配套】配套齐全，小区出门就是餐饮，购物广场，菜市场都在两公里范围内。大型广场，四大银行，超大公园，娱乐场。美食街所应有尽有，只有你想不到的，没有你买不到的。","特色
                                                                【小区设施】小区内设休闲跑道 中央内置篮球场 小区西侧配有健身器材可供住户娱乐。
                                        
                                            【生活配套】小区东面200米大型联华超市 300米农业银行。
                    
                    
                    
                    
                    
                "
"地铁轨交崇明线直达长兴岛~精装高档住宅~送产权车位~对口名校","https://shanghai.anjuke.com/prop/view/A1618622980?from=filter&spread=filtersearch&invalid=1&region_ids=20&position=6&kwtype=filter&now_time=1553069091",13332,80.3,1,"南北","精装修","普通住宅",3,1,2,"中层",10,"有","商品房","江南滨江苑(西区)",1.2,200,0.36,0.8,"崇明","长兴岛","长橘路365弄",TRUE,TRUE,TRUE,"崇明岛不限购住宅！无团购、无溢价、无车位绑定、精装交付带地暖六层电梯花园海景洋房火爆*中！面积段:85平、95平（三房两厅一卫）113平（四房两厅两卫）均价:1万左右总价:90万起首付:首套3成二套5成，首付30万精装交付标准：电梯洋房精装标准为2000元/，采用美标、方太、老板等国内知名品牌，抽油机、燃气灶、热水器一应俱全，拎包入住。项目自带17000平米社区商街“全龄层、全配套”亲情健康社区，提供给中国家庭“情满三代”的大爱生活。","特色
                                            【小区户型】本小区为总高20栋高层组成，面积段为65到85平。楼间距40米以上，无遮挡，采光好
                                                                【小区设施】本小区车位充足，车位比1；1.5
                                        
                    
                    
                    
                    
                    
                "
"长兴岛碧桂园联排别墅，送花园地下室阁楼，一手现房，随时看房","https://shanghai.anjuke.com/prop/view/A1614914281?from=filter&spread=filtersearch&invalid=1&region_ids=20&position=7&kwtype=filter&now_time=1553069091",31455,110,0,"南","精装修","普通住宅",4,2,2,NA,3,"有","商品房","中南江山美宸(别墅)",1.2,NA,0.3,5,"崇明","长兴岛","潘园公路1376弄",FALSE,FALSE,FALSE,"长兴岛一手别墅送地下室送花园送露台，地上三层，地下一层，实际使用面积200平，年底交房，准现房。"," "
"首付12万！！精装全配！！外地人可买！！可落户！！送产权车位","https://shanghai.anjuke.com/prop/view/A1615626305?from=filter&spread=filtersearch&invalid=1&region_ids=20&position=8&kwtype=filter&now_time=1553069091",7594,85,8,"南北","精装修","普通住宅",3,2,2,"中层",6,"有","商品房","界河新村",NA,NA,NA,0.6,"崇明","崇明主城","界河新村9-42号",FALSE,FALSE,TRUE,"1.采光好，无遮挡，不吵闹，格局好，布局合理，公摊面积小，空气流通，永远让客厅和卧室保持着新鲜的空气，有益健康。2.小区环境好，绿化率高，容积率小属于低密度小区，非常适合居住，让你感受花园一样的家。3房子精装修！房屋配置：热水器，空调冰箱，洗衣机，床。4业主急换房，低于市场价出售，单价和总价都低，并且户型这么好，您以低的价格购买，对于你将来的出售有益，更何况是本小区绝好的户型。","特色
                                            【小区户型】小区为1梯4户，主力面积50-61平的2房1厅户型，间距25米，采光充足，主卧带阳台
                                                                【小区设施】小区内有少许健身器材，5号楼后面有篮球场，出入口60米处有便利超市和休闲娱乐场
                                        
                    
                    
                    
                    
                    
                "
"豪华精装修地铁口，赠15平露台，外地人可买落户读书，急售","https://shanghai.anjuke.com/prop/view/A1611825722?from=filter&spread=filtersearch&invalid=1&region_ids=20&position=9&kwtype=filter&now_time=1553069091",12500,80,4,"南","精装修","普通住宅",3,2,1,"中层",6,"无","经济适用房","凤凰二苑",NA,100,NA,0.8,"崇明","长兴岛","凤滨路30弄1-18号",TRUE,FALSE,FALSE,"1、房型：2-2-1，南北板式两房，附送面积超多！！2、装修：自住之前的婚房装西欧，干净清爽，简单大方、保养非常好，卫生间采用干湿分离*,如果要求不是非常高的话，可直接拎包入住！3、位置：此房位于小区花园位置，采光无遮挡，视野好，前后楼、栋距宽阔。本人以实地看过房子，真的很不错，卖掉一套少一套","特色
                                            【小区户型】小区以多层为主，主力面积：60平-87平，户型全是南北通，没有电梯，一层2户，小区楼距在80米以上、
                                                                【小区设施】小区车位比较充足，车位比例1:1，小区自带老年人活动中心，为老年人提供方便和关心
                                        
                    
                    
                    
                    
                    
                "
"不限购住宅产权丨轻轨旁单价1万丨精装无税丨可落户划入上海丨","https://shanghai.anjuke.com/prop/view/A1610376769?from=filter&spread=filtersearch&invalid=1&region_ids=20&position=10&kwtype=filter&now_time=1553069091",14557,79,3,"南北","精装修","普通住宅",2,2,1,"中层",6,"有","商品房","长岛天地",NA,NA,NA,0,"崇明","长兴岛","长橘路397弄",TRUE,FALSE,TRUE,"户型简介：1.两房市场主力刚需户型，实用甜蜜两房，一家三口，尽享温馨2.通透情况：户型方正，正宗南北通透，双朝南宽景阳台，随时沐浴阳光与清风3.主卧概括：主卧带飘窗，奢华阳光，溢满室内，超阔尺度，是婚房的好选择4.书房气息：精装书房，带办公写字桌，可供小孩复习功课，做家庭作业5.厨卫介绍：干湿分离卫生间，通透采光厨房，保持室内空气清新，提高舒适度","特色
                                                            
                                            【生活配套】小区自带商业体小吃一条街，500米有生活购物广场，大型品牌购物商场，电影院，KTV，酒店
                    
                                            【轨道交通】出小区右转500米就是公交车站，申崇一线至申崇六线
                    
                    
                    
                    
                "
