"title","URL","unitprice","area","year","direction","decoration","category","bedroom","hall","lavatory","storey","totalstorey","elevator","property","community","far","parkinglot","greening","fee","admdist","secdist","address","subway","school","convenience","sellingpoint","opinion"
"前滩南，精装一手房，现房交付，周边成熟社区，配套成熟","https://shanghai.anjuke.com/prop/view/A1600649525?from=filter&spread=filtersearch&invalid=1&region_ids=17&position=1&kwtype=filter&now_time=1553010187",26786,84,1,"南北","精装修","普通住宅",3,2,1,"中层",18,"有","商品房","天和前滩时代",2.8,2897,0.36,2.85,"奉贤","金汇","万顺路2768弄,万顺路2968弄",TRUE,TRUE,TRUE,"1、【户型】户型正气，高，卧室朝南带飘窗，客厅送阳台，而且房间都比较大，非常正气采光非常好，通风也ok！南北通透。独立衣帽间，北向大露台，唯美空中花园.2、【楼层】楼层，采光好，前后无遮挡！3、【商业配套】配套齐全，小区出门就是餐饮，购物广场，菜市场都在两范围内。大型广场，四大，超大公园，娱乐场。美食街所应有尽有，只有你想不到的，没有你买不到的。4、【配套】小区旁就有幼儿园，小学，中学,高中。","特色
                                            【小区户型】78平米2室2厅1卫，80平米2室2厅1卫，84平米2室2厅1卫，15栋 18层小高层
                                                            
                    
                                            【轨道交通】小区距8号线汇臻路站6公里，出门500米处有BRT快速公交，直达沈杜公路地铁站
                    
                    
                    
                    
                "
"联排别墅，看房随时，地上3层送阁楼，院子100平。可以装电梯","https://shanghai.anjuke.com/prop/view/A1607180240?from=filter&spread=filtersearch&invalid=1&region_ids=17&position=2&kwtype=filter&now_time=1553010187",33333,150,1,"西北","毛坯","普通住宅",3,2,3,NA,1,"有","商品房","天和尚上海",NA,1117,0.4,2.85,"奉贤","金汇","大叶公路6288弄",TRUE,TRUE,TRUE,"欢迎光临我的店铺，本人店铺都是实房实价。1、小区环境优美，交通便利，周边大型购物，餐饮游乐多，风气浓厚。2、占地面积大，社区拥有别具特色的硅谷风采园林，多元化生活的双会所配套，国际水准的智能化配置，涉外品质的安全防范系统。3、地下车库及充足车位，集居住，办公，商务和娱乐休闲为一体占尽新经济核心区-的天时地利综合优势，淋漓开启资讯时代崭新的生活.我们的口号是：公开、诚信、专业、谦卑我们的目标是真心的服务好每一位客户，因为只有满意而归的客户才是我们伟大的推销员！地铁:8号线江月路初中:闵行区向明世博中学、浦江中学①⑤⑥⑨②①④⑤0⑦0（微信同号）","特色
                                            【小区户型】小区主要在售户型77平2房，88平3房，南北通透
                                                            
                    
                    
                    
                                            【居民素质】小区住户邻里和睦，人员流动性不大。素质比较高
                    
                    
                "
"前滩南 联排别墅 户户赠送双层地下室花园里的别墅 绿化2亿","https://shanghai.anjuke.com/prop/view/A1614620591?from=filter&spread=filtersearch&invalid=1&region_ids=17&position=3&kwtype=filter&now_time=1553010187",37576,132,4,"南","精装修","普通住宅",4,3,3,NA,3,"无","商品房","天和尚上海",NA,1117,0.4,2.85,"奉贤","金汇","大叶公路6288弄",FALSE,FALSE,FALSE,"天和尚海格调项目规划有28万方别墅社区，1.0的低密度恢弘社区。立面：新海派法式别墅风格，石材+铝板高品质立面;法式风格公寓立面，尊贵大气。景观：提前5、6年已经将树种种下，园林*品，高规格打造，各类进口百年名贵树种和精心的培植果树/花树，营造出鸟语花香、果实累累、四季如春的森居生活”。天和尚海格调附加值：主力为169㎡和203㎡联排产品，但实际使用面积约459㎡和560㎡，超过200％。","特色
                                            【小区户型】高层主要以77-88平为主，大部分为别墅，品质非常好，绿化率高！
                                                            
                    
                    
                    
                                            【居民素质】居民素质比较高，邻里关系和睦，人员流动性不太大！
                    
                    
                "
"大学城类独栋别墅 送200平 只交契税 联系享折扣 送大花园","https://shanghai.anjuke.com/prop/view/A1613832173?from=filter&spread=filtersearch&invalid=1&region_ids=17&position=4&kwtype=filter&now_time=1553010187",28667,150,8,"南","毛坯","普通住宅",4,3,4,NA,3,"无","商品房","绿地香颂(别墅)",0.6,NA,0.4,2,"奉贤","海湾","海马路5888弄",TRUE,TRUE,TRUE,"南上海火爆类独栋别墅建筑类型：独门独院新中式别墅面积：260-340㎡价格：430-600万容.积.率：仅0.5驾车交通：15到南桥，35到达莘庄，45到达徐汇，50到虹桥枢纽和浦东机场，1到人民广场地铁：5号线延伸段南桥新城公交：奉卫线、奉贤18路、海航专线、海湾1线、莘海专线、海沈线商业：项目东边即是政府规划打造的海尚商业广场，被大学城所环绕","特色
                                            【小区户型】小区户型方正，南北通透，一梯两户、一梯四户
                                                                【小区设施】小区环境好，小区自带健身房、泳池、会客厅等
                                        
                    
                    
                                            【附近学校】海湾小学，海湾中学都是公立的，人大附中（私立学校）2018年开始招生
                    
                    
                    
                "
"前滩新房开盘,BRT旁，可落户上学，配套成熟，首付3.5成。","https://shanghai.anjuke.com/prop/view/A1612140702?from=filter&spread=filtersearch&invalid=1&region_ids=17&position=5&kwtype=filter&now_time=1553010187",26951,82,2,"南北","精装修","普通住宅",2,2,1,"低层",15,"有","商品房","天和前滩时代",2.8,2897,0.36,2.85,"奉贤","金汇","万顺路2768弄,万顺路2968弄",FALSE,TRUE,TRUE,"主力面积：78-84平,主力总价：200-300万,首付3.5成,,装修标准：毛坯/精装,交付时间：现房","特色
                                            【小区户型】小区主力小户型78平米南北通2房加1个小书房、外加84平米三房 少量118平大户型、小区均为板式
                                                                【小区设施】小区环境优美 自带地下车位、配比达到1:1，另外小区带沙滩、球场、滑滑梯等儿童娱乐设施。
                                        
                                            【生活配套】小区出门约500米可步行到菜场、上海市第六医院以及浦江城市生活广场等
                    
                    
                    
                    
                    
                "
"首付低20万起，精装修可看房，5号线延伸线轻轨，近学校配套全","https://shanghai.anjuke.com/prop/view/A1617839519?from=filter&spread=filtersearch&invalid=1&region_ids=17&position=6&kwtype=filter&now_time=1553010187",12833,60,4,"南北","精装修","普通住宅",2,1,1,"高层",11,"有","商品房","丽水湾",0.8,NA,0.41,0.6,"奉贤","庄行","三城路455弄,三民路561弄",TRUE,TRUE,FALSE,"■精致情况：精装修自住房！■性价比高：得房率高、目前是附近在售比较好的房子，前后无遮挡！","特色
                                            【小区户型】该小区总高4楼一梯二户，主力80到90平二房小户型，少数132平3房，楼间距65米左右，采光比较好
                                                                【小区设施】小区内有大型广场，老年活动中心，社区卫生站服务中心，还有一条河流贯穿小区，环境优美适合居住.
                                        
                    
                    
                                            【附近学校】小区往东1公里庄行镇上庄行幼儿园，庄行中学在中学路15号，重点学校；师资力量一般.
                    
                    
                    
                "
"前滩南8号线地铁，南北通房型，精装交付，新房税少","https://shanghai.anjuke.com/prop/view/A1600646816?from=filter&spread=filtersearch&invalid=1&region_ids=17&position=7&kwtype=filter&now_time=1553010187",26786,84,1,"南北","精装修","普通住宅",3,2,1,"中层",18,"有","商品房","天和前滩时代",2.8,2897,0.36,2.85,"奉贤","金汇","万顺路2768弄,万顺路2968弄",TRUE,FALSE,TRUE,"天和前滩时代以56万方大盘体量，融住宅、商业、水畔景观于一体，现代感强烈的建筑风格、个性主体商业引进以及自营有机食堂等，满足生活所需。天和前滩时代已于2018年4月19日开盘，户型为64㎡、78㎡、80㎡、84㎡。其中64平为两房，其他都是三房。1、板块整体房价偏低；2、项目体量大，总建筑面积56万方，规划自带商业；3、项目规划引进同济附属外国语，明德外国语（原福山外国语）；4、入住后社区提供班车接驳8号线，近正在施工中BRT南行港路。","特色
                                                                                    【房屋品质】现房交付，小区外墙干挂石材
                    
                                            【生活配套】南桥百联商厦，小区自带5万方商业
                    
                                            【轨道交通】BRT快速公交500米，8号线汇臻路站2公里
                    
                    
                    
                                            【其他描述】长城物业，24管家服务
                    
                "
"地铁口，70年产权，精装小户型，对口重点學区，可落户上学！","https://shanghai.anjuke.com/prop/view/A1617279734?from=filter&spread=filtersearch&invalid=1&region_ids=17&position=8&kwtype=filter&now_time=1553010187",19269,56.1,1,"南北","精装修","普通住宅",1,2,1,"低层",16,"有","商品房","东方华璟园",2.5,641,0.2,1,"奉贤","青村北","青村人民路219弄",TRUE,TRUE,TRUE,"【东方华璟园】产品概况：毛坯、精装高层住宅开发商：上海东璟企业；物业：大飞物业管理有限公司；车位：613个；","特色
                                                            
                                            【生活配套】小区出门朝南100米易买盛 周边配套成熟 菜场
                    
                                            【轨道交通】公交距 离600米 brt快速公交到团青公路 25路直达徐家汇
                    
                    
                    
                    
                "
"可以别墅何必公寓 低总价联排墅 送花园送双层地下室 无税费","https://shanghai.anjuke.com/prop/view/A1606654287?from=filter&spread=filtersearch&invalid=1&region_ids=17&position=9&kwtype=filter&now_time=1553010187",37803,132,1,"南北","精装修","普通住宅",4,3,3,NA,3,"有","商品房","天和尚上海",NA,1117,0.4,2.85,"奉贤","金汇","大叶公路6288弄",FALSE,FALSE,TRUE,"天和尚海格调项目规划有28万方别墅社区，1.0的低密度恢弘社区。立面：新海派法式别墅风格，石材+铝板高品质立面;法式风格公寓立面，尊贵大气。景观：提前5、6年已经将树种种下，园林品，高规格打造，各类进口百年名贵树种和精心的培植果树/花树，营造出鸟语花香、果实累累、四季如春的森居生活”。天和尚海格调附加值：主力为131㎡到203㎡联排产品","特色
                                            【小区户型】本小区为联排别墅，面积132平，总高5层，地下两层，地上三层加阁楼，实际使用面积可达300平。
                                                            
                                            【生活配套】出小区大门向东800米就是百联购物中心，万达广场，欧尚超市，周边配套齐全，吃喝玩乐一条龙。
                    
                    
                    
                    
                    
                "
"新出房源电梯精装，房型正气，看房专，车接，送，8号线延伸段。","https://shanghai.anjuke.com/prop/view/A1612138657?from=filter&spread=filtersearch&invalid=1&region_ids=17&position=10&kwtype=filter&now_time=1553010187",26867,83,2,"南北","精装修","普通住宅",2,2,1,"中层",15,"有","商品房","天和前滩时代",2.8,2897,0.36,2.85,"奉贤","金汇","万顺路2768弄,万顺路2968弄",TRUE,FALSE,FALSE,"主力面积：78-84平,主力总价：200-300万,首付3.5成,装修标准：毛坯/精装,交付时间：现房,户型：南北通透、全南户型","特色
                                            【小区户型】在售户型78-84平米，2房2厅1卫，4号楼15号楼是毛坯交付，14号楼是精装交付，一梯2户
                                                            
                    
                                            【轨道交通】地铁8号线汇臻路站2.5公里，小区门口400米是BRT快速公交 ，可直达东方体育中心
                    
                    
                    
                    
                "
