"title","URL","unitprice","area","year","direction","decoration","category","bedroom","hall","lavatory","storey","totalstorey","elevator","property","community","far","parkinglot","greening","fee","admdist","secdist","address","subway","school","convenience","sellingpoint","opinion"
"VR全景视频 全南户型超大观景阳台拎包入住 有钥匙","https://shanghai.anjuke.com/prop/view/A1608368946?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=8&position=1&kwtype=filter&now_time=1552887392",89087,98.8,8,"南北","精装修","普通住宅",2,2,1,"中层",32,"有","商品房","建邦16区",3.9,300,0.4,1.2,"虹口","临平路","天宝路466弄",TRUE,TRUE,TRUE,"客厅朝南带阳台，主卧朝南带阳台套卫生间，次卧朝南，，餐厅厨房朝北带阳台房，开发商精装修，业主买进自己花了几装修费用，可以拎包入住。该房源位于小区，前排采光不遮挡，楼间距大，房屋满两年税费少。本人上海本地人，从业8年多，愿以我专业的知识，热情的服务，为您找到让你满意的家！","特色
                                            【小区户型】建邦16区的主力户型，两房全朝南99平米，三房南北通透120-139平米，两梯四户、两梯三户的布局
                                                            
                                            【生活配套】100米就是和平公园，50米内有卜蜂莲花、华师大一附中、农业银行、工商银行、菜场、医院等。
                    
                                            【轨道交通】走路300米轨道四号线、八号线，十号线，还有众多公交路线（55路、910路、14路、123路等）！
                    
                                            【附近学校】对口上海市市重点华师大一附中实验中学、虹口区区重点第二中心小学
                    
                    
                    
                "
"中皇广场，中间位置，双轨交通，双南户型，真的急卖！","https://shanghai.anjuke.com/prop/view/A1604817576?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=8&position=2&kwtype=filter&now_time=1552887392",69315,112.5,16,"南","精装修","普通住宅",2,2,1,"高层",19,"有","商品房","中皇广场",5.6,NA,0.38,1.6,"虹口","临平路","梧州路218弄",TRUE,TRUE,TRUE,"*地产置业专家祖锐欢迎您来到我的店铺，很高兴为您！公司简介*地产是一个值得您信赖的交易平台，公司秉承以客户为导向的理念，以客户成功作为我们的目标，在交易的每个环节中力争使客户体验*优值的，我们坚信取得客户成功是我们追求长远可持续发展的基石。房源优势户型正气-南向,精装，楼经典明厨明卫，格局周正合理，无浪费面积！性价比高-780万，112平，业主自住，风格清雅别致!采光充足-楼间距大，无遮挡，采光非常棒！小区简介","特色
                                            【小区户型】前排2梯2户均为南北户型，后排2梯6户、两梯8户，塔楼结构朝向较多。
推介高区户型，阳光好景观好。
                                                                【小区设施】停车位：地面停车位有100个。
配套：小区内配有助动车停车点、儿童游乐园、便民蔬菜自取机。
                                        
                                            【生活配套】三角地菜市场50米，物美大卖场超市250米，人民医院350米，1933老厂房旅游景点200米。
                    
                                            【轨道交通】地铁：10号线4号线海伦路300米。
公交：300米内有854路、6路、13路。
                    
                                            【附近学校】对口：对口二中心小学，不是区重点小学。
入学条件：户口落入房子内，且5年内没使用过名额即可报名。
                    
                    
                    
                "
"江杨家园 低于此价为假房源 附送婚房装修 实拍照片 小区专家","https://shanghai.anjuke.com/prop/view/A1604914034?from=filter&spread=filtersearch&invalid=1&region_ids=8&position=3&kwtype=filter&now_time=1552887392",56146,77.1,12,"南北","精装修","普通住宅",2,1,1,"高层",14,"有","商品房","江杨家园",1.3,300,0.32,1.5,"虹口","江湾镇","江杨南路55弄",FALSE,TRUE,TRUE,"欢迎光临耿玉飞的网上店铺房源简介户型:两房一厅，产证面积77m楼层：10楼，总高14层，采光好装修：房子是精装修价格：现在房东报价433万无抵押满五唯一无税此套一房为本小区性价比房子，这房子肯定符合你更多出售房源可以进入我的店铺，或者微信联系","特色
                                            【小区户型】主推53平58平68平的一房，77到89的两房，得房率高
                                                            
                                            【生活配套】江杨南路三门路路口有第四人民医院，虹湾路有麦德龙超市距离100米
                    
                    
                                            【附近学校】复兴小学就在隔壁 对口彩虹湾9年制学校，
                    
                    
                    
                "
"弘丰新苑 板式南北通 全明户型 看房子方便","https://shanghai.anjuke.com/prop/view/A1614897776?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=8&position=4&kwtype=filter&now_time=1552887392",60491,105.8,23,"南","简单装修","普通住宅",3,1,1,"中层",7,"有","商品房","弘丰新苑",1.2,150,0.3,0.8,"虹口","四川北路","中兴路110弄",TRUE,FALSE,TRUE,"房子在出售诚意出售的位于东宝兴路地铁站附近全明户型价格好谈的","特色
                                                            
                                            【生活配套】小区到中心路绿地就800米，中心路绿地空气非常好。
                    
                                            【轨道交通】小区到3号线东宝兴路站就300米，途径一个站到虹口足球场可以换乘8号线。
                    
                    
                    
                    
                "
"风中带野 价格优选！东四小区可进四中心学籍干净 近3，8号线","https://shanghai.anjuke.com/prop/view/A1610631839?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=8&position=5&kwtype=filter&now_time=1552887392",68666,50.7,29,"南北","精装修","普通住宅",1,1,1,"中层",13,"有","商品房","东四小区",1.8,NA,0.42,1,"虹口","曲阳","赤峰路372弄",TRUE,TRUE,TRUE,"该房源位于虹口区传统核心板块曲阳地区，属于大型居民聚集地块，历来是传统上居民安家置业的*之地。该房源房型正气，南北通透，采光通风十分良好，虽然房龄是上世纪八九十年代建造，但是房屋质量上乘，经久耐用，实在是首套购房置业的上上之选。","特色
                                            【小区户型】总高13层，赤峰路370弄1-6号，2梯14户，41㎡1房，51㎡和53㎡一房一厅，78㎡两房1厅
                                                            
                                            【生活配套】靠近虹连菜市场，步行300米可至，到家乐福、麦当劳、肯德基400米，到精武公园700米
                    
                                            【轨道交通】距8号线曲阳路站约650米，离地铁3号线赤峰路站约660米，内环高架曲阳路入口非常近，近内环高架。
                    
                                            【附近学校】对口虹口第四中心小学，是上海市重点小学，对口的初中是虹口实验学校。幼儿园有银联幼儿园、邮电幼儿园
                    
                    
                                            【其他描述】大物业：大柏树物业公司。小物业地址：东四小区6号107，物业费为 0.85元/m2。
                    
                "
"送50平露台花园洋房 1梯两户 双南户型  ，只卖两周","https://shanghai.anjuke.com/prop/view/A1614663884?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=8&position=6&kwtype=filter&now_time=1552887392",58876,90,20,"南","精装修","普通住宅",2,2,1,"低层",7,"有","商品房","金鸿苑",1.4,NA,0.25,1.2,"虹口","广中路","水电路300号",TRUE,FALSE,TRUE,"房源卖点：1.该房源我亲自去验过，户型好，精装修。2.朝向：朝南：房间采光是没任何问题的。3.房子高，无浪费面积。4.看房方便，房子空间利用率大，超高。5.价格低于市场价，值得信赖。这是我的房源，别的中介没有！！更多房源请**不动产刘东了解更多请联系：刘东！*不动产为您提供服务保证！","特色
                                                            
                                            【生活配套】出门小菜场，地铁 3/8号线 双轨交通步行200米，凯德龙之梦500米就到了 。
                    
                                            【轨道交通】近3号线8号线虹口足球场站步行200米 ，出门多路公交线路交错相通。
                    
                    
                    
                    
                "
"送12平露台！新静安商品房板式南北通，高区视野无任何遮挡！","https://shanghai.anjuke.com/prop/view/A1614681181?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=8&position=7&kwtype=filter&now_time=1552887392",47541,61,14,"南北","精装修","普通住宅",2,1,1,"高层",33,"有","商品房","意和家园",1.2,80,0.35,0.8,"虹口","广中路","株洲路258弄",TRUE,TRUE,TRUE,"此房位于新静安（老闸北）次新品质高区视野无遮挡，板式南北通2房1厅，使用面积100平，处于小区中间位置，闹中取静。","特色
                                            【小区户型】主推大户型三房的，三房的房型好，多是两房朝南一房朝北的，厨卫全明。
                                                            
                    
                                            【轨道交通】200米处是公交站108路区间、767路，前者途经人名广场、广场公园，后者可到上海大学、大宁公园
                    
                    
                    
                    
                "
"众里寻房千百度，蓦然回首，那房正在此处，急卖昔日爱巢","https://shanghai.anjuke.com/prop/view/A1615924692?from=filter&spread=filtersearch&invalid=1&region_ids=8&position=8&kwtype=filter&now_time=1552887392",86207,87,5,"南","精装修","普通住宅",2,2,1,"低层",30,"有","商品房","瑞虹新城璟庭",3.4,NA,0.35,5.18,"虹口","临平路","天宝路330号,天虹路328-330号,虹关路323弄",FALSE,TRUE,TRUE,"房子是瑞虹五期330号的87平方米的两房，主卧朝南带阳台，次卧朝北，厅朝北，卫生间带地暖，开发商统一装修，带产权车位，这种户型是非常*的，目前小区只有这一套在卖的，性价比超高，小区前排位置，旁边就是瑞虹新天地，生活配套非常方便。","特色
                                                            
                                            【生活配套】【商业】：易买得、瑞虹生活广场、瑞虹坊【银行】：工商银行【医院】：步行800米到人民医院
                    
                    
                                            【附近学校】出门100米到瑞虹幼儿园、【中小学】：出门500米到华师大附属实验小学华师大附属中学。
                    
                    
                    
                "
"房东急降80万，豪华装修南北通拎包入住，双规交通，出门和平公","https://shanghai.anjuke.com/prop/view/A1617297149?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=8&position=9&kwtype=filter&now_time=1552887392",33161,96.5,15,"南北","豪华装修","普通住宅",2,2,2,"高层",18,"有","商品房","天宝华庭",NA,50,0.4,NA,"虹口","曲阳","四平路775弄1-2号",TRUE,FALSE,TRUE,"温馨提示【此信息已通过安居客官方检验，真实在售】☆《小区详情》：04年品质小区，小区环境优美，绿化高☆《户型介绍》：一南一北厅南北直通☆《交通通勤》：8/10号线四平路站，双规交通☆《房源优势》：南北直通带双阳台，双卫生间，全明全亮☆《周边配套》：出门和平公园，临平路商业街。☆《更多好房请点击右上角我的头像进入我的网络店铺》☆","特色
                                            【小区户型】天宝华庭主体为两幢20、22层的高层，均为33—77平方米左右的小面积房型，三梯十五户
                                                                【小区设施】车位配比是1：1.5的比较充足
                                        
                                            【生活配套】和平公园出门200米到。密云菜场300米
                    
                                            【轨道交通】小区到10和8号线四平路地铁站就200米，交通非常便利。
                    
                    
                    
                                            【其他描述】上房物业管理有限公司 　　物业费：4.4块，服务还行
                    
                "
"东体小区两房一厅 南北户型 深井采光 近邻双地铁 生活便利","https://shanghai.anjuke.com/prop/view/A1613319398?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=8&position=10&kwtype=filter&now_time=1552887392",56415,53,34,"南","精装修","普通住宅",2,1,1,"中层",6,"无","商品房","东体小区",1.3,80,0.3,0.8,"虹口","曲阳","东体育会路659弄",TRUE,FALSE,TRUE,"【户型结构】产证面积：53平；户型：2/1/1【装修保养】精心装修，保持完好，干净整洁【产权状况】产权人配合，在上海，方便签约；【税费明细】满五年唯一税费少；【附送优惠】此房设计非常的漂亮，家具家电全送，楼栋间距大。","特色
                                            【小区户型】主要的户型1房是34平-40平，2房1梯2户53平，1梯4户46平、49平、60平！3房68平
                                                            
                                            【生活配套】距密云菜场市场400米，距家乐福超市200米，距鲁迅公园500米
                    
                    
                    
                    
                    
                "
