"title","URL","unitprice","area","year","direction","decoration","category","bedroom","hall","lavatory","storey","totalstorey","elevator","property","community","far","parkinglot","greening","fee","admdist","secdist","address","subway","school","convenience","sellingpoint","opinion"
"对口上外直升大同，有名额，房型正气，居住舒适，采光足，有钥匙","https://shanghai.anjuke.com/prop/view/A1601835859?from=filter&spread=filtersearch&invalid=1&region_ids=4&position=1&kwtype=filter&now_time=1552906927",84848,33,31,"南","精装修","普通住宅",1,1,1,"中层",6,"无","商品房","市民新村",NA,NA,NA,NA,"黄浦","蓬莱公园","中山南路1748-1760双号,保屯路211弄,中山南...",TRUE,TRUE,FALSE,"房主急售价钱超值抓紧时间吧！对于您的到来，深感荣幸。我从事经纪行业多年，扎实的二手房知识基础，是我赢得客户的基础。热情诚信的服务态度，让我和客户成为了要好的朋友。当您为了您的安家置业而头疼的时候，您不妨拿起电话，发个信息，或者打个电话，也许，经过我们的沟通，您会更加的清晰明了您的真正需求。相信我的经验，能给您提供专业的咨询和真诚的服务。我真心的希望能用我的真心换取您的信心，助您找到适合您的房子。类似房源：附近0.76千米西凌新邨32.12平*附近0.76千米西凌新邨33平238万附近1.7","特色
                                            【小区户型】小区是总高6楼的老公房，小户型比较多，以小户型为主，楼间距为30米左右。
                                                            
                    
                                            【轨道交通】向东100米就是西藏南路地铁站4/8号线，对面50米左右就是公交汽车总站。
                    
                                            【附近学校】对口上海是外国语学校附属小学，直升大同中学，是上海市一梯队，师资力量雄厚。
                    
                    
                    
                "
"精致三房，全装拎包入住，业主降价300万诚售，难得的价格","https://shanghai.anjuke.com/prop/view/A1612899056?from=filter&spread=filtersearch&invalid=1&region_ids=4&position=2&kwtype=filter&now_time=1552906927",150794,189,2,"南","精装修","普通住宅",3,1,2,"低层",16,"无","商品房","翠湖天地隽荟都",NA,200,0.35,1.9,"黄浦","新天地","济南路260弄",TRUE,TRUE,TRUE,"1.业主急售2.面宽10米的，开阔横厅设计，采光充足3.两南一北的户型设计，主卧朝南带阳台，次卧朝南，客卧朝北面向小区花园","特色
                                            【小区户型】主力户型为180-190平三房，274.83-390平四房/五房，朝向南北通
                                                                【小区设施】项目在地上建起了一座面积约300平市值超过8亿的全明挑空全地上双会所，车位比较充足车位比例1：1.1
                                        
                    
                                            【轨道交通】小区约300米地铁10/13号线新天地站，2站可到南京东路，世界会博物馆
                    
                                            【附近学校】小区向西步行1000米是淮海中路小学，学校师资力量优厚，教育资源丰富，配套设施完善，教学环境优质
                    
                    
                    
                "
"VR房源新天地板块（建德坊，低总价两房）(移民急售，满五1）","https://shanghai.anjuke.com/prop/view/A1614175058?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=4&position=3&kwtype=filter&now_time=1552906927",87129,101,17,"南","简单装修","普通住宅",2,2,1,"中层",26,"有","商品房","建德坊",1.8,300,0.3,1.35,"黄浦","新天地","建国东路328弄1-22号",TRUE,TRUE,FALSE,"一、房源优势：1、新天地板块，2002年品质小区，低总价两房2、客厅宽敞大气3、居家装修提包入住二、户型介绍：户型：2室2厅1厨1卫1阳台，朝向：南北通透，格局方正，使用率超赞1、客厅朝南带观景大阳台、宽敞舒适、阳光非常充足2、卧室搭配的很新颖，使用率非常之高3、厨房朝向：让您和家人有足够的空间展现私家厨艺4、连接客厅和厨房之间是您和家人享受美味的餐厅，足足可摆下多人桌，让您热情的招待亲朋好友","特色
                                            【小区户型】多层和高层组成，多层1梯2户，74平的南北通两房，高层2梯4户，101平南北通两房和58平朝南一房。
                                                            
                    
                                            【轨道交通】出小区向南步行约150米，就是地铁站马当路，9/13号线，出行交通很方便。
                    
                                            【附近学校】对口的是卢湾一中心小学，市重点一梯队，师资雄厚。
                    
                    
                    
                "
"VR实堪（实房实价，顶楼复式结构，送百平景观露台）有车位","https://shanghai.anjuke.com/prop/view/A1608837437?from=filter&spread=filtersearch&invalid=1&region_ids=4&position=4&kwtype=filter&now_time=1552906927",49603,302,12,"南北","精装修","普通住宅",4,3,3,"高层",12,"有","商品房","圣莲大厦",2.9,NA,NA,2,"黄浦","豫园","学院路32弄1号,东街123号",TRUE,TRUE,FALSE,"【房型介绍】：4+1室3厅3卫；复式结构，楼下两房，楼上2+1房。客厅朝南带阳台，气派餐厅朝北看黄浦江，城隍庙，客厅南北直通之势，主卧朝南大飘窗独立卫生间，次卧朝北，厨房朝北卫生间全明；采光非常好！","特色
                                                            
                    
                                            【轨道交通】距离小南门797米，此站可换乘9号线，距离豫园站1266米，此站可换乘10号线。
                    
                                            【附近学校】对口复兴东路三小 区重点小学，近1281米内有：敬业中学 市十中学 金陵中学 中华路三小等。
                    
                    
                    
                "
"天赐公寓 标准2室2厅 全明户型 产权清醒 房主诚心要卖","https://shanghai.anjuke.com/prop/view/A1603460279?from=filter&spread=filtersearch&invalid=1&region_ids=4&position=5&kwtype=filter&now_time=1552906927",36667,48,2,"南","精装修","普通住宅",2,2,1,"高层",22,"有","商品房","天赐公寓",4.3,NA,0.25,9.8,"黄浦","南京东路","广东路429号",FALSE,FALSE,TRUE,"【看房免费车接车送,】1.赠送有缘人车位。2.不可再失的好房源，医疗成熟，商业繁华，交通便利。3.房租高月供低，以租养贷","特色
                                            【小区户型】小区总高24层，4梯28户，采光充足 ，前后无遮挡，小区面积45平到75平小户型为主。
                                                            
                                            【生活配套】小区往南200米就有公交车站，直达人民广场，往东500就有菜场和超市，配套齐全因有尽有。
                    
                    
                    
                    
                    
                "
"永业二期（新出钥匙房，全权委托代理）产权清晰，带产权车位","https://shanghai.anjuke.com/prop/view/A1603144809?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=4&position=6&kwtype=filter&now_time=1552906927",89896,139.1,11,"南北","精装修","普通住宅",3,2,2,"高层",32,"有","商品房","永业公寓",1.6,400,0.2,2.8,"黄浦","五里桥","徐家汇路135弄",TRUE,FALSE,TRUE,"【小区介绍】：永业公寓是黄浦区新天地板块品质很高的小区。周边生活配套非常完善，小区人车分流，08年竣工。【周边配套】：配套齐全，开发成熟，区域内的饭店、咖啡厅，shopping。吃喝玩乐配套完善，时尚购物广场，任您选购【户型介绍】：这套138㎡的户型，自住宽敞适宜，两房朝南、次卧朝北，客厅南北通，精致装修！视野开阔【房屋现状】：戸口情况：无、贷款情况：无、附带车位！","特色
                                            【小区户型】小区分为一期和二期、95-123平的全南两房、130-155平的南北通三房、一期顶楼是复式四房。
                                                            
                    
                                            【轨道交通】地铁9/13号线马当路站50米，西面500米南北高架，南面1000米西藏南路隧道。南面50米徐家汇路
                    
                    
                    
                    
                "
"产权证复印件在手 价格可谈 钥匙在手 主卧朝南 du家委托","https://shanghai.anjuke.com/prop/view/A1603955749?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=4&position=7&kwtype=filter&now_time=1552906927",48872,133,15,"西南","简单装修","普通住宅",2,2,1,"高层",32,"有","商品房","天天花园",NA,100,0.45,2,"黄浦","打浦桥","徐家汇路518,528号",TRUE,TRUE,TRUE,"1、小区介绍：天天花园俊工于1997年，花园式园林小区，小区环境优美,自营物业管理公司，小区居住的人群多为自住。2、户型介绍：此房主卧朝南,次卧西南,客厅朝西,厨卫有窗，两梯六户.公摊面积少.3、交通出行:小区出门即是打浦路，9号线。横竖2条线路。徐家汇路上公交线路较多。出行方便。4、：小区周边有多个知名公办幼儿园，小区步行*即到对口的公办海华小学，直升卢湾中学,属二梯队；5、购物：小区北边马路对面即是新开业的LUONE属五*购物，北有新天地，思南公馆；西有日月光、田子坊，南有永辉；","特色
                                            【小区户型】小区共俩栋高层建筑，28层，主力户型俩房120到140平方.三房140到170平方，户型开阔。
                                                            
                                            【生活配套】小区往西100米日月光，田子坊商业购物中心，往南200米金米兰商业广场，生活配套非常方便。
                    
                                            【轨道交通】方圆1公里内地铁9号线打浦桥站，地铁4号线鲁班路站，地铁13号线马当路站，交通发达，便利。
                    
                    
                    
                    
                "
"黄埔复式三房！！送露台，东方明珠观景房","https://shanghai.anjuke.com/prop/view/A1616821276?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=4&position=8&kwtype=filter&now_time=1552906927",63194,72,8,"南北","豪华装修","普通住宅",3,2,2,"高层",16,"有","商品房","经纬公寓",2.3,NA,0.2,2,"黄浦","新天地","顺昌路10号",FALSE,FALSE,FALSE,"房型：三房两厅两卫，两房朝南，一房朝北，厅南北通，送露台，观景房。"," "
"人民广场地铁站1.2.8号 电梯朝南一梯2户板式房，看房有钥","https://shanghai.anjuke.com/prop/view/A1615805813?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=4&position=9&kwtype=filter&now_time=1552906927",93355,81.4,15,"南","精装修","普通住宅",2,2,1,"中层",15,"有","商品房","中福城一期",2.9,180,0.32,2.2,"黄浦","南京东路","浙江中路188弄1-17号",TRUE,TRUE,TRUE,"价格:房东诚意出售，地铁朝南2房，带阳台，全明户型，低于小区其他价格户型描述:主卧朝南带阳台，厨卫朝北都带窗户。","特色
                                            【小区户型】一房：70平朝南；两房：81-83平朝西南；93.55平南北通；94.57平南北通；
                                                            
                                            【生活配套】百货：永安百货，超市：楼下就是喜士多，世纪联华约150米；餐厅：老半斋，牛蛙面，公园：人民公园等
                    
                                            【轨道交通】地铁1,2,8号线人民广场站300米左右即到入口处，10号线南京东路站400米即到
                    
                                            【附近学校】小区对口小学：报童小学（汉口路山西路路口）
                    
                    
                                            【其他描述】小区总共17号楼，除了17号楼一梯三户以外，其他均为一梯两户，均为一卫，物业费:2.25元/平方米
                    
                "
"新天地，不限购限量版，无税费，豪华装修，只有38席！！","https://shanghai.anjuke.com/prop/view/A1615422028?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=4&position=10&kwtype=filter&now_time=1552906927",108827,82.7,11,"南","豪华装修","普通住宅",1,2,1,"高层",30,"有","商品房","巴卡拉东苑",5.5,NA,0.3,NA,"黄浦","新天地","济南路8,9号",TRUE,FALSE,TRUE,"实堪简介：1；新天地济南路（地标）住宅建筑（限量版）2；面积段：82，108，119，（大一房）147平（大两房）3；每个户型样板间已施工完毕，欢迎实地鉴赏！","特色
                                            【小区户型】3梯7户，小区分为1房82/108/119平米，全南2房147平米，顶楼是整层一户四面环绕采光无敌。
                                                                【小区设施】小区总车位364个，自带豪华会所恒温泳池，健身房，瑜伽室，儿童设施，每周有2次保洁，刷卡入户。
                                                                【房屋品质】全钢化透明玻璃外立面，按酒店消防审核，防水膈音隔热。
                    
                                            【生活配套】往北50米淮海公园，往南100米新天地商业购物逛街休闲，K11，周边酒店安达仕，朗庭，雅诗阁。
                    
                                            【轨道交通】距离黄陂南路站580米，此战可换乘1号线，距离老西门站679米，此战可换乘10号线及8号线。
                    
                    
                    
                    
                "
