"title","URL","unitprice","area","year","direction","decoration","category","bedroom","hall","lavatory","storey","totalstorey","elevator","property","community","far","parkinglot","greening","fee","admdist","secdist","address","subway","school","convenience","sellingpoint","opinion"
"红树林 两房，别 墅 后面，采光无遮挡，南北通透户型，钥匙房","https://shanghai.anjuke.com/prop/view/A1612060157?from=filter&spread=filtersearch&invalid=1&region_ids=18&position=1&kwtype=filter&now_time=1553076399",24223,88.8,8,"南北","毛坯","普通住宅",2,2,1,"中层",6,"有","商品房","赞成红树林家园",1.1,300,0.36,1.5,"金山","山阳","卫零北路800弄",FALSE,TRUE,TRUE,"1.此房是赞成红树林家园的，房子朝向：朝南，采光和通风都非常好2.小区内绿化率面积大，居民素质高，物业管理规范。生活非常方便，出门到公交站步行几即可3.分析：取决于性，取决于不可替代性，物以稀为贵!{赞成红树林家园的一切设计都是围绕适合居住这个核心，家家有景的景观设计，与众不同的空调设计，且本小区内没有出租办公的，仅有出租居住的也不超过3%，九成以上的业主都是自己居住。它的这些不可替代的特点决定了它的品质，也注定了它的","特色
                                            【小区户型】小区主要面积89平2房，南北通透房型，135的三房，和250到280之间的别墅。
                                                            
                                            【生活配套】小区东门紧邻万达广场，北门过马路就是世界外国语学校，往北面300米到底金山医院。
                    
                    
                                            【附近学校】学校ju离小区500米是前京小学，和金山初级中学。师资资力量雄厚。到达万达200米，有银行和超市。
                    
                    
                    
                "
"3.10养老房，二楼全新装修，中间位置，紧挨这着城市沙滩景区","https://shanghai.anjuke.com/prop/view/A1613601963?from=filter&spread=filtersearch&invalid=1&region_ids=18&position=2&kwtype=filter&now_time=1553076399",13953,43,34,"南","简单装修","普通住宅",2,1,1,"低层",6,"有","商品房","石化十村",NA,110,0.43,0.5,"金山","石化","富川路10号",FALSE,TRUE,FALSE,"房子是二楼，全新装修，拎包入住，看房便利适合养老居住，空气好，在高空往下看这个小区是在海里的样子","特色
                                            【小区户型】小区一共有165栋高层组成，主力面积为46平80%房型为南北房。
                                                            
                    
                    
                                            【附近学校】对口小学为教院小学，中学为教院附中，设施完善师生素质高。
                    
                    
                    
                "
"外地人不限购70年产权住宅房，南北通透家具家电全送，随时看房","https://shanghai.anjuke.com/prop/view/A1615102772?from=filter&spread=filtersearch&invalid=1&region_ids=18&position=3&kwtype=filter&now_time=1553076399",9861,72,9,"南","精装修","普通住宅",2,2,1,"中层",10,"有","商品房","和平新村",NA,50,0.45,0.18,"金山","张堰","和平新村1-10号",TRUE,TRUE,TRUE,"1.房型正气:格局周正合理、无浪费面积!2.精致装修:开发商统一装修、风格清雅别致、保护的非常好！3.采光充足:楼间距很大、无遮挡、采光非常棒！4.地段优势:位于区域繁华地段。配套成熟:小区周边配套特别完善成熟、附近有银行、医院校区、卖场等！","特色
                                            【小区户型】小区于1982年竣工，主推60平两房的小户型。均为一梯两户，总高6层，采光较暗淡，楼间距为15米。
                                                            
                                            【生活配套】500米之内农业银行，邮政银行。步行653米即到惠多生活购物，新世纪华联距小区有496米。
                    
                                            【轨道交通】小区到公交仅需100米：连卫专线直达莲花路地铁站，虹桥枢纽7路直达虹桥机场。等多路公交。
                    
                                            【附近学校】小区距斯祥幼儿园步行466米即到。929米到张堰幼儿园，资质老练，师生和睦教育好。
                    
                    
                    
                "
"210万红树林 精装带花园两房！房东诚售！","https://shanghai.anjuke.com/prop/view/A1617889392?from=filter&spread=filtersearch&invalid=1&region_ids=18&position=4&kwtype=filter&now_time=1553076399",23979,89.7,10,"南北","精装修","普通住宅",2,2,1,"低层",6,"无","商品房","赞成红树林家园",1.1,300,0.36,1.5,"金山","山阳","卫零北路800弄",FALSE,TRUE,TRUE,"房子装修保养的很好！品牌家具家电！烤箱，洗澡机都有，家具家电全送！小区对面就是世外学校！周边万达，金山三甲医院，不行几*都可以到达！","特色
                                            【小区户型】小区北面都是商品房，南面是别墅，商品房有电梯和楼梯户型，面积在89到135平。别墅在240到350平
                                                                【小区设施】小区中间有一条有南到北的活水河，水是由小区外面的天然河道贯通的，水质很好
                                        
                                            【生活配套】小区北大门对面就是金山世界外国语学校，北大门出来右边100米就是万达广场
                    
                    
                                            【附近学校】小区对口金山小学，金山初级中学，在金山是前三的学校
                    
                    
                    
                "
"140万买上海新房，安家落户首付仅40万 可以上海，何必外地","https://shanghai.anjuke.com/prop/view/A1612316407?from=filter&spread=filtersearch&invalid=1&region_ids=18&position=5&kwtype=filter&now_time=1553076399",14286,98,1,"南北","精装修","普通住宅",3,2,2,"高层",17,"有","商品房","依云湖",NA,NA,0.35,0,"金山","张堰","夏宁路,近博才路",FALSE,FALSE,TRUE,"首付50万起上海买三房！首开在即，预约从速！！！[礼物]开发商：招商、中建、世贸联合开发[太阳]在售体量：464套（400套83平）面积段：83平3/2/198平3/2/2118平4/2/2首付：3.5成（约40万左右）二套5成总高：17层物业费：2.5元物业：招商物业（小区人车分流，智能门脸识别系统）产权年限：70年上海“史前级”三房！83㎡实现百平尺度！神户型颠覆你的想象！只要首付40万住上海三房二套首付只要五成，首套契税1%，低门槛，低首付！","特色
                                            【小区户型】该小区在售面积有75，89和110平的，楼间距60米采光好，房型大气
                                                            
                                            【生活配套】小区大门出去农贸市场，一公里内有华联超市
                    
                    
                    
                    
                    
                "
"上海产权，不限购，外地人没社保可以买，南北通带阳台近22号线","https://shanghai.anjuke.com/prop/view/A1611475554?from=filter&spread=filtersearch&invalid=1&region_ids=18&position=6&kwtype=filter&now_time=1553076399",19111,45,6,"南北","精装修","普通住宅",2,2,1,"中层",11,"有","商品房","海滨新城",1.4,NA,0.35,1.81,"金山","石化","龙胜东路550弄",TRUE,TRUE,TRUE,"1.户型正气，得房率高，主次卧朝南带飘窗，客厅朝南送阳台，而且房间都比较宽敞。2.户型方正，采光充足！通风也ok！南北通透。3.楼层居中，绿化率49%，前后无遮挡！【环境与安全】小区人文环境优美，物业和保安非常到位，您可以放心入住。","特色
                                            【小区户型】小区以高层两房三房以主，128平米三房两卫，两房朝南一房朝北，厅南北通，户型非常正气
                                                                【小区设施】小区自带游戏池，景观湖，还有小孩玩的娱乐设施，人车分流，绿化40%
                                        
                                            【生活配套】小区出门100米到金山卫高铁站，可直达上海南站，出行非常方便，500米到金山百联购物中心，购物方便
                    
                                            【轨道交通】小区南门100米就有高铁直达上海南站，到市区上班出行都非常方便，小区北门30米就是公交站牌
                    
                                            【附近学校】小区南门口就是同凯幼儿园，对口重点海棠小学，和重点中学，同凯中学。
                    
                    
                    
                "
"叠加别墅电梯直达，南北花园，地下室带车位，特 价房源299。","https://shanghai.anjuke.com/prop/view/A1618672168?from=filter&spread=filtersearch&invalid=1&region_ids=18&position=7&kwtype=filter&now_time=1553076399",20621,145,2,"南北","精装修","普通住宅",5,3,4,NA,4,"有","商品房","美溪里(别墅)",NA,NA,NA,NA,"金山","张堰","金张公路",FALSE,FALSE,TRUE,"1.核心位置，金山新城北面，*房，周边菜场，购物中心，休闲广场均在1公里范围内2.房子格局是千禧年正气5房，带花园和露台3.房子一梯一户，非常小的公摊面积，物业非常完善，楼道打扫的很干净","特色
                                                            
                    
                    
                    
                                            【居民素质】租客均为35岁左右白领，素质较高，朝九晚五规律性强，配套成熟近大型商场，邻里之间多无交集。
                    
                                            【其他描述】物业费为1元，开发商自持一级甲等物业，全天不间断巡逻，时刻保证业主生命和财产安全，深受业主欢迎和喜爱
                    
                "
"1.环境优美，低密度社区。2. 绿化率高，让您感受像花园一样","https://shanghai.anjuke.com/prop/view/A1617933167?from=filter&spread=filtersearch&invalid=1&region_ids=18&position=8&kwtype=filter&now_time=1553076399",10897,78,6,"南","精装修","普通住宅",2,2,1,"中层",12,"有","其他","寺平小区",NA,NA,0.24,2,"金山","亭林","寺平北路",TRUE,FALSE,TRUE,"1、户型:户型正气，得房率高，主卧朝南，次卧朝北带飘窗，客厅送阳台，而且房间都比较大，非常正气，采光非常好，通风也OK，南北通透。2、得房率高：85%，绿化率：35%，全天采光，前后无遮挡，让您时刻感受温暖阳光。3、装修:精装修，典雅风格，家具齐全可拎包入住，阳台视野开阔，可鸟瞰小区全貌","特色
                                                            
                                            【生活配套】到农工商超亭林店181米，世纪联华389米。生活购物很方便。
                    
                                            【轨道交通】小区距大慈路寺平北路公交站（亭林3路）200米，距亭林汽车站253米，乘坐虹桥枢纽7路可到虹桥。
                    
                    
                    
                    
                "
"金山廊下首付10万起，嘉怿钥匙房，实地实勘，真实价格，可挂户","https://shanghai.anjuke.com/prop/view/A1611818050?from=filter&spread=filtersearch&invalid=1&region_ids=18&position=9&kwtype=filter&now_time=1553076399",11174,52.8,37,"南北","精装修","普通住宅",1,1,1,NA,3,"有","商品房","廊下新村",NA,NA,NA,0.5,"金山","廊下","廊下新村6-16号",TRUE,FALSE,TRUE,"1、产证：产证面积37平米，产权夫妻2人，无纠纷。2、户型：南北通透，户型非常整齐。3、户口：产权清晰，随时交易过户。4、楼层：理想楼层,得房率高，全天采光,前后无挡,让您时刻感受温暖阳光。5、装修:精装修,可拎包入住。","特色
                                            【小区户型】小区主要以一梯两户，一梯三户为主 总高3楼 房型是两房朝南 小户型45到60平为主 坐北朝南
                                                            
                                            【生活配套】楼下两公里内有大型的蔬菜，水果，牛羊肉农贸商超，各种生活品超市，银行全部都有
                    
                                            【轨道交通】一公里内有很多公交站台，比较近的300左右公交站有很多部漕廊专线，连廊专线直达闵行莲花路地铁站
                    
                    
                    
                    
                "
"上海高品质住宅，首付50万，超高得房率，双语国际学校！","https://shanghai.anjuke.com/prop/view/A1605972946?from=filter&spread=filtersearch&invalid=1&region_ids=18&position=10&kwtype=filter&now_time=1553076399",14458,83,1,"南北","精装修","普通住宅",3,2,1,"低层",17,"有","商品房","依云湖",NA,NA,0.35,0,"金山","张堰","夏宁路,近博才路",FALSE,TRUE,TRUE,"1位置独特，视野开阔，空气清新，特别适合居家过日子2户型正气，南北通透，采光好，前后无遮挡！3小区环境优美，物业安全可靠，您可以放心入住。4低于周边小区总价，让你花少的钱，买理想的住所。房子价格越来越高，早买早赚到，性价比高。","特色
                                            【小区户型】小区在售面积为83-118平的三房和四房，楼间距60米，无阳光遮挡，采光充足。
                                                                【小区设施】招商物业 蓝筹物业8强 冬奥会指定物业 物业费2.5元.
                                        
                                            【生活配套】出小区大门向东800米就是农贸市场，金山万达，商圈繁华，吃喝玩乐一条龙。
                    
                    
                                            【附近学校】对口名校—杭州湾双语学校，吉的堡幼儿园,国际教育资源，中小学连读，星河湾分校 ，赢在起跑线
                    
                    
                                            【其他描述】全智能化品质小区，人脸识别，智能信箱，精装电梯，智能密码锁等配置
                    
                "
