"title","URL","unitprice","area","year","direction","decoration","category","bedroom","hall","lavatory","storey","totalstorey","elevator","property","community","far","parkinglot","greening","fee","admdist","secdist","address","subway","school","convenience","sellingpoint","opinion"
"豪华装修，高端奢华，品质小区，毗邻地铁，刚需的不二之选，诚售","https://shanghai.anjuke.com/prop/view/A1613139065?from=filter&spread=filtersearch&invalid=1&region_ids=11&position=1&kwtype=filter&now_time=1552748281",52393,92.8,6,"南北","精装修","普通住宅",2,2,1,"中层",12,"有","商品房","浦江华侨城(二期公寓)",NA,NA,NA,3,"闵行","浦江镇","浦锦路1658弄,江栀路500弄",TRUE,TRUE,TRUE,"1.位置介绍：小区位于浦锦路江栀路口，家乐福超市北面50米处，8号线西面150M处；交通购物便利；三附小200M处；2.小区介绍：本小区是2015年6月份建成，小区绿化率高达89%，得房率为92%，全方面实现人车分流；小区主要构造以总高为7层的洋房为主；所有楼层采光均无遮挡，四面环河，舒适幽静；3.房型介绍：此房源进门是餐厅，餐厅以北是厨房，餐厅以南是客厅，主卧次卧交错通风，户型由德国设计师精心打造；","特色
                                                                【小区设施】小区车位配比1比1.5，车位充足，车位租金300每月，售价在18万左右，小区内设有喷泉羽毛球场
                                                                【房屋品质】小区是由央企深圳华侨城集团房地产公司开发，外立面部分为石材，防水防潮效果非常好
                    
                                            【生活配套】大型商业家乐福300米，1680中街大型商业广场 200米，附近联华超市，罗森超市，菜市场
                    
                    
                                            【附近学校】小区对口上海师范大学附属闵行第三小学及第5附中学，为重点小学中学
                    
                    
                    
                "
"地势好 阳光好 全明户型 小区环境好 实际面积大 性价比高","https://shanghai.anjuke.com/prop/view/A1609353158?from=filter&spread=filtersearch&invalid=1&region_ids=11&position=2&kwtype=filter&now_time=1552748281",32126,85.6,15,"南北","简单装修","普通住宅",3,1,1,"低层",6,"无","商品房","银春小区一村二街坊",1.2,NA,0.25,0.65,"闵行","老闵行","灯辉路501弄",TRUE,TRUE,TRUE,"本房源介绍1.户型好：3室1厅，厅朝南带大阳台看园区公园，主卧朝南，厨房客厅朝北，全明结构，南北通风2.次新房，2004年竣工交付！3.中装房，即买就可以入住，省心省力，省时间。4.公交信息：以上房源，真实有效！以诚立身，以信待人！您愉悦的置业历程，是我们服务的准则！如果您对以上房源还是不满意，更多*，请到本人店铺查找或电话咨询。","特色
                                            【小区户型】小区均为多层六楼，一梯两户，主打户型为66平南北两房，以及78平三房，全明户型，采光很好。
                                                            
                    
                                            【轨道交通】此小区距离地铁五号线剑川路站约800米，小区外有公交站闵行10路，143路。
                    
                                            【附近学校】小区内有嘟嘟雅歌幼儿园，对口北桥小学，北桥中学。
                    
                    
                    
                "
"地铁旁地势好全明大三房 小区环境好 实际面积大 性价比高急卖","https://shanghai.anjuke.com/prop/view/A1597545674?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=11&position=3&kwtype=filter&now_time=1552748281",57102,132.2,11,"南北","简单装修","普通住宅",3,2,2,"低层",12,"无","商品房","龙祥嘉园(公寓)",NA,200,0.5,1.1,"闵行","古美","平阳路1515弄",TRUE,TRUE,TRUE,"一、房源优势：1、龙祥嘉园全明格局。2、客厅宽敞大气。户型正气3、精装修。二、户型介绍：户型：3室2厅2卫朝向：南北格局方正使用率高；1、客厅宽敞舒适、落地阳台让充足的阳光不留余地的闯进来。2、主卧，次卧朝向，面积特别合理。3、厨房宽敞，让您和家人有足够的空间展现私家厨艺。4、连接客厅和厨房之间是您和家人享受美味的餐厅，让您热情的招待亲朋好友。三、社区介绍：环境优美适宜居住人文素质高物业管","特色
                                            【小区户型】两房：100平；三房：132平和137平；朝南：南北；推荐户型：132平三房，房型正气，南北直通；
                                                                【小区设施】车位配比1:1.5；地下产权车位100个；
小区自带健身会馆与游泳池；
                                        
                                            【生活配套】2008竣工的新小区，离虹莘路早市仅50米；
周边龙茗路美食一条街，南方商城购物中心都近在咫尺；
                    
                                            【轨道交通】离12号线虹莘路地铁站仅500米；
小区门口150,946,122,732,大润发免费班车；
                    
                                            【附近学校】小区对口闵莘庄幼儿园以及区重点平阳小学；
步行6min均可到达两个学校，上学很方便；
                    
                    
                    
                "
"未名园总价ZUI低电梯三房，小区喷泉位置，精装修，送车位","https://shanghai.anjuke.com/prop/view/A1611845468?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=11&position=4&kwtype=filter&now_time=1552748281",39956,136.4,16,"南北","精装修","普通住宅",3,2,2,"低层",11,"有","商品房","未名园",NA,182,0.5,1.55,"闵行","梅陇","莲花南路588弄",TRUE,FALSE,FALSE,"一、【房源描述】：此产证面积1136.4平，3房2厅2卫，厅南北通透，两房朝南，一房朝北，户型非常正气，采光也是非常好，小区中心的位置，前后无遮挡，景观超好~二、【装修情况】：装修保养的很好，家具家电全送三、【利用空间】：此房户型正气，无拐角浪费，使用面积高。四、【税费情况】：此房满五年且上海一套住房，无抵押无贷款，产权清晰，到价即签。","特色
                                                                【小区设施】小区中心位置有美丽的喷泉，还有一些花草
                                        
                    
                                            【轨道交通】近地铁一号线外环路站，步行300米
                    
                    
                    
                    
                "
"都市宜家 88平2房 中间楼层满五年 全明户型","https://shanghai.anjuke.com/prop/view/A1597011405?from=filter&spread=filtersearch&invalid=1&region_ids=11&position=5&kwtype=filter&now_time=1552748281",35393,89,15,"南北","精装修","普通住宅",2,2,1,"中层",6,"无","商品房","都市宜家",1.6,200,0.42,1.2,"闵行","春申","虹梅南路1661弄",TRUE,TRUE,TRUE,"小区名称：都市宜家地址：闵行虹梅南路1661弄户型：，2房2厅1卫2阳台1厨房面积：88装修：精装修，家具家电齐全","特色
                                            【小区户型】小区有多层的楼梯房和高层的电梯房 以86平方的两房和101平方的3房为主力的户型 楼间距在30米左右
                                                            
                                            【生活配套】小区北门口10米有好德便利店 15米有菜店 20米有农工商超市
                    
                                            【轨道交通】小区东门口20米左右有735路 725路 218路 闵行22路等多路公交车可直达地铁1号线锦江乐园站
                    
                                            【附近学校】小区自带金孔雀幼儿园 对口公立蔷薇小学 就学方便
                    
                    
                    
                "
"美丽家园 普乐二村 全明南北两房 满五税少 房东急卖","https://shanghai.anjuke.com/prop/view/A1605992314?from=filter-salesxq&spread=filtersearch&invalid=1&region_ids=11&position=6&kwtype=filter&now_time=1552748281",34857,51.6,24,"南","精装修","普通住宅",2,1,1,"中层",6,"无","商品房","普乐二村",NA,NA,0.4,1,"闵行","春申","普乐路425弄",TRUE,TRUE,TRUE,"本人主打：春申板块，罗阳板块，梅陇板块等。【房屋基本情况】面积：51.8平米。地址：普乐路425弄。1.房型介绍：2房1厅1卫南北户型，厨卫全明，采光好。2.装修情况：房子是精装，满五年，整体干净清爽。3.心态：房东因置换诚心出售。4.交通情况：735、725、729、218、714、闵行3路、闵行22路、地铁1号莲花站，未来15号线直达。5.蔷薇幼儿园，金孔雀幼儿园，蔷薇小学等","特色
                                            【小区户型】主力户型51平米-64平米两房，大部分为一梯四户，楼间距16米左右，低楼层采光差，均为6层多层房。
                                                                【小区设施】小区中心300米健身休闲场所，有滑滑梯，跷跷板，承认肌肉锻炼腿力锻炼器材。
                                        
                    
                                            【轨道交通】北门转门出口200米即可乘闵行3路直达南方商城商圈，换乘1号线4站直达徐家汇。
                    
                                            【附近学校】对口闵行区重点蔷薇小学，私立金孔雀幼儿园，师资力量雄厚，幼儿园学费月平均500左右。
                    
                                            【居民素质】小区老式公房，出租率高，1:0.3，人员流动性大，大部分为40—55岁年龄段居民。
                    
                    
                "
"银河新都(99弄)2室325万元好位置!好房子!","https://shanghai.anjuke.com/prop/view/A1604096630?from=filter&spread=filtersearch&invalid=1&region_ids=11&position=7&kwtype=filter&now_time=1552748281",46555,69.8,12,"南北","毛坯","普通住宅",2,1,1,"中层",11,"有","商品房","银河新都(中区)",NA,150,NA,1.45,"闵行","春申","绿莲路99弄",FALSE,FALSE,TRUE,"房源卖点：南北双阳台次卧阳台和厨房连在一块的。1.该房源我亲自去验过，户型好，毛坯房。2.2室朝南朝向：南北通透好，房间采光是没任何问题的。3.房子高，无浪费面积。4.此房房东急卖，看房方便，自住都可以。房子空间利用率大，超高。5.价格低于市场价，值得信赖。这是我的房源，别的中介没有！！更多房源请*","特色
                                            【小区户型】一手动迁小区，小区都是有电梯的，主要以71-80平的两房，一梯两户，91-100平的三房！
                                                            
                                            【生活配套】小区北门出口右拐就是一个大型菜市场，北门出来直走就是麦多生活广场，500米处就是新荟城
                    
                    
                    
                    
                    
                "
"2室1厅正南，价格真实机会难得快快快快！","https://shanghai.anjuke.com/prop/view/A1601549155?from=filter&spread=filtersearch&invalid=1&region_ids=11&position=8&kwtype=filter&now_time=1552748281",38692,68.5,23,"南","简单装修","普通住宅",2,1,1,"高层",6,"无","商品房","沁春园一村",1.4,NA,0.27,0.45,"闵行","莘庄","莘西南路380弄,莘西南路400弄",TRUE,TRUE,TRUE,"此房源位于小区中间位置楼，双南两房南北双阳台卖点1：莘庄#地铁西延线卖点2：对口莘庄镇小学南校区（重点），莘庄镇幼儿园（重点）卖点3：临近春申路地铁站，步行700米即可到达卖点4：周边配套相当成熟，有家乐福的班车，有大型公园（莘庄公园）；大型医院（瑞金医院）；大型超市（好邻居生活超市）；大型购物广场（龙之梦购物中心）；大型交通枢纽（中春路高架、嘉闵高架等）","特色
                                            【小区户型】小区主力面积，一房45㎡，两房63.38㎡，68㎡，71㎡，因为是老小区，绿植繁茂，1-2楼采光一般
                                                            
                                            【生活配套】小区门口有老邻居超市，2公里内有凯德龙之梦购物商城，莘庄公园，上海银行，闵行中心医院(甲级医院)
                    
                                            【轨道交通】距离春申5号线地铁800米
                    
                                            【附近学校】对口学区:莘庄幼儿园，莘庄镇小南校区(百年名校)，基地附中
                    
                    
                    
                "
"莘城苑精装修 一室两厅 户型正气 房东诚意出售价格可谈","https://shanghai.anjuke.com/prop/view/A1612092412?from=filter&spread=filtersearch&invalid=1&region_ids=11&position=9&kwtype=filter&now_time=1552748281",38462,68.9,21,"南","精装修","普通住宅",1,1,1,"低层",6,"无","商品房","莘城苑",NA,563,0.5,0.5,"闵行","莘庄","疏影路1111弄",TRUE,FALSE,FALSE,"精装修一室两厅户型正气房东诚意出售户型方正朝南*。。","特色
                                            【小区户型】小区分两期的，一期1997年造，二期为2000年造，主推二房82平小户型，三房101平，1房为68平
                                                            
                    
                                            【轨道交通】近西子国际步行300米，近莘庄一号线公交704B坐4站能到，从莘庄到上海南只要4站，5号线往老闵行。
                    
                    
                    
                    
                "
"富岩路230弄 精装修南北通大两房 房东诚意出售 随时可看房","https://shanghai.anjuke.com/prop/view/A1603766459?from=filter&spread=filtersearch&invalid=1&region_ids=11&position=10&kwtype=filter&now_time=1552748281",26289,89.4,11,"南北","精装修","普通住宅",2,2,1,"中层",6,"有","商品房","富岩路230弄小区",1.2,200,0.3,0.42,"闵行","马桥","富岩路230弄",TRUE,FALSE,FALSE,"面积：89.39平米户型：一梯两户，南北两房，厨卫朝北，厅朝南带阳台朝向：南位置：小区中心位置楼层：3/6装修：精装修采光：采光充足","特色
                                            【小区户型】总高6层，1梯3户，面积45平1房-80平小3房主推
                                                            
                    
                                            【轨道交通】小区出门口向东80米闵行17路马桥公交站，180米是闵行35级40路马桥站
                    
                    
                    
                    
                "
