"title","URL","unitprice","area","year","direction","decoration","category","bedroom","hall","lavatory","storey","totalstorey","elevator","property","community","far","parkinglot","greening","fee","admdist","secdist","address","subway","school","convenience","sellingpoint","opinion"
"地铁口刚需两房,总价低,南北通。空关有钥匙,置换出售,随时看","https://shanghai.anjuke.com/prop/view/A1610910362?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=7&position=1&kwtype=filter&now_time=1552717343",44643,56,18,"南北","豪华装修","普通住宅",2,1,1,"中层",6,"无","商品房","德馨公寓",1.4,NA,0.34,1.2,"浦东","世博","德州路382弄",TRUE,FALSE,TRUE,"本房赢在位置：德馨公寓，楼型方正，成熟社区本房赢在楼层：老人年轻人都可居住，视野采光无敌本房赢在格局：方正楼型，户型方正，适合小两口居住本房赢在价格：本房在同样的地理位置，同样的面积相比，我现在总价很低本房赢在诚售：急卖之下，什么价格都可能发生，房东明确说了在价格还可稍谈本房赢在实惠：本房不但单价低，而且总价还低一诺千金：1：存在即是真实，我们保证，房子出售后，将信息*除2：价格真实，我们保证，我们绝不挂高房价，也不挂低房价，业主更改价格，即将价格更改3.照片真实，我们保证，照片均来自本房，只求真实","特色
                                                                                    【房屋品质】小区是2001年开发的商品房，绿化率34%，钢混结构，防水防潮效果好
                    
                                            【生活配套】小区往西200米是济阳公园，休闲方便。300米是西营菜市场。
                    
                                            【轨道交通】小区门口就是818路公交总站，往北600米是7号线长清路站，往东700米是8号线成山路站
                    
                    
                    
                    
                "
"新装修两房，免征税，采光好，位置安静，即买即住","https://shanghai.anjuke.com/prop/view/A1606019795?from=filter-saleMetro-salesxq&spread=filtersearch&invalid=1&region_ids=7&position=2&kwtype=filter&now_time=1552717343",42857,70,19,"南","精装修","普通住宅",2,1,1,NA,5,"无","商品房","牡丹苑",1.8,NA,0.3,0.55,"浦东","世纪公园","牡丹路89弄",TRUE,FALSE,TRUE,"房源标签房本满五年地铁vr看房户型介绍原始户型：2房0厅1厨1卫，主卧朝南带天井，次卧朝北带大窗。改动后户型：2房1厅1厨1卫1阳光房。原先进门是厨房，现在改为开放式厨房和餐厅，另外天井改为全封闭的玻璃阳光房。主卧加天井23.8平，次卧14.7平，厨房5.1平，卫生间3.5平。装修描述装修亮点：1：进门玄关里有360度的旋转鞋架，可以收纳更多的鞋子呦2：洗手间里的台盆下面有小厨宝的电热水器，这样可以保证打开水龙头，很快可以用到热水。3：每个房间都*了时尚的LED吸顶灯4：天井玻璃封闭和主卧隔开后就是独立的阳光房。权属抵押出售原因：置换，已","特色
                                                            
                                            【生活配套】小区步行500米可到世纪公园 龙阳广场 博览会广场 上海仁济医院内 生活配套齐全
                    
                                            【轨道交通】小区步行600米可到地铁2号线7号线16号线！可直达中山公园 静安寺 浦东国际机场等 出行方便
                    
                    
                    
                    
                "
"福外未用市场价送装修20万！自住s选！房东自住直接碰面！","https://shanghai.anjuke.com/prop/view/A1598819413?from=filter&spread=filtersearch&invalid=1&region_ids=7&position=3&kwtype=filter&now_time=1552717343",1e+05,52,34,"南北","豪华装修","普通住宅",2,1,1,"中层",6,"无","商品房","梅园三街坊",1.4,NA,0.35,0.85,"浦东","源深","商城路1025弄,商城路991弄",TRUE,TRUE,TRUE,"【房源特色】：两房朝南，客厅朝北，全明户型，房型正气，采光无遮挡【小区特色】：地段繁华，生活配套完善，小区环境优雅。对面就是地铁口。【小区介绍】：楼层是3楼，采光充足，小区位置好，采光无遮挡，小区设施俱全。【房型介绍】：双卧朝南，进门是客厅，厨房朝北，卫生间朝北。","特色
                                            【小区户型】小区大多一梯四户 一梯两户 。一房朝南 两房朝南 南北户型为主，南北通透
                                                            
                    
                    
                                            【附近学校】福山幼儿园，福山外国语（瑞华校区）建平中学对口校区都是上海市重点校区
                    
                    
                    
                "
"经典苑墅 品质优越 稀有独栋 身份象征 别墅群中央 仅有6栋","https://shanghai.anjuke.com/prop/view/A1612144900?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=7&position=4&kwtype=filter&now_time=1552717343",45957,235,14,"南","精装修","普通住宅",5,3,5,NA,3,"无","商品房","阳光欧洲城蔷薇绅邻",1.2,NA,0.4,2.2,"浦东","金桥","金高路1617弄",TRUE,FALSE,TRUE,"特设独立花园入户通道，保障业主生活独立性强，动静分离的空间布局，每一层都有独立的活动空间。由一楼过道，经过私家回廊，到客厅，到私家花园，二楼直接入户餐厅，中西结合式厨房，特设景观露台。层分布一个大面宽客厅和南北两间独立套房，三层为一个豪华主卧、衣帽间、卫浴、2个观景阳台等全配套，总体户型5房3厅的全套房设计还附享2个露台，主卧挑高设计使空间更为敞亮，优越的舒适性可满足三代同住需求，小区户型联排联列花园住宅，总户数334户，地上三层，北进门南客厅南花园，房间全部都朝南，带车库带花园带露台房屋品质2004年竣工纯别墅小区，由上海阳光欧洲城集团开发，钢混框架结构，云麒物业，实行全","特色
                                            【小区户型】联排联列花园住宅，总户数334户，地上三层，北进门南客厅南花园，房间全部都朝南，带车库带花园带露台
                                                                                    【房屋品质】2004年竣工纯别墅小区，由上海阳光欧洲城集团开发，钢混框架结构，云麒物业，实行全天三班轮岗执勤制度
                    
                                            【生活配套】200米金桥文体中心，300米金桥太茂广场，400米张桥菜市场，500米一兆韦德健身
                    
                                            【轨道交通】自驾车500米上杨高北路主干道，2公里上中环，门口公交799、843、774、716
                    
                    
                                            【居民素质】别墅小区以自住为主，租住比约为1：9，入驻人群大多为中年人，多为公司高层以及企业高管，整体素质非常高
                    
                    
                "
"06年高品质小区 一梯两户 电梯洋房 送产权车位 近6号线","https://shanghai.anjuke.com/prop/view/A1608036710?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=7&position=5&kwtype=filter&now_time=1552717343",75843,178,14,"南北","精装修","普通住宅",4,2,3,NA,4,"无","商品房","源城锦苑",1.4,320,0.45,1.1,"浦东","杨思","灵岩南路769弄",TRUE,FALSE,TRUE,"本房源介绍1.户型好：4室3厅，厅朝南带大阳台看园区公园，主卧朝南，厨房客厅朝北，全明结构，南北通风2.次新房，2005年竣工交付！3.精装房，即买就可以入住，省心省力，省时间。4.公交信息：以上房源，真实有效！以诚立身，以信待人！您愉悦的置业历程，是我们服务的准则！如果您对以上房源还是不满意，更多*，请到本人店铺查找或电话咨询。","特色
                                            【小区户型】一房为67平 两房以97平-105平为主  三房以127平
                                                            
                                            【生活配套】小区出门到地铁6号线步行只要200米，到东方医院只需700米，到大润发生活广场只要150米
                    
                    
                    
                    
                    
                "
"周浦镇中位置，对口傅雷學区，带天井实用面积大，精装修全送","https://shanghai.anjuke.com/prop/view/A1604941195?from=filter-salesxq&spread=filtersearch&invalid=1&region_ids=7&position=6&kwtype=filter&now_time=1552717343",29897,97,19,"南","精装修","普通住宅",3,2,1,"低层",6,"无","商品房","金田花园一区",1.5,170,0.35,0.6,"浦东","周浦","周东路508弄",FALSE,TRUE,TRUE,"本人亲自上门验房，房源真实有效，业主自住随时可以看房。多层带大天井，可做四房，南北通透房型正气，三开间朝南，采光充足。位置好，前面无遮挡视野开阔，周边生活配套齐全，交通便利。","特色
                                            【小区户型】主卖大户型，面积在90平左右，小区全部多层板式户型一梯两户南北通风，楼间距宽采光好，
                                                            
                    
                    
                                            【附近学校】小区对口重点傅雷小学，师资力量雄厚，周边有周浦小学。
                    
                    
                    
                "
"福山外国语小学建平西校，近地铁2469号线，交通方便","https://shanghai.anjuke.com/prop/view/A1608348433?from=filter-saleMetro&spread=filtersearch&invalid=1&region_ids=7&position=7&kwtype=filter&now_time=1552717343",112540,34.2,33,"南","精装修","普通住宅",1,1,1,"低层",6,"无","商品房","隧成小区",NA,NA,NA,0.8,"浦东","源深","乳山路160弄",TRUE,TRUE,FALSE,"【核心卖点】：房型结构：此房为1房户，朝南，厅通风良好，精装修，全明户型，中间位置，中间楼层，房东一家人都是自己住的，装修很好，家具家电全送，望有缘人抓住机会。【户型介绍】：此房为朝南房，一房一厅，建筑面积为34.21平。采光充足。小区中心位置，一梯三户，边套全明。"," "
"航头性价比超高的房子，带阁楼，带露台，仅此一套，豪装卖到赚到","https://shanghai.anjuke.com/prop/view/A1607264319?from=filter-salesxq&spread=filtersearch&invalid=1&region_ids=7&position=8&kwtype=filter&now_time=1552717343",29653,77.9,8,"南北","豪华装修","普通住宅",3,2,1,"高层",6,"无","商品房","海洲桃花园",1.4,NA,0.36,0.75,"浦东","航头","航头路988弄",FALSE,FALSE,TRUE,"安居客五星经纪人为您推.荐真实有效房源：真★房+真★价+真★图片+真★视频+假一★赔百！【房型结构】3房2厅1厨1卫，南北通户型，1间卧室朝南带飘窗带阳台，次卧室朝北带飘窗，客厅朝南带阳台，厨房餐厅朝北，高区楼层，前后无遮挡，视野开阔，采光充足，室内明亮，空气流通，居住条件佳。【房屋状况】35万豪华装修，买下本房您可以省下不少的时间，免去装修的烦恼。","特色
                                            【小区户型】小区一房为59平米，两房77-89平米，南北通透户型为主，两房朝南全南户型较少。采光都充足。
                                                            
                                            【生活配套】小区出门往西150米是苏航生活广场，里面吃喝玩乐一应俱全， 50米处是农工商超市，解决日常所需。
                    
                    
                    
                    
                    
                "
"浦江东旭一手动迁一房， 6号线500米 刚需不二选 急售","https://shanghai.anjuke.com/prop/view/A1607465142?from=filter&spread=filtersearch&invalid=1&region_ids=7&position=9&kwtype=filter&now_time=1552717343",41809,58.6,19,"南北","精装修","普通住宅",1,2,1,"低层",18,"有","商品房","浦江东旭公寓(西区)",NA,100,0.38,1.1,"浦东","高行","莱阳路1443弄1-11号",TRUE,FALSE,TRUE,"核心卖点一、房源1、正规1室1厅1卫，南北通透,，日照充足。2、室内精装修.可直接二、房屋介绍1、客厅，宽敞，大方，使用。2、卧室温馨舒适，搭配心怡。3、设施齐全，让美味来的更加轻松。","特色
                                            【小区户型】152栋小高层和高层组成，规模较大。楼间距较宽，采光充足。53-128平，主推小户型。
                                                            
                                            【生活配套】距文峰广场800米左右，距家乐福大型超市约1000米。
                    
                                            【轨道交通】地铁6号线东靖路站400米，公交线路有十几条。出行很方便。
                    
                    
                    
                    
                "
"急 急 急，曹路政府中心，门口菜场，大型广场，交通全区直达","https://shanghai.anjuke.com/prop/view/A1608464068?from=filter-salesxq&spread=filtersearch&invalid=1&region_ids=7&position=10&kwtype=filter&now_time=1552717343",26497,81.1,21,"东","简单装修","普通住宅",2,1,1,NA,5,"无","商品房","民风小区",NA,60,0.3,0.45,"浦东","曹路","川沙路326弄1-43号",TRUE,FALSE,TRUE,"本房源介绍1.户型好：2室1厅，一家居所，厅朝南带大阳台看园区公园，主卧朝南，厨房客厅朝北，全明结构，南北通风2.次新房，1998年竣工交付！3.简装房，即买就可以入住，省心省力，省时间。4.公交信息：本人郑重*：以上房源真实有效！本人服务宗旨：以诚立身，以信待人！您愉悦的置业历程，是我们服务的准则！如果您对以上房源还是不满意，更多*，请到本人店铺查找或电话咨询","特色
                                            【小区户型】小区54平到56.29平是一房，68平到86是两房，98-120是三房，两梯四户18层、24层电梯房
                                                            
                    
                                            【轨道交通】小区出门右转300米浦东27路可经过9号线顾唐路、12号线金海路。往南800米就可抵达9号线曹路站
                    
                    
                    
                    
                "
