"title","URL","unitprice","area","year","direction","decoration","category","bedroom","hall","lavatory","storey","totalstorey","elevator","property","community","far","parkinglot","greening","fee","admdist","secdist","address","subway","school","convenience","sellingpoint","opinion"
"万达旁精装花园洋房 得,房率90 全屋地暖新风系统","https://shanghai.anjuke.com/prop/view/A1613205808?from=filter&spread=filtersearch&invalid=1&region_ids=19&position=1&kwtype=filter&now_time=1553004461",38793,116,3,"南北","豪华装修","普通住宅",4,2,2,"低层",8,"有","商品房","首创禧悦(一期)",1.8,600,0.35,3.5,"青浦","朱家角","朱家角路588弄",TRUE,FALSE,TRUE,"户型：户型佳3房2厅2卫，南北通透，板块绝板户型。面积：60-124平米，万达旁在售洋房.总高8层带电梯的小洋房。修：精装修.中`央空调带地暖，全新交付，拎包入住。：复旦兰生平和双语青浦高中、青浦实验、青浦实验。风景：15万方公园900米，天然大氧吧！","特色
                                                            
                                            【生活配套】小区500米是万达商业广场，吾悦广场近在咫尺。
                    
                                            【轨道交通】紧邻17号线地铁站淀山湖大道站，小区门前多路公交经过。
                    
                    
                    
                    
                "
"大虹桥核心居住板块，17号，精心巨作，精装修带会所","https://shanghai.anjuke.com/prop/view/A1603272155?from=filter&spread=filtersearch&invalid=1&region_ids=19&position=2&kwtype=filter&now_time=1553004461",34188,117,2,"南北","精装修","普通住宅",3,2,2,"高层",16,"有","商品房","源昌幸福里",2.5,300,0.2,1,"青浦","赵巷","华科东路38弄",TRUE,FALSE,TRUE,"青浦标杆之作，现有小面积在售，欢迎您的莅临，来电有团购优惠哦。楼盘基本信息2.5，35%；80%左右；产权年限住宅：70年；精装交付；在售面积：80平，90~105~122平；","特色
                                            【小区户型】小区目前在售的5# 6# 7# 90 —117 三房户型  总高25层  采光好  南北通透
                                                            
                                            【生活配套】小区自带商业体， 过 马路就会有宝龙广场  购物非常便利
                    
                                            【轨道交通】17号线年底开通周边交通购物便利 如果乘坐2号线10号线可以在虹桥火车站换乘车地铁汇金路站500米
                    
                    
                    
                    
                "
"（无需社保）（首付28万）（价格可谈）（任何疑问可随时来电）","https://shanghai.anjuke.com/prop/view/A1619004290?from=filter&spread=filtersearch&invalid=1&region_ids=19&position=3&kwtype=filter&now_time=1553004461",20909,44,4,"南北","精装修","普通住宅",2,2,1,NA,1,"有","商品房","南湖新村",1.2,200,0.3,0.8,"青浦","朱家角","漕平路",TRUE,TRUE,TRUE,"1、小区全明格局朝向：南格局方正使用率高2、客厅宽敞舒适、落地阳台,主卧朝南，面积特别合理3、厨房宽敞，让您和家人有足够的空间展现私家厨艺","特色
                                                            
                                            【生活配套】朱家角镇上200米有菜市场生活相当便利，100米处有超市商业购物便捷
                    
                                            【轨道交通】出门100米有朱家角1路、7路、朱徐线等、800米有地铁17号线通往虹桥枢纽交通便利
                    
                                            【附近学校】100 米有朱家角小学，600米朱家角重点中学，1公里复旦附属中学教育资源丰富
                    
                    
                    
                "
"品质房源！仅此一套！错过了就没有了,还在犹豫吗内部配套全送","https://shanghai.anjuke.com/prop/view/A1617751111?from=filter&spread=filtersearch&invalid=1&region_ids=19&position=4&kwtype=filter&now_time=1553004461",24359,78,5,"南","精装修","普通住宅",2,1,1,"低层",18,"有","商品房","崧泽华城佳福雅苑",2.1,NA,0.35,2,"青浦","赵巷","秀泽路226弄,秀泽路339弄,崧泉路1021弄,秀泽...",TRUE,FALSE,TRUE,"物业类型：配套商品房（动迁房）；70年产权；电梯次新房面积：78平，正气全明房源优势：主卧朝南厅带阳台朝南户型日照充足房型正气性价比：低于市价急售低总价电梯房只要190万是周边上升空间超大的一套潜力：本地块为赵巷大型居住社区（青浦新城站）是上海市六个重点发展的新市镇之一及青浦新城重金打造发展区域，地处汇金路和华科路附近；出门就是17号线汇金站和宝龙城市广场，麦德龙商圈。","特色
                                            【小区户型】小区主力面积为56到78平，一房二房，电梯16层，楼间距宽，采光好
                                                            
                    
                                            【轨道交通】轨交17号线500米，直接步行到地铁站，直达虹桥火车站，通往上海各个区域比较方便
                    
                    
                    
                    
                "
"一手现房别墅徐泾家乐福旁灿辉晶典大虹桥板块国家会展中心","https://shanghai.anjuke.com/prop/view/A1617829107?from=filter&spread=filtersearch&invalid=1&region_ids=19&position=5&kwtype=filter&now_time=1553004461",52147,163,1,"南北","简单装修","普通住宅",4,2,3,NA,1,"有","商品房","灿辉晶华",NA,NA,NA,NA,"青浦","徐泾","沪青平公路2069弄",FALSE,FALSE,FALSE,"地段优势：房屋优势：户型：4室2厅1厨3卫1阳台0层,共4层，光线充足，朝向：南北通透基础设施：露台,阁楼,游泳池,阳光房,地下室,花园,车库,车位,：850万此房不是小区的一套，但是性价比是的，仅此一套！买到就是赚到","特色
                                            【小区户型】纯法式别墅社区，总户数35户，其中26户独栋，9户联排，面积230-450平
                                                                                    【房屋品质】法式风格建筑，刚挂石材外立面，很好的做到了隔热防潮及降低声音效果
                    
                    
                    
                    
                    
                    
                "
"灿辉晶典，高品质联排别墅，家乐福旁，紧邻大虹桥国展中心","https://shanghai.anjuke.com/prop/view/A1608278916?from=filter&spread=filtersearch&invalid=1&region_ids=19&position=6&kwtype=filter&now_time=1553004461",61350,163,2,"南","毛坯","普通住宅",4,2,4,NA,3,"有","商品房","灿辉晶华",NA,NA,NA,NA,"青浦","徐泾","沪青平公路2069弄",TRUE,TRUE,TRUE,"项目简介项目位于青浦徐泾徐联东路,沪青平公路，是大虹桥核心区不多见的纯别墅区。地脉经典：位于大虹桥城市核心，距离国家会展仅2公里，更有2号线徐泾东站、10号线已通车，在建中的17号线，距离本项目仅1公里，还有规划中的20号线与23号线。公园经典：近3万方康体双公园，市政公园、体育公园、双河环绕，悠享半岛别墅生活。法墅经典：162㎡别墅区，融合海派精致理念和法式建筑工艺。立面全石材打造，并用被称为顶的梦莎顶和老虎窗还原整个法式风格。意大利维瓦尔第室内环境控制系统，五大创新功能六种核心体验，缔造四季舒适。","特色
                                            【小区户型】纯别墅小区，一共有9栋联排、29栋独栋组成，主力面积237-435平米。
                                                                                    【房屋品质】小区是法式风格建筑，钢挂石材外立面，防火防潮、保温隔热，可降低噪音，整体档次较高。
                    
                                            【生活配套】距小区1公里有虹桥食尚天地、徐泾家乐福、上海西华国际学校，1.5公里有三级甲等医院远大健康城。
                    
                    
                    
                    
                    
                "
"灿辉经典，一手法式宫廷别墅，送私家花园双车库和地下室","https://shanghai.anjuke.com/prop/view/A1616990877?from=filter&spread=filtersearch&invalid=1&region_ids=19&position=7&kwtype=filter&now_time=1553004461",61350,163,1,"南","毛坯","普通住宅",4,2,3,NA,3,"有","商品房","灿辉晶华",NA,NA,NA,NA,"青浦","徐泾","沪青平公路2069弄",FALSE,TRUE,TRUE,"大虹桥法式别墅比邻家乐福地上：162平地下：55平-65平花园：30平-130平总价1050万-1200万。B1地下室，B2私家双车库，带私家电梯。拥有3万方生态主题公园，带2600平双会所。2019年年底交房","特色
                                                            
                                            【生活配套】小区出门200米就是商业一条街，购物广场，学校，医院，菜市场等，配套齐全。
                    
                    
                                            【附近学校】小区自带幼儿园，200米重点实验小学，实验中学，师资力量雄厚。
                    
                    
                    
                "
"眞仿源 水悦堂 一手叠加别墅 三面临河景观别墅 环境优雅","https://shanghai.anjuke.com/prop/view/A1615817329?from=filter&spread=filtersearch&invalid=1&region_ids=19&position=8&kwtype=filter&now_time=1553004461",32951,122,2,"南","精装修","普通住宅",4,2,3,NA,3,"有","商品房","金地水悦堂(别墅)",0.7,NA,0.4,NA,"青浦","朱家角","浦泰路888弄",FALSE,FALSE,FALSE,"金地水悦堂：70年产权住宅，别墅174套别墅：联排，叠加，116，129，122，170均价:3.8万，别墅均价:4.4/3万/平梯户:一梯两户，物业:3.3别墅上下叠，联排","特色
                                            【小区户型】小区主力面积为116的联排 楼间距在50米  采光无遮挡
                                                            
                    
                    
                    
                                            【居民素质】小区都是一些企业老板和高管  不存在租户多的情况
                    
                    
                "
"不限购17号线地铁口，精装修拎包入住，业主出国急卖，降25万","https://shanghai.anjuke.com/prop/view/A1619076260?from=filter&spread=filtersearch&invalid=1&region_ids=19&position=9&kwtype=filter&now_time=1553004461",14878,41,3,"南北","精装修","普通住宅",2,1,1,"中层",9,"有","商品房","东原公馆",NA,1,0.3,1,"青浦","青浦新城","公园路629号",TRUE,FALSE,TRUE,"松江/青浦板块八年的业绩精英鲁清文-竭诚、高效、感恩为您服务！！本人对限购和贷款等问题非常专业！！此小区已累计成交20套，专业为您省时、省钱、省心！！更多*房源，请点击右上角我的头像，进入公司房源库！!本案详情：1、价格：RMB=61万挂牌价（可以谈价），全新精装（20万装修费）全送。2、房型：精装修南北通2房，1房朝南1房朝北，厅南北双阳台全明户型。3、位置：小区中心景观位置，南临小区内河，视野极其开阔","特色
                                            【小区户型】主力户型124平大面积大大三房，房型方正，设计合理。很受欢迎，2梯4户。
                                                            
                                            【生活配套】小区出门300米就是新华联超市，小区800米就是大的公园很多老年人过去活动，1000米就是农贸市场。
                    
                    
                    
                    
                    
                "
"17号线漕盈路地铁站，精装公寓不限购，送软装，急售随时可看","https://shanghai.anjuke.com/prop/view/A1612644371?from=filter&spread=filtersearch&invalid=1&region_ids=19&position=10&kwtype=filter&now_time=1553004461",24308,65,3,"南","精装修","普通住宅",2,1,1,"中层",19,"有","商品房","青浦卓越世纪中心",NA,NA,0.3,4,"青浦","香花桥","清河湾路819弄",TRUE,FALSE,FALSE,"精装复式公寓，精装小两房，此房为两房，一房朝南面积16平方，带一个小房间10平方，一个小厅8平方，厨房为过道厨房5平方，卫生间5平方。精装修，房东送全套可以看到的家具家电。真心不错","特色
                                            【小区户型】小区主力户型是50.60.83平的，房型正，采光好，2017年竣工。
                                                            
                    
                                            【轨道交通】小区出门步行900米左右即可到达17号线漕盈路站，可直接到达虹桥，可换成地铁2号线10号线。
                    
                    
                    
                    
                "
