unitprice,area,year,direction,decoration,bedroom,hall,lavatory,storey,totalstorey,elevator,property,far,parkinglot,greening,fee,admdist,secdist,subway,school,business,amenity
29897,97,19,1,3,3,2,1,低层,6,0,1,1.5,170,0.35,0.6,浦东,35482.76437,FALSE,TRUE,FALSE,FALSE
60894,89.5,21,1,3,2,2,1,中层,6,0,1,1.7,120,0.4,1,浦东,74209.62712,FALSE,TRUE,FALSE,FALSE
35510,87.3,14,1,3,2,2,1,高层,6,0,1,1.5,130,0.35,0.55,浦东,33336.22222,FALSE,FALSE,TRUE,TRUE
45934,91,3,1,2,2,2,1,中层,18,0,1,2.1,900,0.35,1.6,浦东,35482.76437,TRUE,FALSE,TRUE,TRUE
48024,83.5,15,1,3,2,2,1,高层,6,0,1,1.8,359,0.3,0.85,浦东,52122.88281,TRUE,FALSE,TRUE,FALSE
84386,84.7,3,1,3,2,2,1,中层,18,1,1,2.8,300,0.35,5.8,浦东,74352.48276,TRUE,TRUE,TRUE,TRUE
48864,88,16,1,3,3,2,1,中层,6,0,1,1.3,200,0.3,0.5,浦东,48392.1625,TRUE,TRUE,TRUE,FALSE
31947,73.6,11,1,3,2,2,1,低层,6,0,1,1.5,385,0.3,1,浦东,35482.76437,FALSE,FALSE,TRUE,FALSE
45754,130.7,10,1,3,3,2,2,低层,11,1,1,1.4,460,0.43,1.5,浦东,38383.28,TRUE,TRUE,TRUE,TRUE
67678,91.6,17,1,3,2,2,1,中层,17,1,1,1.3,100,0.35,0.8,浦东,70757.42857,TRUE,FALSE,FALSE,FALSE
72941,68,6,1,3,1,1,1,低层,15,1,1,2.7,406,0.4,3.5,浦东,48258.65812,TRUE,TRUE,TRUE,FALSE
53610,83.9,17,1,3,3,2,1,低层,6,1,1,1.6,200,0.25,0.6,浦东,48258.65812,TRUE,TRUE,FALSE,FALSE
32839,53.3,6,1,2,1,1,1,低层,6,0,1,1.9,714,0.3,1.1,浦东,35529.96226,TRUE,TRUE,TRUE,FALSE
44667,75,3,1,3,2,2,1,高层,14,1,1,1.3,260,0.22,0.8,浦东,48392.1625,TRUE,TRUE,TRUE,TRUE
75000,60,11,1,3,1,1,1,中层,22,1,1,1.6,600,0.38,1.2,浦东,52122.88281,TRUE,TRUE,TRUE,FALSE
88429,106.3,10,1,3,2,2,1,低层,8,1,1,1.1,200,0.5,2,浦东,50950.82051,FALSE,TRUE,FALSE,TRUE
37871,137.3,14,1,3,3,2,2,中层,14,1,1,1.2,878,0.39,1.1,浦东,38383.28,TRUE,TRUE,FALSE,FALSE
28289,76,5,1,3,2,1,1,低层,18,1,1,1.8,300,0.4,1.2,浦东,35529.96226,TRUE,TRUE,FALSE,FALSE
39655,58,7,1,3,2,2,2,低层,11,1,1,2.2,50,0.35,2.32,浦东,47038.57386,TRUE,TRUE,TRUE,TRUE
45754,130.7,10,1,3,3,2,2,低层,11,1,1,1.4,460,0.43,1.5,浦东,38383.28,TRUE,TRUE,TRUE,FALSE
43178,34.7,25,1,3,1,1,1,中层,6,0,1,1.9,200,0.28,0.5,浦东,50950.82051,TRUE,FALSE,TRUE,TRUE
60894,89.5,21,1,3,2,2,1,中层,6,0,1,1.7,120,0.4,1,浦东,74209.62712,TRUE,TRUE,TRUE,TRUE
101515,33,33,1,3,1,0,1,低层,6,1,1,1.8,200,0.3,0.8,浦东,95666.24138,FALSE,TRUE,TRUE,FALSE
35459,128.6,13,1,3,3,2,2,高层,6,0,1,1.5,150,0.4,0.45,浦东,45311.86441,TRUE,FALSE,TRUE,FALSE
67678,91.6,17,1,3,2,2,1,中层,17,1,1,1.3,100,0.35,0.8,浦东,70757.42857,FALSE,TRUE,FALSE,TRUE
